Data loading...
densenet121-1 Model building...
Start inference...

 inference:     1 | throughput:  29.450 | time:   0.034
 inference:     2 | throughput:  69.007 | time:   0.014
 inference:     3 | throughput:  77.796 | time:   0.013
 inference:     4 | throughput:  77.559 | time:   0.013
 inference:     5 | throughput:  77.668 | time:   0.013
 inference:     6 | throughput:  78.625 | time:   0.013
 inference:     7 | throughput:  79.230 | time:   0.013
 inference:     8 | throughput:  78.492 | time:   0.013
 inference:     9 | throughput:  79.202 | time:   0.013
 inference:    10 | throughput:  77.881 | time:   0.013
 inference:    11 | throughput:  78.310 | time:   0.013
 inference:    12 | throughput:  78.892 | time:   0.013
 inference:    13 | throughput:  76.777 | time:   0.013
 inference:    14 | throughput:  77.393 | time:   0.013
 inference:    15 | throughput:  77.222 | time:   0.013
 inference:    16 | throughput:  77.115 | time:   0.013
 inference:    17 | throughput:  78.029 | time:   0.013
 inference:    18 | throughput:  78.063 | time:   0.013
 inference:    19 | throughput:  78.426 | time:   0.013
 inference:    20 | throughput:  78.783 | time:   0.013
 inference:    21 | throughput:  77.557 | time:   0.013
 inference:    22 | throughput:  76.991 | time:   0.013
 inference:    23 | throughput:  77.556 | time:   0.013
 inference:    24 | throughput:  78.262 | time:   0.013
 inference:    25 | throughput:  77.179 | time:   0.013
 inference:    26 | throughput:  76.991 | time:   0.013
 inference:    27 | throughput:  77.400 | time:   0.013
 inference:    28 | throughput:  76.957 | time:   0.013
 inference:    29 | throughput:  76.946 | time:   0.013
 inference:    30 | throughput:  77.949 | time:   0.013
 inference:    31 | throughput:  78.554 | time:   0.013
 inference:    32 | throughput:  79.166 | time:   0.013
 inference:    33 | throughput:  77.283 | time:   0.013
 inference:    34 | throughput:  76.153 | time:   0.013
 inference:    35 | throughput:  76.444 | time:   0.013
 inference:    36 | throughput:  77.633 | time:   0.013
 inference:    37 | throughput:  76.691 | time:   0.013
 inference:    38 | throughput:  77.809 | time:   0.013
 inference:    39 | throughput:  78.732 | time:   0.013
 inference:    40 | throughput:  79.696 | time:   0.013
 inference:    41 | throughput:  79.957 | time:   0.013
 inference:    42 | throughput:  78.852 | time:   0.013
 inference:    43 | throughput:  80.036 | time:   0.012
 inference:    44 | throughput:  80.029 | time:   0.012
 inference:    45 | throughput:  76.755 | time:   0.013
 inference:    46 | throughput:  76.578 | time:   0.013
 inference:    47 | throughput:  71.437 | time:   0.014
 inference:    48 | throughput:  76.940 | time:   0.013
 inference:    49 | throughput:  77.043 | time:   0.013
 inference:    50 | throughput:  77.265 | time:   0.013
 inference:    51 | throughput:  77.842 | time:   0.013
 inference:    52 | throughput:  76.174 | time:   0.013
 inference:    53 | throughput:  76.978 | time:   0.013
 inference:    54 | throughput:  76.158 | time:   0.013
 inference:    55 | throughput:  77.575 | time:   0.013
 inference:    56 | throughput:  79.039 | time:   0.013
 inference:    57 | throughput:  79.063 | time:   0.013
 inference:    58 | throughput:  78.401 | time:   0.013
 inference:    59 | throughput:  78.318 | time:   0.013
 inference:    60 | throughput:  78.430 | time:   0.013
 inference:    61 | throughput:  77.793 | time:   0.013
 inference:    62 | throughput:  75.626 | time:   0.013
 inference:    63 | throughput:  78.778 | time:   0.013
 inference:    64 | throughput:  79.389 | time:   0.013
 inference:    65 | throughput:  79.522 | time:   0.013
 inference:    66 | throughput:  79.489 | time:   0.013
 inference:    67 | throughput:  80.585 | time:   0.012
 inference:    68 | throughput:  78.476 | time:   0.013
 inference:    69 | throughput:  79.684 | time:   0.013
 inference:    70 | throughput:  78.694 | time:   0.013
 inference:    71 | throughput:  78.083 | time:   0.013
 inference:    72 | throughput:  79.056 | time:   0.013
 inference:    73 | throughput:  77.829 | time:   0.013
 inference:    74 | throughput:  78.523 | time:   0.013
 inference:    75 | throughput:  79.142 | time:   0.013
 inference:    76 | throughput:  80.021 | time:   0.012
 inference:    77 | throughput:  78.863 | time:   0.013
 inference:    78 | throughput:  79.844 | time:   0.013
 inference:    79 | throughput:  80.306 | time:   0.012
 inference:    80 | throughput:  81.015 | time:   0.012
 inference:    81 | throughput:  79.244 | time:   0.013
 inference:    82 | throughput:  79.793 | time:   0.013
 inference:    83 | throughput:  80.275 | time:   0.012
 inference:    84 | throughput:  78.959 | time:   0.013
 inference:    85 | throughput:  77.489 | time:   0.013
 inference:    86 | throughput:  77.984 | time:   0.013
 inference:    87 | throughput:  79.045 | time:   0.013
 inference:    88 | throughput:  79.105 | time:   0.013
 inference:    89 | throughput:  79.228 | time:   0.013
 inference:    90 | throughput:  79.092 | time:   0.013
 inference:    91 | throughput:  80.197 | time:   0.012
 inference:    92 | throughput:  80.877 | time:   0.012
 inference:    93 | throughput:  79.864 | time:   0.013
 inference:    94 | throughput:  79.138 | time:   0.013
 inference:    95 | throughput:  80.314 | time:   0.012
 inference:    96 | throughput:  78.983 | time:   0.013
 inference:    97 | throughput:  78.492 | time:   0.013
 inference:    98 | throughput:  77.769 | time:   0.013
 inference:    99 | throughput:  78.692 | time:   0.013
 inference:   100 | throughput:  78.494 | time:   0.013

Total inference throughput: 76.90377, Total inference latency: 0.01300
