Data loading...
densenet121-1 Model building...
Start inference...

 inference:     1 | throughput:  52.707 | time:   0.019
 inference:     2 | throughput:  74.739 | time:   0.013
 inference:     3 | throughput:  78.229 | time:   0.013
 inference:     4 | throughput:  80.171 | time:   0.012
 inference:     5 | throughput:  80.263 | time:   0.012
 inference:     6 | throughput:  80.298 | time:   0.012
 inference:     7 | throughput:  81.386 | time:   0.012
 inference:     8 | throughput:  80.852 | time:   0.012
 inference:     9 | throughput:  81.858 | time:   0.012
 inference:    10 | throughput:  79.573 | time:   0.013
 inference:    11 | throughput:  81.112 | time:   0.012
 inference:    12 | throughput:  79.914 | time:   0.013
 inference:    13 | throughput:  78.825 | time:   0.013
 inference:    14 | throughput:  80.021 | time:   0.012
 inference:    15 | throughput:  77.509 | time:   0.013
 inference:    16 | throughput:  77.321 | time:   0.013
 inference:    17 | throughput:  80.448 | time:   0.012
 inference:    18 | throughput:  78.888 | time:   0.013
 inference:    19 | throughput:  80.240 | time:   0.012
 inference:    20 | throughput:  79.172 | time:   0.013
 inference:    21 | throughput:  81.320 | time:   0.012
 inference:    22 | throughput:  80.934 | time:   0.012
 inference:    23 | throughput:  79.797 | time:   0.013
 inference:    24 | throughput:  80.151 | time:   0.012
 inference:    25 | throughput:  78.029 | time:   0.013
 inference:    26 | throughput:  79.370 | time:   0.013
 inference:    27 | throughput:  79.225 | time:   0.013
 inference:    28 | throughput:  78.159 | time:   0.013
 inference:    29 | throughput:  80.460 | time:   0.012
 inference:    30 | throughput:  80.202 | time:   0.012
 inference:    31 | throughput:  79.717 | time:   0.013
 inference:    32 | throughput:  79.602 | time:   0.013
 inference:    33 | throughput:  80.275 | time:   0.012
 inference:    34 | throughput:  81.208 | time:   0.012
 inference:    35 | throughput:  79.901 | time:   0.013
 inference:    36 | throughput:  80.065 | time:   0.012
 inference:    37 | throughput:  78.248 | time:   0.013
 inference:    38 | throughput:  78.992 | time:   0.013
 inference:    39 | throughput:  79.239 | time:   0.013
 inference:    40 | throughput:  77.785 | time:   0.013
 inference:    41 | throughput:  80.242 | time:   0.012
 inference:    42 | throughput:  80.111 | time:   0.012
 inference:    43 | throughput:  79.445 | time:   0.013
 inference:    44 | throughput:  79.008 | time:   0.013
 inference:    45 | throughput:  79.832 | time:   0.013
 inference:    46 | throughput:  81.914 | time:   0.012
 inference:    47 | throughput:  79.893 | time:   0.013
 inference:    48 | throughput:  80.214 | time:   0.012
 inference:    49 | throughput:  76.869 | time:   0.013
 inference:    50 | throughput:  79.080 | time:   0.013
 inference:    51 | throughput:  78.546 | time:   0.013
 inference:    52 | throughput:  77.016 | time:   0.013
 inference:    53 | throughput:  79.356 | time:   0.013
 inference:    54 | throughput:  79.289 | time:   0.013
 inference:    55 | throughput:  80.406 | time:   0.012
 inference:    56 | throughput:  80.211 | time:   0.012
 inference:    57 | throughput:  80.146 | time:   0.012
 inference:    58 | throughput:  81.384 | time:   0.012
 inference:    59 | throughput:  80.545 | time:   0.012
 inference:    60 | throughput:  79.962 | time:   0.013
 inference:    61 | throughput:  77.912 | time:   0.013
 inference:    62 | throughput:  77.659 | time:   0.013
 inference:    63 | throughput:  78.048 | time:   0.013
 inference:    64 | throughput:  77.476 | time:   0.013
 inference:    65 | throughput:  80.714 | time:   0.012
 inference:    66 | throughput:  79.311 | time:   0.013
 inference:    67 | throughput:  81.527 | time:   0.012
 inference:    68 | throughput:  80.719 | time:   0.012
 inference:    69 | throughput:  80.437 | time:   0.012
 inference:    70 | throughput:  81.128 | time:   0.012
 inference:    71 | throughput:  80.539 | time:   0.012
 inference:    72 | throughput:  79.885 | time:   0.013
 inference:    73 | throughput:  78.563 | time:   0.013
 inference:    74 | throughput:  78.348 | time:   0.013
 inference:    75 | throughput:  79.551 | time:   0.013
 inference:    76 | throughput:  78.147 | time:   0.013
 inference:    77 | throughput:  80.383 | time:   0.012
 inference:    78 | throughput:  79.371 | time:   0.013
 inference:    79 | throughput:  80.392 | time:   0.012
 inference:    80 | throughput:  79.421 | time:   0.013
 inference:    81 | throughput:  79.705 | time:   0.013
 inference:    82 | throughput:  80.768 | time:   0.012
 inference:    83 | throughput:  80.657 | time:   0.012
 inference:    84 | throughput:  80.007 | time:   0.012
 inference:    85 | throughput:  78.491 | time:   0.013
 inference:    86 | throughput:  78.713 | time:   0.013
 inference:    87 | throughput:  78.654 | time:   0.013
 inference:    88 | throughput:  79.005 | time:   0.013
 inference:    89 | throughput:  79.843 | time:   0.013
 inference:    90 | throughput:  80.438 | time:   0.012
 inference:    91 | throughput:  80.591 | time:   0.012
 inference:    92 | throughput:  80.860 | time:   0.012
 inference:    93 | throughput:  79.799 | time:   0.013
 inference:    94 | throughput:  79.226 | time:   0.013
 inference:    95 | throughput:  80.635 | time:   0.012
 inference:    96 | throughput:  80.629 | time:   0.012
 inference:    97 | throughput:  78.382 | time:   0.013
 inference:    98 | throughput:  78.205 | time:   0.013
 inference:    99 | throughput:  79.177 | time:   0.013
 inference:   100 | throughput:  78.769 | time:   0.013

Total inference throughput: 79.16431, Total inference latency: 0.01263
