Data loading...
densenet121-16 Model building...
Start inference...

 inference:     1 | throughput: 166.532 | time:   0.096
 inference:     2 | throughput: 1028.110 | time:   0.016
 inference:     3 | throughput: 713.021 | time:   0.022
 inference:     4 | throughput: 716.669 | time:   0.022
 inference:     5 | throughput: 697.163 | time:   0.023
 inference:     6 | throughput: 693.238 | time:   0.023
 inference:     7 | throughput: 715.362 | time:   0.022
 inference:     8 | throughput: 715.500 | time:   0.022
 inference:     9 | throughput: 720.300 | time:   0.022
 inference:    10 | throughput: 700.744 | time:   0.023
 inference:    11 | throughput: 701.198 | time:   0.023
 inference:    12 | throughput: 707.653 | time:   0.023
 inference:    13 | throughput: 727.641 | time:   0.022
 inference:    14 | throughput: 696.280 | time:   0.023
 inference:    15 | throughput: 715.416 | time:   0.022
 inference:    16 | throughput: 716.325 | time:   0.022
 inference:    17 | throughput: 717.527 | time:   0.022
 inference:    18 | throughput: 711.336 | time:   0.022
 inference:    19 | throughput: 702.821 | time:   0.023
 inference:    20 | throughput: 710.696 | time:   0.023
 inference:    21 | throughput: 725.188 | time:   0.022
 inference:    22 | throughput: 713.613 | time:   0.022
 inference:    23 | throughput: 694.953 | time:   0.023
 inference:    24 | throughput: 676.685 | time:   0.024
 inference:    25 | throughput: 729.397 | time:   0.022
 inference:    26 | throughput: 720.980 | time:   0.022
 inference:    27 | throughput: 708.782 | time:   0.023
 inference:    28 | throughput: 708.408 | time:   0.023
 inference:    29 | throughput: 697.242 | time:   0.023
 inference:    30 | throughput: 716.019 | time:   0.022
 inference:    31 | throughput: 693.187 | time:   0.023
 inference:    32 | throughput: 712.976 | time:   0.022
 inference:    33 | throughput: 711.223 | time:   0.022
 inference:    34 | throughput: 708.542 | time:   0.023
 inference:    35 | throughput: 706.142 | time:   0.023
 inference:    36 | throughput: 707.772 | time:   0.023
 inference:    37 | throughput: 710.922 | time:   0.023
 inference:    38 | throughput: 715.027 | time:   0.022
 inference:    39 | throughput: 681.952 | time:   0.023
 inference:    40 | throughput: 718.941 | time:   0.022
 inference:    41 | throughput: 713.082 | time:   0.022
 inference:    42 | throughput: 718.034 | time:   0.022
 inference:    43 | throughput: 703.624 | time:   0.023
 inference:    44 | throughput: 707.646 | time:   0.023
 inference:    45 | throughput: 710.914 | time:   0.023
 inference:    46 | throughput: 715.294 | time:   0.022
 inference:    47 | throughput: 698.912 | time:   0.023
 inference:    48 | throughput: 709.321 | time:   0.023
 inference:    49 | throughput: 710.515 | time:   0.023
 inference:    50 | throughput: 713.666 | time:   0.022
 inference:    51 | throughput: 703.410 | time:   0.023
 inference:    52 | throughput: 709.344 | time:   0.023
 inference:    53 | throughput: 712.492 | time:   0.022
 inference:    54 | throughput: 709.464 | time:   0.023
 inference:    55 | throughput: 691.958 | time:   0.023
 inference:    56 | throughput: 722.642 | time:   0.022
 inference:    57 | throughput: 717.634 | time:   0.022
 inference:    58 | throughput: 686.051 | time:   0.023
 inference:    59 | throughput: 453.426 | time:   0.035
 inference:    60 | throughput: 777.020 | time:   0.021
 inference:    61 | throughput: 925.742 | time:   0.017
 inference:    62 | throughput: 711.298 | time:   0.022
 inference:    63 | throughput: 705.414 | time:   0.023
 inference:    64 | throughput: 677.922 | time:   0.024
 inference:    65 | throughput: 722.292 | time:   0.022
 inference:    66 | throughput: 717.259 | time:   0.022
 inference:    67 | throughput: 706.402 | time:   0.023
 inference:    68 | throughput: 696.960 | time:   0.023
 inference:    69 | throughput: 694.005 | time:   0.023
 inference:    70 | throughput: 723.803 | time:   0.022
 inference:    71 | throughput: 710.997 | time:   0.023
 inference:    72 | throughput: 673.128 | time:   0.024
 inference:    73 | throughput: 725.956 | time:   0.022
 inference:    74 | throughput: 710.989 | time:   0.023
 inference:    75 | throughput: 721.973 | time:   0.022
 inference:    76 | throughput: 696.114 | time:   0.023
 inference:    77 | throughput: 704.451 | time:   0.023
 inference:    78 | throughput: 713.181 | time:   0.022
 inference:    79 | throughput: 718.095 | time:   0.022
 inference:    80 | throughput:  53.555 | time:   0.299
 inference:    81 | throughput: 996.139 | time:   0.016
 inference:    82 | throughput: 736.287 | time:   0.022
 inference:    83 | throughput: 710.816 | time:   0.023
 inference:    84 | throughput: 714.776 | time:   0.022
 inference:    85 | throughput: 700.949 | time:   0.023
 inference:    86 | throughput: 707.422 | time:   0.023
 inference:    87 | throughput: 698.767 | time:   0.023
 inference:    88 | throughput: 712.862 | time:   0.022
 inference:    89 | throughput: 711.743 | time:   0.022
 inference:    90 | throughput: 714.547 | time:   0.022
 inference:    91 | throughput: 695.659 | time:   0.023
 inference:    92 | throughput: 713.841 | time:   0.022
 inference:    93 | throughput: 714.799 | time:   0.022
 inference:    94 | throughput: 699.495 | time:   0.023
 inference:    95 | throughput: 696.208 | time:   0.023
 inference:    96 | throughput: 705.674 | time:   0.023
 inference:    97 | throughput: 725.117 | time:   0.022
 inference:    98 | throughput: 713.552 | time:   0.022
 inference:    99 | throughput: 696.475 | time:   0.023
 inference:   100 | throughput: 719.188 | time:   0.022

Total inference throughput: 615.43317, Total inference latency: 0.02600
