Data loading...
densenet121-16 Model building...
Start inference...

 inference:     1 | throughput: 184.111 | time:   0.087
 inference:     2 | throughput: 1078.314 | time:   0.015
 inference:     3 | throughput: 1131.245 | time:   0.014
 inference:     4 | throughput: 1143.739 | time:   0.014
 inference:     5 | throughput: 1130.597 | time:   0.014
 inference:     6 | throughput: 1141.793 | time:   0.014
 inference:     7 | throughput: 1141.851 | time:   0.014
 inference:     8 | throughput: 1193.322 | time:   0.013
 inference:     9 | throughput: 1233.823 | time:   0.013
 inference:    10 | throughput: 1215.036 | time:   0.013
 inference:    11 | throughput: 1205.281 | time:   0.013
 inference:    12 | throughput: 1206.300 | time:   0.013
 inference:    13 | throughput: 1231.920 | time:   0.013
 inference:    14 | throughput: 1190.781 | time:   0.013
 inference:    15 | throughput: 1236.323 | time:   0.013
 inference:    16 | throughput: 1207.559 | time:   0.013
 inference:    17 | throughput: 1205.476 | time:   0.013
 inference:    18 | throughput: 1219.385 | time:   0.013
 inference:    19 | throughput: 1209.561 | time:   0.013
 inference:    20 | throughput: 1233.505 | time:   0.013
 inference:    21 | throughput: 1212.446 | time:   0.013
 inference:    22 | throughput: 1198.480 | time:   0.013
 inference:    23 | throughput: 1243.033 | time:   0.013
 inference:    24 | throughput: 1202.000 | time:   0.013
 inference:    25 | throughput: 1212.774 | time:   0.013
 inference:    26 | throughput: 1208.711 | time:   0.013
 inference:    27 | throughput: 1219.828 | time:   0.013
 inference:    28 | throughput: 1199.143 | time:   0.013
 inference:    29 | throughput: 1224.235 | time:   0.013
 inference:    30 | throughput: 1217.770 | time:   0.013
 inference:    31 | throughput: 1203.121 | time:   0.013
 inference:    32 | throughput: 1216.887 | time:   0.013
 inference:    33 | throughput: 1234.845 | time:   0.013
 inference:    34 | throughput: 1184.560 | time:   0.014
 inference:    35 | throughput: 1241.860 | time:   0.013
 inference:    36 | throughput: 1190.972 | time:   0.013
 inference:    37 | throughput: 1241.332 | time:   0.013
 inference:    38 | throughput: 1172.883 | time:   0.014
 inference:    39 | throughput: 1251.167 | time:   0.013
 inference:    40 | throughput: 1109.421 | time:   0.014
 inference:    41 | throughput: 1142.201 | time:   0.014
 inference:    42 | throughput: 1136.398 | time:   0.014
 inference:    43 | throughput: 1194.852 | time:   0.013
 inference:    44 | throughput: 1154.402 | time:   0.014
 inference:    45 | throughput: 1155.933 | time:   0.014
 inference:    46 | throughput: 1131.589 | time:   0.014
 inference:    47 | throughput: 1166.847 | time:   0.014
 inference:    48 | throughput: 1115.302 | time:   0.014
 inference:    49 | throughput: 1172.310 | time:   0.014
 inference:    50 | throughput: 1132.028 | time:   0.014
 inference:    51 | throughput: 1129.152 | time:   0.014
 inference:    52 | throughput: 1155.694 | time:   0.014
 inference:    53 | throughput: 1160.411 | time:   0.014
 inference:    54 | throughput: 1096.926 | time:   0.015
 inference:    55 | throughput: 1145.417 | time:   0.014
 inference:    56 | throughput: 1134.918 | time:   0.014
 inference:    57 | throughput: 1134.918 | time:   0.014
 inference:    58 | throughput: 1158.848 | time:   0.014
 inference:    59 | throughput: 1152.539 | time:   0.014
 inference:    60 | throughput: 1138.789 | time:   0.014
 inference:    61 | throughput: 1162.944 | time:   0.014
 inference:    62 | throughput: 1143.388 | time:   0.014
 inference:    63 | throughput: 1130.483 | time:   0.014
 inference:    64 | throughput: 1152.638 | time:   0.014
 inference:    65 | throughput: 1145.633 | time:   0.014
 inference:    66 | throughput: 1161.415 | time:   0.014
 inference:    67 | throughput: 1161.274 | time:   0.014
 inference:    68 | throughput: 1131.398 | time:   0.014
 inference:    69 | throughput: 1160.270 | time:   0.014
 inference:    70 | throughput: 1158.348 | time:   0.014
 inference:    71 | throughput: 1130.178 | time:   0.014
 inference:    72 | throughput: 1143.252 | time:   0.014
 inference:    73 | throughput: 1166.239 | time:   0.014
 inference:    74 | throughput: 1128.582 | time:   0.014
 inference:    75 | throughput: 1134.420 | time:   0.014
 inference:    76 | throughput: 1167.943 | time:   0.014
 inference:    77 | throughput: 1130.750 | time:   0.014
 inference:    78 | throughput: 1167.253 | time:   0.014
 inference:    79 | throughput: 1147.965 | time:   0.014
 inference:    80 | throughput:  65.918 | time:   0.243
 inference:    81 | throughput: 956.594 | time:   0.017
 inference:    82 | throughput: 1135.072 | time:   0.014
 inference:    83 | throughput: 1157.369 | time:   0.014
 inference:    84 | throughput: 1147.474 | time:   0.014
 inference:    85 | throughput: 1157.688 | time:   0.014
 inference:    86 | throughput: 1105.255 | time:   0.014
 inference:    87 | throughput: 1146.298 | time:   0.014
 inference:    88 | throughput: 1128.886 | time:   0.014
 inference:    89 | throughput: 1135.937 | time:   0.014
 inference:    90 | throughput: 1147.435 | time:   0.014
 inference:    91 | throughput: 1164.296 | time:   0.014
 inference:    92 | throughput: 1112.308 | time:   0.014
 inference:    93 | throughput: 1155.058 | time:   0.014
 inference:    94 | throughput: 1148.731 | time:   0.014
 inference:    95 | throughput: 1137.998 | time:   0.014
 inference:    96 | throughput: 1142.395 | time:   0.014
 inference:    97 | throughput: 1146.278 | time:   0.014
 inference:    98 | throughput: 1129.817 | time:   0.014
 inference:    99 | throughput: 1160.571 | time:   0.014
 inference:   100 | throughput: 1142.279 | time:   0.014

Total inference throughput: 953.54320, Total inference latency: 0.01678
