Data loading...
densenet121-16 Model building...
Start inference...

 inference:     1 | throughput: 192.025 | time:   0.083
 inference:     2 | throughput: 1081.843 | time:   0.015
 inference:     3 | throughput: 1143.544 | time:   0.014
 inference:     4 | throughput: 1159.208 | time:   0.014
 inference:     5 | throughput: 1180.393 | time:   0.014
 inference:     6 | throughput: 1169.837 | time:   0.014
 inference:     7 | throughput: 1142.065 | time:   0.014
 inference:     8 | throughput: 1152.697 | time:   0.014
 inference:     9 | throughput: 1166.745 | time:   0.014
 inference:    10 | throughput: 1181.827 | time:   0.014
 inference:    11 | throughput: 1174.382 | time:   0.014
 inference:    12 | throughput: 1154.323 | time:   0.014
 inference:    13 | throughput: 1184.978 | time:   0.014
 inference:    14 | throughput: 1159.749 | time:   0.014
 inference:    15 | throughput: 1180.413 | time:   0.014
 inference:    16 | throughput: 1096.049 | time:   0.015
 inference:    17 | throughput: 1183.703 | time:   0.014
 inference:    18 | throughput: 1176.275 | time:   0.014
 inference:    19 | throughput: 1169.653 | time:   0.014
 inference:    20 | throughput: 1151.569 | time:   0.014
 inference:    21 | throughput: 1182.264 | time:   0.014
 inference:    22 | throughput: 1112.935 | time:   0.014
 inference:    23 | throughput: 1177.514 | time:   0.014
 inference:    24 | throughput: 1162.985 | time:   0.014
 inference:    25 | throughput: 1181.640 | time:   0.014
 inference:    26 | throughput: 1168.716 | time:   0.014
 inference:    27 | throughput: 1166.299 | time:   0.014
 inference:    28 | throughput: 1154.462 | time:   0.014
 inference:    29 | throughput: 1201.634 | time:   0.013
 inference:    30 | throughput: 1153.926 | time:   0.014
 inference:    31 | throughput: 1151.293 | time:   0.014
 inference:    32 | throughput: 1163.610 | time:   0.014
 inference:    33 | throughput: 1181.369 | time:   0.014
 inference:    34 | throughput: 1163.832 | time:   0.014
 inference:    35 | throughput: 1125.157 | time:   0.014
 inference:    36 | throughput: 1133.730 | time:   0.014
 inference:    37 | throughput: 1181.681 | time:   0.014
 inference:    38 | throughput: 1150.208 | time:   0.014
 inference:    39 | throughput: 1086.959 | time:   0.015
 inference:    40 | throughput: 1118.817 | time:   0.014
 inference:    41 | throughput: 1173.232 | time:   0.014
 inference:    42 | throughput: 1145.007 | time:   0.014
 inference:    43 | throughput: 1158.028 | time:   0.014
 inference:    44 | throughput: 1162.985 | time:   0.014
 inference:    45 | throughput: 1181.765 | time:   0.014
 inference:    46 | throughput: 1133.577 | time:   0.014
 inference:    47 | throughput: 1141.307 | time:   0.014
 inference:    48 | throughput: 1174.649 | time:   0.014
 inference:    49 | throughput: 1150.938 | time:   0.014
 inference:    50 | throughput: 1142.298 | time:   0.014
 inference:    51 | throughput: 1157.129 | time:   0.014
 inference:    52 | throughput: 1189.473 | time:   0.013
 inference:    53 | throughput: 1164.720 | time:   0.014
 inference:    54 | throughput: 1153.985 | time:   0.014
 inference:    55 | throughput: 1164.155 | time:   0.014
 inference:    56 | throughput: 1161.978 | time:   0.014
 inference:    57 | throughput: 1172.412 | time:   0.014
 inference:    58 | throughput: 1158.368 | time:   0.014
 inference:    59 | throughput: 1161.535 | time:   0.014
 inference:    60 | throughput: 1169.755 | time:   0.014
 inference:    61 | throughput: 1174.546 | time:   0.014
 inference:    62 | throughput: 1145.222 | time:   0.014
 inference:    63 | throughput: 1155.814 | time:   0.014
 inference:    64 | throughput: 1174.957 | time:   0.014
 inference:    65 | throughput: 1109.733 | time:   0.014
 inference:    66 | throughput: 1158.008 | time:   0.014
 inference:    67 | throughput: 1191.775 | time:   0.013
 inference:    68 | throughput: 1168.574 | time:   0.014
 inference:    69 | throughput: 1163.227 | time:   0.014
 inference:    70 | throughput: 1175.987 | time:   0.014
 inference:    71 | throughput: 1165.428 | time:   0.014
 inference:    72 | throughput: 1166.502 | time:   0.014
 inference:    73 | throughput: 1165.712 | time:   0.014
 inference:    74 | throughput: 1175.287 | time:   0.014
 inference:    75 | throughput: 1146.748 | time:   0.014
 inference:    76 | throughput: 1158.468 | time:   0.014
 inference:    77 | throughput: 1162.280 | time:   0.014
 inference:    78 | throughput: 1183.369 | time:   0.014
 inference:    79 | throughput: 1155.495 | time:   0.014
 inference:    80 | throughput:  74.019 | time:   0.216
 inference:    81 | throughput: 967.921 | time:   0.017
 inference:    82 | throughput: 1123.293 | time:   0.014
 inference:    83 | throughput: 1090.740 | time:   0.015
 inference:    84 | throughput: 1176.688 | time:   0.014
 inference:    85 | throughput: 1175.492 | time:   0.014
 inference:    86 | throughput: 1141.521 | time:   0.014
 inference:    87 | throughput: 1169.042 | time:   0.014
 inference:    88 | throughput: 1145.476 | time:   0.014
 inference:    89 | throughput: 1163.348 | time:   0.014
 inference:    90 | throughput: 1162.219 | time:   0.014
 inference:    91 | throughput: 1171.450 | time:   0.014
 inference:    92 | throughput: 1170.510 | time:   0.014
 inference:    93 | throughput: 1174.793 | time:   0.014
 inference:    94 | throughput: 1135.975 | time:   0.014
 inference:    95 | throughput: 1166.340 | time:   0.014
 inference:    96 | throughput: 1183.390 | time:   0.014
 inference:    97 | throughput: 1163.529 | time:   0.014
 inference:    98 | throughput: 1128.202 | time:   0.014
 inference:    99 | throughput: 1168.676 | time:   0.014
 inference:   100 | throughput: 1173.211 | time:   0.014

Total inference throughput: 966.43214, Total inference latency: 0.01656
