Data loading...
densenet121-16 Model building...
Start inference...

 inference:     1 | throughput: 193.597 | time:   0.083
 inference:     2 | throughput: 1039.046 | time:   0.015
 inference:     3 | throughput: 1087.047 | time:   0.015
 inference:     4 | throughput: 1103.093 | time:   0.015
 inference:     5 | throughput: 1109.127 | time:   0.014
 inference:     6 | throughput: 1124.384 | time:   0.014
 inference:     7 | throughput: 1096.622 | time:   0.015
 inference:     8 | throughput: 1096.443 | time:   0.015
 inference:     9 | throughput: 1133.423 | time:   0.014
 inference:    10 | throughput: 1135.860 | time:   0.014
 inference:    11 | throughput: 1147.278 | time:   0.014
 inference:    12 | throughput: 1119.134 | time:   0.014
 inference:    13 | throughput: 1122.804 | time:   0.014
 inference:    14 | throughput: 1129.076 | time:   0.014
 inference:    15 | throughput: 1157.548 | time:   0.014
 inference:    16 | throughput: 1110.118 | time:   0.014
 inference:    17 | throughput: 1143.973 | time:   0.014
 inference:    18 | throughput: 1140.570 | time:   0.014
 inference:    19 | throughput: 1141.968 | time:   0.014
 inference:    20 | throughput: 1136.860 | time:   0.014
 inference:    21 | throughput: 1157.069 | time:   0.014
 inference:    22 | throughput: 1133.711 | time:   0.014
 inference:    23 | throughput: 1152.479 | time:   0.014
 inference:    24 | throughput: 1133.347 | time:   0.014
 inference:    25 | throughput: 1144.090 | time:   0.014
 inference:    26 | throughput: 1141.696 | time:   0.014
 inference:    27 | throughput: 1151.945 | time:   0.014
 inference:    28 | throughput: 1109.127 | time:   0.014
 inference:    29 | throughput: 1149.420 | time:   0.014
 inference:    30 | throughput: 1144.929 | time:   0.014
 inference:    31 | throughput: 1108.614 | time:   0.014
 inference:    32 | throughput: 1131.550 | time:   0.014
 inference:    33 | throughput: 1135.187 | time:   0.014
 inference:    34 | throughput: 1127.842 | time:   0.014
 inference:    35 | throughput: 1102.223 | time:   0.015
 inference:    36 | throughput: 1136.206 | time:   0.014
 inference:    37 | throughput: 1048.150 | time:   0.015
 inference:    38 | throughput: 1055.320 | time:   0.015
 inference:    39 | throughput: 1108.706 | time:   0.014
 inference:    40 | throughput: 1125.270 | time:   0.014
 inference:    41 | throughput: 1133.902 | time:   0.014
 inference:    42 | throughput: 1141.385 | time:   0.014
 inference:    43 | throughput: 1170.469 | time:   0.014
 inference:    44 | throughput: 1105.801 | time:   0.014
 inference:    45 | throughput: 1122.635 | time:   0.014
 inference:    46 | throughput: 1141.307 | time:   0.014
 inference:    47 | throughput: 1104.182 | time:   0.014
 inference:    48 | throughput: 1119.956 | time:   0.014
 inference:    49 | throughput: 1129.418 | time:   0.014
 inference:    50 | throughput: 1141.812 | time:   0.014
 inference:    51 | throughput: 1129.190 | time:   0.014
 inference:    52 | throughput: 1136.148 | time:   0.014
 inference:    53 | throughput: 1148.672 | time:   0.014
 inference:    54 | throughput: 1106.713 | time:   0.014
 inference:    55 | throughput: 1143.914 | time:   0.014
 inference:    56 | throughput: 1148.554 | time:   0.014
 inference:    57 | throughput: 1138.307 | time:   0.014
 inference:    58 | throughput: 1147.788 | time:   0.014
 inference:    59 | throughput: 1138.751 | time:   0.014
 inference:    60 | throughput: 1100.813 | time:   0.015
 inference:    61 | throughput: 1129.342 | time:   0.014
 inference:    62 | throughput: 1127.899 | time:   0.014
 inference:    63 | throughput: 1123.575 | time:   0.014
 inference:    64 | throughput: 1134.017 | time:   0.014
 inference:    65 | throughput: 1141.987 | time:   0.014
 inference:    66 | throughput: 1130.959 | time:   0.014
 inference:    67 | throughput: 1127.274 | time:   0.014
 inference:    68 | throughput: 1140.803 | time:   0.014
 inference:    69 | throughput: 1127.558 | time:   0.014
 inference:    70 | throughput: 1133.672 | time:   0.014
 inference:    71 | throughput: 1135.149 | time:   0.014
 inference:    72 | throughput: 1113.951 | time:   0.014
 inference:    73 | throughput: 1089.253 | time:   0.015
 inference:    74 | throughput: 1129.456 | time:   0.014
 inference:    75 | throughput: 1109.201 | time:   0.014
 inference:    76 | throughput: 1119.377 | time:   0.014
 inference:    77 | throughput: 1127.804 | time:   0.014
 inference:    78 | throughput: 1132.639 | time:   0.014
 inference:    79 | throughput: 1138.538 | time:   0.014
 inference:    80 | throughput:  95.794 | time:   0.167
 inference:    81 | throughput: 1033.159 | time:   0.015
 inference:    82 | throughput: 1103.274 | time:   0.015
 inference:    83 | throughput: 1135.629 | time:   0.014
 inference:    84 | throughput: 1145.457 | time:   0.014
 inference:    85 | throughput: 1165.004 | time:   0.014
 inference:    86 | throughput: 1151.649 | time:   0.014
 inference:    87 | throughput: 1119.731 | time:   0.014
 inference:    88 | throughput: 1129.285 | time:   0.014
 inference:    89 | throughput: 1109.678 | time:   0.014
 inference:    90 | throughput: 1117.233 | time:   0.014
 inference:    91 | throughput: 1130.178 | time:   0.014
 inference:    92 | throughput: 1133.404 | time:   0.014
 inference:    93 | throughput: 1136.533 | time:   0.014
 inference:    94 | throughput: 1115.822 | time:   0.014
 inference:    95 | throughput: 1134.170 | time:   0.014
 inference:    96 | throughput: 1140.105 | time:   0.014
 inference:    97 | throughput: 1120.274 | time:   0.014
 inference:    98 | throughput: 1136.706 | time:   0.014
 inference:    99 | throughput: 1135.860 | time:   0.014
 inference:   100 | throughput: 1146.788 | time:   0.014

Total inference throughput: 974.11156, Total inference latency: 0.01643
