Data loading...
densenet121-16 Model building...
Start inference...

 inference:     1 | throughput: 189.684 | time:   0.084
 inference:     2 | throughput: 1087.734 | time:   0.015
 inference:     3 | throughput: 1096.855 | time:   0.015
 inference:     4 | throughput: 1126.271 | time:   0.014
 inference:     5 | throughput: 1138.403 | time:   0.014
 inference:     6 | throughput: 1142.882 | time:   0.014
 inference:     7 | throughput: 1129.190 | time:   0.014
 inference:     8 | throughput: 1122.503 | time:   0.014
 inference:     9 | throughput: 1167.090 | time:   0.014
 inference:    10 | throughput: 1135.168 | time:   0.014
 inference:    11 | throughput: 1184.079 | time:   0.014
 inference:    12 | throughput: 1114.080 | time:   0.014
 inference:    13 | throughput: 1173.211 | time:   0.014
 inference:    14 | throughput: 1142.045 | time:   0.014
 inference:    15 | throughput: 1159.328 | time:   0.014
 inference:    16 | throughput: 1135.322 | time:   0.014
 inference:    17 | throughput: 1149.813 | time:   0.014
 inference:    18 | throughput: 1150.918 | time:   0.014
 inference:    19 | throughput: 1148.436 | time:   0.014
 inference:    20 | throughput: 1171.205 | time:   0.014
 inference:    21 | throughput: 1146.944 | time:   0.014
 inference:    22 | throughput: 1146.905 | time:   0.014
 inference:    23 | throughput: 1100.831 | time:   0.015
 inference:    24 | throughput: 1088.670 | time:   0.015
 inference:    25 | throughput: 1165.874 | time:   0.014
 inference:    26 | throughput: 1121.584 | time:   0.014
 inference:    27 | throughput: 1169.042 | time:   0.014
 inference:    28 | throughput: 1129.304 | time:   0.014
 inference:    29 | throughput: 1168.411 | time:   0.014
 inference:    30 | throughput: 1131.589 | time:   0.014
 inference:    31 | throughput: 1146.455 | time:   0.014
 inference:    32 | throughput: 1134.995 | time:   0.014
 inference:    33 | throughput: 1149.695 | time:   0.014
 inference:    34 | throughput: 1162.219 | time:   0.014
 inference:    35 | throughput: 1139.215 | time:   0.014
 inference:    36 | throughput: 1144.616 | time:   0.014
 inference:    37 | throughput: 1151.609 | time:   0.014
 inference:    38 | throughput: 1090.439 | time:   0.015
 inference:    39 | throughput: 1117.122 | time:   0.014
 inference:    40 | throughput: 1076.774 | time:   0.015
 inference:    41 | throughput: 1178.651 | time:   0.014
 inference:    42 | throughput: 1140.919 | time:   0.014
 inference:    43 | throughput: 1188.820 | time:   0.013
 inference:    44 | throughput: 1129.646 | time:   0.014
 inference:    45 | throughput: 1164.054 | time:   0.014
 inference:    46 | throughput: 1110.449 | time:   0.014
 inference:    47 | throughput: 1147.435 | time:   0.014
 inference:    48 | throughput: 1121.828 | time:   0.014
 inference:    49 | throughput: 1115.377 | time:   0.014
 inference:    50 | throughput: 1161.374 | time:   0.014
 inference:    51 | throughput: 1134.266 | time:   0.014
 inference:    52 | throughput: 1173.909 | time:   0.014
 inference:    53 | throughput: 1132.085 | time:   0.014
 inference:    54 | throughput: 1138.925 | time:   0.014
 inference:    55 | throughput: 1133.768 | time:   0.014
 inference:    56 | throughput: 1079.962 | time:   0.015
 inference:    57 | throughput: 1129.076 | time:   0.014
 inference:    58 | throughput: 1112.345 | time:   0.014
 inference:    59 | throughput: 1133.596 | time:   0.014
 inference:    60 | throughput: 1115.488 | time:   0.014
 inference:    61 | throughput: 1092.498 | time:   0.015
 inference:    62 | throughput: 1119.302 | time:   0.014
 inference:    63 | throughput: 1132.142 | time:   0.014
 inference:    64 | throughput: 1115.636 | time:   0.014
 inference:    65 | throughput: 1089.783 | time:   0.015
 inference:    66 | throughput: 1170.245 | time:   0.014
 inference:    67 | throughput: 1108.010 | time:   0.014
 inference:    68 | throughput: 1136.957 | time:   0.014
 inference:    69 | throughput: 1128.487 | time:   0.014
 inference:    70 | throughput: 1157.049 | time:   0.014
 inference:    71 | throughput: 1120.292 | time:   0.014
 inference:    72 | throughput: 1166.603 | time:   0.014
 inference:    73 | throughput: 1131.856 | time:   0.014
 inference:    74 | throughput: 1128.411 | time:   0.014
 inference:    75 | throughput: 1171.736 | time:   0.014
 inference:    76 | throughput: 1088.988 | time:   0.015
 inference:    77 | throughput: 1160.170 | time:   0.014
 inference:    78 | throughput: 1126.385 | time:   0.014
 inference:    79 | throughput: 1159.609 | time:   0.014
 inference:    80 | throughput:  80.526 | time:   0.199
 inference:    81 | throughput: 987.970 | time:   0.016
 inference:    82 | throughput: 1099.731 | time:   0.015
 inference:    83 | throughput: 1157.628 | time:   0.014
 inference:    84 | throughput: 1127.861 | time:   0.014
 inference:    85 | throughput: 1176.090 | time:   0.014
 inference:    86 | throughput: 1087.329 | time:   0.015
 inference:    87 | throughput: 1150.385 | time:   0.014
 inference:    88 | throughput: 1119.881 | time:   0.014
 inference:    89 | throughput: 1109.366 | time:   0.014
 inference:    90 | throughput: 1164.417 | time:   0.014
 inference:    91 | throughput: 1113.914 | time:   0.014
 inference:    92 | throughput: 1163.025 | time:   0.014
 inference:    93 | throughput: 1138.616 | time:   0.014
 inference:    94 | throughput: 1158.268 | time:   0.014
 inference:    95 | throughput: 1140.725 | time:   0.014
 inference:    96 | throughput: 1118.779 | time:   0.014
 inference:    97 | throughput: 1157.608 | time:   0.014
 inference:    98 | throughput: 1127.236 | time:   0.014
 inference:    99 | throughput: 1177.101 | time:   0.014
 inference:   100 | throughput: 1136.206 | time:   0.014

Total inference throughput: 960.55151, Total inference latency: 0.01666
