Data loading...
densenet121-16 Model building...
Start inference...

 inference:     1 | throughput:  34.613 | time:   0.462
 inference:     2 | throughput: 984.954 | time:   0.016
 inference:     3 | throughput: 1102.912 | time:   0.015
 inference:     4 | throughput: 1110.118 | time:   0.014
 inference:     5 | throughput: 1128.297 | time:   0.014
 inference:     6 | throughput: 1096.049 | time:   0.015
 inference:     7 | throughput: 1155.854 | time:   0.014
 inference:     8 | throughput: 1100.308 | time:   0.015
 inference:     9 | throughput: 1131.283 | time:   0.014
 inference:    10 | throughput: 1134.976 | time:   0.014
 inference:    11 | throughput: 1183.056 | time:   0.014
 inference:    12 | throughput: 1153.569 | time:   0.014
 inference:    13 | throughput: 1171.859 | time:   0.014
 inference:    14 | throughput: 1149.380 | time:   0.014
 inference:    15 | throughput: 1177.452 | time:   0.014
 inference:    16 | throughput: 1137.188 | time:   0.014
 inference:    17 | throughput: 1188.314 | time:   0.013
 inference:    18 | throughput: 1160.090 | time:   0.014
 inference:    19 | throughput: 1167.151 | time:   0.014
 inference:    20 | throughput: 1156.511 | time:   0.014
 inference:    21 | throughput: 1148.043 | time:   0.014
 inference:    22 | throughput: 1156.332 | time:   0.014
 inference:    23 | throughput: 1168.737 | time:   0.014
 inference:    24 | throughput: 1162.844 | time:   0.014
 inference:    25 | throughput: 1176.605 | time:   0.014
 inference:    26 | throughput: 1150.444 | time:   0.014
 inference:    27 | throughput: 1178.631 | time:   0.014
 inference:    28 | throughput: 1150.188 | time:   0.014
 inference:    29 | throughput: 1185.795 | time:   0.013
 inference:    30 | throughput: 1143.875 | time:   0.014
 inference:    31 | throughput: 1157.389 | time:   0.014
 inference:    32 | throughput: 1166.543 | time:   0.014
 inference:    33 | throughput: 1159.048 | time:   0.014
 inference:    34 | throughput: 1171.696 | time:   0.014
 inference:    35 | throughput: 1176.502 | time:   0.014
 inference:    36 | throughput: 1140.086 | time:   0.014
 inference:    37 | throughput: 1181.681 | time:   0.014
 inference:    38 | throughput: 1142.317 | time:   0.014
 inference:    39 | throughput: 1183.035 | time:   0.014
 inference:    40 | throughput: 1158.228 | time:   0.014
 inference:    41 | throughput: 1163.206 | time:   0.014
 inference:    42 | throughput: 1162.501 | time:   0.014
 inference:    43 | throughput: 1154.819 | time:   0.014
 inference:    44 | throughput: 1167.659 | time:   0.014
 inference:    45 | throughput: 1152.657 | time:   0.014
 inference:    46 | throughput: 1182.202 | time:   0.014
 inference:    47 | throughput: 1151.609 | time:   0.014
 inference:    48 | throughput: 1161.395 | time:   0.014
 inference:    49 | throughput: 1169.857 | time:   0.014
 inference:    50 | throughput: 1151.629 | time:   0.014
 inference:    51 | throughput: 1176.069 | time:   0.014
 inference:    52 | throughput: 1107.827 | time:   0.014
 inference:    53 | throughput: 1126.214 | time:   0.014
 inference:    54 | throughput: 1182.410 | time:   0.014
 inference:    55 | throughput: 1170.735 | time:   0.014
 inference:    56 | throughput: 1163.953 | time:   0.014
 inference:    57 | throughput: 1185.522 | time:   0.013
 inference:    58 | throughput: 1177.307 | time:   0.014
 inference:    59 | throughput: 1171.021 | time:   0.014
 inference:    60 | throughput: 1116.917 | time:   0.014
 inference:    61 | throughput: 1176.296 | time:   0.014
 inference:    62 | throughput: 1135.014 | time:   0.014
 inference:    63 | throughput: 1152.657 | time:   0.014
 inference:    64 | throughput: 1161.475 | time:   0.014
 inference:    65 | throughput: 1146.866 | time:   0.014
 inference:    66 | throughput: 1182.181 | time:   0.014
 inference:    67 | throughput: 1157.089 | time:   0.014
 inference:    68 | throughput: 1167.050 | time:   0.014
 inference:    69 | throughput: 1159.929 | time:   0.014
 inference:    70 | throughput: 1142.590 | time:   0.014
 inference:    71 | throughput: 1172.637 | time:   0.014
 inference:    72 | throughput: 1152.163 | time:   0.014
 inference:    73 | throughput: 1172.822 | time:   0.014
 inference:    74 | throughput: 1161.294 | time:   0.014
 inference:    75 | throughput: 1119.825 | time:   0.014
 inference:    76 | throughput: 1141.365 | time:   0.014
 inference:    77 | throughput: 1169.287 | time:   0.014
 inference:    78 | throughput: 1179.128 | time:   0.014
 inference:    79 | throughput: 1167.578 | time:   0.014
 inference:    80 | throughput:  41.136 | time:   0.389
 inference:    81 | throughput: 992.309 | time:   0.016
 inference:    82 | throughput: 1184.936 | time:   0.014
 inference:    83 | throughput: 1169.898 | time:   0.014
 inference:    84 | throughput: 1159.909 | time:   0.014
 inference:    85 | throughput: 1155.854 | time:   0.014
 inference:    86 | throughput: 1159.588 | time:   0.014
 inference:    87 | throughput: 1136.110 | time:   0.014
 inference:    88 | throughput: 1164.094 | time:   0.014
 inference:    89 | throughput: 1139.582 | time:   0.014
 inference:    90 | throughput: 1150.030 | time:   0.014
 inference:    91 | throughput: 1183.181 | time:   0.014
 inference:    92 | throughput: 1148.436 | time:   0.014
 inference:    93 | throughput: 1179.314 | time:   0.014
 inference:    94 | throughput: 1152.677 | time:   0.014
 inference:    95 | throughput: 1138.886 | time:   0.014
 inference:    96 | throughput: 1193.662 | time:   0.013
 inference:    97 | throughput: 1148.397 | time:   0.014
 inference:    98 | throughput: 1153.827 | time:   0.014
 inference:    99 | throughput: 1161.334 | time:   0.014
 inference:   100 | throughput: 1147.965 | time:   0.014

Total inference throughput: 723.58799, Total inference latency: 0.02211
