Data loading...
densenet121-32 Model building...
Start inference...

 inference:     1 | throughput:  53.730 | time:   0.596
 inference:     2 | throughput: 1422.401 | time:   0.022
 inference:     3 | throughput: 422.003 | time:   0.076
 inference:     4 | throughput: 392.731 | time:   0.081
 inference:     5 | throughput: 395.187 | time:   0.081
 inference:     6 | throughput: 392.365 | time:   0.082
 inference:     7 | throughput: 397.706 | time:   0.080
 inference:     8 | throughput: 394.863 | time:   0.081
 inference:     9 | throughput: 392.594 | time:   0.082
 inference:    10 | throughput: 397.082 | time:   0.081
 inference:    11 | throughput: 390.931 | time:   0.082
 inference:    12 | throughput: 397.722 | time:   0.080
 inference:    13 | throughput: 391.473 | time:   0.082
 inference:    14 | throughput: 394.847 | time:   0.081
 inference:    15 | throughput: 394.350 | time:   0.081
 inference:    16 | throughput: 395.944 | time:   0.081
 inference:    17 | throughput: 395.851 | time:   0.081
 inference:    18 | throughput: 390.124 | time:   0.082
 inference:    19 | throughput: 396.995 | time:   0.081
 inference:    20 | throughput: 395.962 | time:   0.081
 inference:    21 | throughput: 394.098 | time:   0.081
 inference:    22 | throughput: 393.160 | time:   0.081
 inference:    23 | throughput: 391.797 | time:   0.082
 inference:    24 | throughput: 395.907 | time:   0.081
 inference:    25 | throughput: 393.398 | time:   0.081
 inference:    26 | throughput: 395.210 | time:   0.081
 inference:    27 | throughput: 395.968 | time:   0.081
 inference:    28 | throughput: 390.625 | time:   0.082
 inference:    29 | throughput: 395.445 | time:   0.081
 inference:    30 | throughput: 391.752 | time:   0.082
 inference:    31 | throughput: 398.299 | time:   0.080
 inference:    32 | throughput: 392.814 | time:   0.081
 inference:    33 | throughput: 393.290 | time:   0.081
 inference:    34 | throughput: 394.868 | time:   0.081
 inference:    35 | throughput: 395.631 | time:   0.081
 inference:    36 | throughput: 395.589 | time:   0.081
 inference:    37 | throughput: 396.823 | time:   0.081
 inference:    38 | throughput: 393.532 | time:   0.081
 inference:    39 | throughput: 394.686 | time:   0.081
 inference:    40 | throughput: 394.681 | time:   0.081
 inference:    41 | throughput: 393.290 | time:   0.081
 inference:    42 | throughput: 397.547 | time:   0.080
 inference:    43 | throughput: 393.584 | time:   0.081
 inference:    44 | throughput: 394.842 | time:   0.081
 inference:    45 | throughput: 394.562 | time:   0.081
 inference:    46 | throughput: 394.497 | time:   0.081
 inference:    47 | throughput: 391.503 | time:   0.082
 inference:    48 | throughput: 395.451 | time:   0.081
 inference:    49 | throughput: 390.023 | time:   0.082
 inference:    50 | throughput: 399.000 | time:   0.080
 inference:    51 | throughput: 395.152 | time:   0.081
 inference:    52 | throughput: 392.380 | time:   0.082
 inference:    53 | throughput: 391.940 | time:   0.082
 inference:    54 | throughput: 398.368 | time:   0.080
 inference:    55 | throughput: 394.031 | time:   0.081
 inference:    56 | throughput: 395.222 | time:   0.081
 inference:    57 | throughput: 392.786 | time:   0.081
 inference:    58 | throughput: 396.606 | time:   0.081
 inference:    59 | throughput: 394.097 | time:   0.081
 inference:    60 | throughput: 392.778 | time:   0.081
 inference:    61 | throughput: 397.054 | time:   0.081
 inference:    62 | throughput: 392.363 | time:   0.082
 inference:    63 | throughput: 392.414 | time:   0.082
 inference:    64 | throughput: 397.248 | time:   0.081
 inference:    65 | throughput: 394.695 | time:   0.081
 inference:    66 | throughput: 395.224 | time:   0.081
 inference:    67 | throughput: 393.636 | time:   0.081
 inference:    68 | throughput: 392.930 | time:   0.081
 inference:    69 | throughput: 396.748 | time:   0.081
 inference:    70 | throughput: 393.871 | time:   0.081
 inference:    71 | throughput: 393.961 | time:   0.081
 inference:    72 | throughput: 393.658 | time:   0.081
 inference:    73 | throughput: 397.468 | time:   0.081
 inference:    74 | throughput: 393.856 | time:   0.081
 inference:    75 | throughput: 393.014 | time:   0.081
 inference:    76 | throughput: 391.553 | time:   0.082
 inference:    77 | throughput: 393.730 | time:   0.081
 inference:    78 | throughput: 400.744 | time:   0.080
 inference:    79 | throughput: 391.276 | time:   0.082
 inference:    80 | throughput: 395.921 | time:   0.081
 inference:    81 | throughput: 392.169 | time:   0.082
 inference:    82 | throughput: 395.954 | time:   0.081
 inference:    83 | throughput: 395.640 | time:   0.081
 inference:    84 | throughput: 394.217 | time:   0.081
 inference:    85 | throughput: 398.646 | time:   0.080
 inference:    86 | throughput: 393.817 | time:   0.081
 inference:    87 | throughput: 390.213 | time:   0.082
 inference:    88 | throughput: 395.200 | time:   0.081
 inference:    89 | throughput: 393.438 | time:   0.081
 inference:    90 | throughput: 394.462 | time:   0.081
 inference:    91 | throughput: 396.040 | time:   0.081
 inference:    92 | throughput: 393.891 | time:   0.081
 inference:    93 | throughput: 394.839 | time:   0.081
 inference:    94 | throughput: 394.323 | time:   0.081
 inference:    95 | throughput: 395.330 | time:   0.081
 inference:    96 | throughput: 387.588 | time:   0.083
 inference:    97 | throughput: 399.676 | time:   0.080
 inference:    98 | throughput: 391.899 | time:   0.082
 inference:    99 | throughput: 396.409 | time:   0.081
 inference:   100 | throughput: 393.380 | time:   0.081

Total inference throughput: 373.67500, Total inference latency: 0.08564
