Data loading...
densenet121-32 Model building...
Start inference...

 inference:     1 | throughput:  56.213 | time:   0.569
 inference:     2 | throughput: 1205.249 | time:   0.027
 inference:     3 | throughput: 1582.215 | time:   0.020
 inference:     4 | throughput: 1095.279 | time:   0.029
 inference:     5 | throughput: 1093.976 | time:   0.029
 inference:     6 | throughput: 1080.849 | time:   0.030
 inference:     7 | throughput: 1116.899 | time:   0.029
 inference:     8 | throughput: 1081.694 | time:   0.030
 inference:     9 | throughput: 1106.403 | time:   0.029
 inference:    10 | throughput: 1101.907 | time:   0.029
 inference:    11 | throughput: 1110.366 | time:   0.029
 inference:    12 | throughput: 1075.704 | time:   0.030
 inference:    13 | throughput: 1114.413 | time:   0.029
 inference:    14 | throughput: 1088.935 | time:   0.029
 inference:    15 | throughput: 1122.785 | time:   0.029
 inference:    16 | throughput: 1102.576 | time:   0.029
 inference:    17 | throughput: 1101.898 | time:   0.029
 inference:    18 | throughput: 1109.971 | time:   0.029
 inference:    19 | throughput: 1107.608 | time:   0.029
 inference:    20 | throughput: 1099.902 | time:   0.029
 inference:    21 | throughput: 1114.053 | time:   0.029
 inference:    22 | throughput: 1090.199 | time:   0.029
 inference:    23 | throughput: 1119.181 | time:   0.029
 inference:    24 | throughput: 1101.472 | time:   0.029
 inference:    25 | throughput: 1108.495 | time:   0.029
 inference:    26 | throughput: 1054.549 | time:   0.030
 inference:    27 | throughput: 1123.283 | time:   0.028
 inference:    28 | throughput: 1112.077 | time:   0.029
 inference:    29 | throughput: 1106.713 | time:   0.029
 inference:    30 | throughput: 1082.733 | time:   0.030
 inference:    31 | throughput: 1099.992 | time:   0.029
 inference:    32 | throughput: 1098.965 | time:   0.029
 inference:    33 | throughput: 1104.864 | time:   0.029
 inference:    34 | throughput: 1099.659 | time:   0.029
 inference:    35 | throughput: 1104.345 | time:   0.029
 inference:    36 | throughput: 1104.554 | time:   0.029
 inference:    37 | throughput: 1091.228 | time:   0.029
 inference:    38 | throughput: 1097.294 | time:   0.029
 inference:    39 | throughput: 1103.401 | time:   0.029
 inference:    40 | throughput: 1099.289 | time:   0.029
 inference:    41 | throughput: 1114.367 | time:   0.029
 inference:    42 | throughput: 1106.458 | time:   0.029
 inference:    43 | throughput: 1105.665 | time:   0.029
 inference:    44 | throughput: 1100.903 | time:   0.029
 inference:    45 | throughput: 1114.913 | time:   0.029
 inference:    46 | throughput: 1105.464 | time:   0.029
 inference:    47 | throughput: 1104.527 | time:   0.029
 inference:    48 | throughput: 1104.645 | time:   0.029
 inference:    49 | throughput: 1108.578 | time:   0.029
 inference:    50 | throughput: 1102.015 | time:   0.029
 inference:    51 | throughput: 1102.721 | time:   0.029
 inference:    52 | throughput: 1072.232 | time:   0.030
 inference:    53 | throughput: 1122.550 | time:   0.029
 inference:    54 | throughput: 1111.654 | time:   0.029
 inference:    55 | throughput: 1105.819 | time:   0.029
 inference:    56 | throughput: 1071.830 | time:   0.030
 inference:    57 | throughput: 1091.166 | time:   0.029
 inference:    58 | throughput: 1084.246 | time:   0.030
 inference:    59 | throughput: 1124.525 | time:   0.028
 inference:    60 | throughput: 1085.035 | time:   0.029
 inference:    61 | throughput: 1115.034 | time:   0.029
 inference:    62 | throughput: 1106.914 | time:   0.029
 inference:    63 | throughput: 1087.452 | time:   0.029
 inference:    64 | throughput: 1112.483 | time:   0.029
 inference:    65 | throughput: 1097.887 | time:   0.029
 inference:    66 | throughput: 1107.654 | time:   0.029
 inference:    67 | throughput: 1111.783 | time:   0.029
 inference:    68 | throughput: 1092.409 | time:   0.029
 inference:    69 | throughput: 1104.718 | time:   0.029
 inference:    70 | throughput: 1110.302 | time:   0.029
 inference:    71 | throughput: 1108.559 | time:   0.029
 inference:    72 | throughput: 1105.000 | time:   0.029
 inference:    73 | throughput: 1104.191 | time:   0.029
 inference:    74 | throughput: 1101.807 | time:   0.029
 inference:    75 | throughput: 1110.302 | time:   0.029
 inference:    76 | throughput: 1092.151 | time:   0.029
 inference:    77 | throughput: 1107.042 | time:   0.029
 inference:    78 | throughput: 1068.851 | time:   0.030
 inference:    79 | throughput: 1126.318 | time:   0.028
 inference:    80 | throughput: 1105.364 | time:   0.029
 inference:    81 | throughput: 1096.371 | time:   0.029
 inference:    82 | throughput: 1087.171 | time:   0.029
 inference:    83 | throughput: 1096.541 | time:   0.029
 inference:    84 | throughput: 1098.767 | time:   0.029
 inference:    85 | throughput: 1097.743 | time:   0.029
 inference:    86 | throughput: 1102.875 | time:   0.029
 inference:    87 | throughput: 1097.842 | time:   0.029
 inference:    88 | throughput: 1104.037 | time:   0.029
 inference:    89 | throughput: 1077.985 | time:   0.030
 inference:    90 | throughput: 1113.775 | time:   0.029
 inference:    91 | throughput: 1099.559 | time:   0.029
 inference:    92 | throughput: 1109.870 | time:   0.029
 inference:    93 | throughput: 1106.859 | time:   0.029
 inference:    94 | throughput: 1082.288 | time:   0.030
 inference:    95 | throughput: 1107.635 | time:   0.029
 inference:    96 | throughput: 1113.997 | time:   0.029
 inference:    97 | throughput: 1110.633 | time:   0.029
 inference:    98 | throughput: 1097.985 | time:   0.029
 inference:    99 | throughput: 1109.412 | time:   0.029
 inference:   100 | throughput: 1106.695 | time:   0.029

Total inference throughput: 931.86410, Total inference latency: 0.03434
