Data loading...
densenet121-32 Model building...
Start inference...

 inference:     1 | throughput:  57.053 | time:   0.561
 inference:     2 | throughput: 1351.571 | time:   0.024
 inference:     3 | throughput: 1394.803 | time:   0.023
 inference:     4 | throughput: 1097.061 | time:   0.029
 inference:     5 | throughput: 1094.520 | time:   0.029
 inference:     6 | throughput: 1086.493 | time:   0.029
 inference:     7 | throughput: 1111.359 | time:   0.029
 inference:     8 | throughput: 1094.163 | time:   0.029
 inference:     9 | throughput: 1109.228 | time:   0.029
 inference:    10 | throughput: 1101.997 | time:   0.029
 inference:    11 | throughput: 1103.156 | time:   0.029
 inference:    12 | throughput: 1081.538 | time:   0.030
 inference:    13 | throughput: 1118.379 | time:   0.029
 inference:    14 | throughput: 1093.860 | time:   0.029
 inference:    15 | throughput: 1108.633 | time:   0.029
 inference:    16 | throughput: 1104.037 | time:   0.029
 inference:    17 | throughput: 1108.285 | time:   0.029
 inference:    18 | throughput: 1099.145 | time:   0.029
 inference:    19 | throughput: 1116.072 | time:   0.029
 inference:    20 | throughput: 1104.191 | time:   0.029
 inference:    21 | throughput: 1102.676 | time:   0.029
 inference:    22 | throughput: 1096.684 | time:   0.029
 inference:    23 | throughput: 1112.861 | time:   0.029
 inference:    24 | throughput: 1112.557 | time:   0.029
 inference:    25 | throughput: 1110.623 | time:   0.029
 inference:    26 | throughput: 1103.039 | time:   0.029
 inference:    27 | throughput: 1062.690 | time:   0.030
 inference:    28 | throughput: 1119.806 | time:   0.029
 inference:    29 | throughput: 1108.431 | time:   0.029
 inference:    30 | throughput: 1109.889 | time:   0.029
 inference:    31 | throughput: 1089.474 | time:   0.029
 inference:    32 | throughput: 1091.663 | time:   0.029
 inference:    33 | throughput: 1107.571 | time:   0.029
 inference:    34 | throughput: 1085.272 | time:   0.029
 inference:    35 | throughput: 1112.557 | time:   0.029
 inference:    36 | throughput: 1097.869 | time:   0.029
 inference:    37 | throughput: 1109.531 | time:   0.029
 inference:    38 | throughput: 1076.662 | time:   0.030
 inference:    39 | throughput: 1120.620 | time:   0.029
 inference:    40 | throughput: 1086.739 | time:   0.029
 inference:    41 | throughput: 1114.487 | time:   0.029
 inference:    42 | throughput: 1105.838 | time:   0.029
 inference:    43 | throughput: 1101.301 | time:   0.029
 inference:    44 | throughput: 1117.317 | time:   0.029
 inference:    45 | throughput: 1101.753 | time:   0.029
 inference:    46 | throughput: 1107.901 | time:   0.029
 inference:    47 | throughput: 1114.811 | time:   0.029
 inference:    48 | throughput: 1107.160 | time:   0.029
 inference:    49 | throughput: 1111.506 | time:   0.029
 inference:    50 | throughput: 1103.900 | time:   0.029
 inference:    51 | throughput: 1108.221 | time:   0.029
 inference:    52 | throughput: 1086.880 | time:   0.029
 inference:    53 | throughput: 1082.558 | time:   0.030
 inference:    54 | throughput: 1121.134 | time:   0.029
 inference:    55 | throughput: 1121.884 | time:   0.029
 inference:    56 | throughput: 1084.167 | time:   0.030
 inference:    57 | throughput: 1102.957 | time:   0.029
 inference:    58 | throughput: 1088.219 | time:   0.029
 inference:    59 | throughput: 1112.188 | time:   0.029
 inference:    60 | throughput: 1082.218 | time:   0.030
 inference:    61 | throughput: 1107.334 | time:   0.029
 inference:    62 | throughput: 1107.626 | time:   0.029
 inference:    63 | throughput: 1094.493 | time:   0.029
 inference:    64 | throughput: 1091.840 | time:   0.029
 inference:    65 | throughput: 1109.457 | time:   0.029
 inference:    66 | throughput: 1098.534 | time:   0.029
 inference:    67 | throughput: 1115.877 | time:   0.029
 inference:    68 | throughput: 1097.833 | time:   0.029
 inference:    69 | throughput: 1115.952 | time:   0.029
 inference:    70 | throughput: 1104.709 | time:   0.029
 inference:    71 | throughput: 1105.655 | time:   0.029
 inference:    72 | throughput: 1105.127 | time:   0.029
 inference:    73 | throughput: 1107.252 | time:   0.029
 inference:    74 | throughput: 1110.430 | time:   0.029
 inference:    75 | throughput: 1102.341 | time:   0.029
 inference:    76 | throughput: 1109.467 | time:   0.029
 inference:    77 | throughput: 965.109 | time:   0.033
 inference:    78 | throughput: 906.160 | time:   0.035
 inference:    79 | throughput: 1610.832 | time:   0.020
 inference:    80 | throughput: 1109.595 | time:   0.029
 inference:    81 | throughput: 1102.776 | time:   0.029
 inference:    82 | throughput: 1096.425 | time:   0.029
 inference:    83 | throughput: 1087.911 | time:   0.029
 inference:    84 | throughput: 1115.117 | time:   0.029
 inference:    85 | throughput: 1092.969 | time:   0.029
 inference:    86 | throughput: 1099.956 | time:   0.029
 inference:    87 | throughput: 1103.492 | time:   0.029
 inference:    88 | throughput: 1107.937 | time:   0.029
 inference:    89 | throughput: 1090.696 | time:   0.029
 inference:    90 | throughput: 1095.789 | time:   0.029
 inference:    91 | throughput: 1110.339 | time:   0.029
 inference:    92 | throughput: 1114.904 | time:   0.029
 inference:    93 | throughput: 1103.465 | time:   0.029
 inference:    94 | throughput: 1086.387 | time:   0.029
 inference:    95 | throughput: 1133.931 | time:   0.028
 inference:    96 | throughput: 1103.919 | time:   0.029
 inference:    97 | throughput: 1107.946 | time:   0.029
 inference:    98 | throughput: 1103.583 | time:   0.029
 inference:    99 | throughput: 1113.692 | time:   0.029
 inference:   100 | throughput: 1107.599 | time:   0.029

Total inference throughput: 934.90310, Total inference latency: 0.03423
