Data loading...
densenet121-32 Model building...
Start inference...

 inference:     1 | throughput:  58.239 | time:   0.549
 inference:     2 | throughput: 1695.289 | time:   0.019
 inference:     3 | throughput: 1451.772 | time:   0.022
 inference:     4 | throughput: 1312.142 | time:   0.024
 inference:     5 | throughput: 1298.496 | time:   0.025
 inference:     6 | throughput: 1290.518 | time:   0.025
 inference:     7 | throughput: 1299.200 | time:   0.025
 inference:     8 | throughput: 1295.575 | time:   0.025
 inference:     9 | throughput: 1302.149 | time:   0.025
 inference:    10 | throughput: 1307.464 | time:   0.024
 inference:    11 | throughput: 1307.222 | time:   0.024
 inference:    12 | throughput: 1295.675 | time:   0.025
 inference:    13 | throughput: 1313.851 | time:   0.024
 inference:    14 | throughput: 1284.429 | time:   0.025
 inference:    15 | throughput: 1318.238 | time:   0.024
 inference:    16 | throughput: 1287.436 | time:   0.025
 inference:    17 | throughput: 1317.565 | time:   0.024
 inference:    18 | throughput: 1295.188 | time:   0.025
 inference:    19 | throughput: 1306.077 | time:   0.025
 inference:    20 | throughput: 1312.386 | time:   0.024
 inference:    21 | throughput: 1308.650 | time:   0.024
 inference:    22 | throughput: 1305.620 | time:   0.025
 inference:    23 | throughput: 1310.874 | time:   0.024
 inference:    24 | throughput: 1297.329 | time:   0.025
 inference:    25 | throughput: 1312.990 | time:   0.024
 inference:    26 | throughput: 1294.314 | time:   0.025
 inference:    27 | throughput: 1311.271 | time:   0.024
 inference:    28 | throughput: 1293.515 | time:   0.025
 inference:    29 | throughput: 1307.082 | time:   0.024
 inference:    30 | throughput: 1320.001 | time:   0.024
 inference:    31 | throughput: 1280.068 | time:   0.025
 inference:    32 | throughput: 1302.162 | time:   0.025
 inference:    33 | throughput: 1326.787 | time:   0.024
 inference:    34 | throughput: 1291.387 | time:   0.025
 inference:    35 | throughput: 1323.229 | time:   0.024
 inference:    36 | throughput: 1275.410 | time:   0.025
 inference:    37 | throughput: 1289.006 | time:   0.025
 inference:    38 | throughput: 1309.646 | time:   0.024
 inference:    39 | throughput: 1304.668 | time:   0.025
 inference:    40 | throughput: 1307.159 | time:   0.024
 inference:    41 | throughput: 1306.904 | time:   0.024
 inference:    42 | throughput: 1297.266 | time:   0.025
 inference:    43 | throughput: 1303.768 | time:   0.025
 inference:    44 | throughput: 1293.141 | time:   0.025
 inference:    45 | throughput: 1287.300 | time:   0.025
 inference:    46 | throughput: 1307.579 | time:   0.024
 inference:    47 | throughput: 1292.245 | time:   0.025
 inference:    48 | throughput: 1330.759 | time:   0.024
 inference:    49 | throughput: 1303.730 | time:   0.025
 inference:    50 | throughput: 1300.597 | time:   0.025
 inference:    51 | throughput: 1303.439 | time:   0.025
 inference:    52 | throughput: 1312.720 | time:   0.024
 inference:    53 | throughput: 1310.669 | time:   0.024
 inference:    54 | throughput: 1301.972 | time:   0.025
 inference:    55 | throughput: 1306.471 | time:   0.024
 inference:    56 | throughput: 1309.940 | time:   0.024
 inference:    57 | throughput: 1306.739 | time:   0.024
 inference:    58 | throughput: 1307.528 | time:   0.024
 inference:    59 | throughput: 1307.031 | time:   0.024
 inference:    60 | throughput: 1307.375 | time:   0.024
 inference:    61 | throughput: 1303.718 | time:   0.025
 inference:    62 | throughput: 1269.739 | time:   0.025
 inference:    63 | throughput: 1328.073 | time:   0.024
 inference:    64 | throughput: 1313.452 | time:   0.024
 inference:    65 | throughput: 1304.047 | time:   0.025
 inference:    66 | throughput: 1309.377 | time:   0.024
 inference:    67 | throughput: 1288.560 | time:   0.025
 inference:    68 | throughput: 1277.036 | time:   0.025
 inference:    69 | throughput: 1322.381 | time:   0.024
 inference:    70 | throughput: 1310.989 | time:   0.024
 inference:    71 | throughput: 1298.220 | time:   0.025
 inference:    72 | throughput: 1309.339 | time:   0.024
 inference:    73 | throughput: 1302.920 | time:   0.025
 inference:    74 | throughput: 1306.548 | time:   0.024
 inference:    75 | throughput: 1295.175 | time:   0.025
 inference:    76 | throughput: 1285.438 | time:   0.025
 inference:    77 | throughput: 1318.057 | time:   0.024
 inference:    78 | throughput: 1308.088 | time:   0.024
 inference:    79 | throughput: 1305.468 | time:   0.025
 inference:    80 | throughput: 1309.620 | time:   0.024
 inference:    81 | throughput: 1311.424 | time:   0.024
 inference:    82 | throughput: 1310.848 | time:   0.024
 inference:    83 | throughput: 1299.703 | time:   0.025
 inference:    84 | throughput: 1301.732 | time:   0.025
 inference:    85 | throughput: 1300.169 | time:   0.025
 inference:    86 | throughput: 1303.756 | time:   0.025
 inference:    87 | throughput: 1311.758 | time:   0.024
 inference:    88 | throughput: 1305.506 | time:   0.025
 inference:    89 | throughput: 1295.600 | time:   0.025
 inference:    90 | throughput: 1320.235 | time:   0.024
 inference:    91 | throughput: 1304.719 | time:   0.025
 inference:    92 | throughput: 1302.402 | time:   0.025
 inference:    93 | throughput: 1273.473 | time:   0.025
 inference:    94 | throughput: 1315.744 | time:   0.024
 inference:    95 | throughput: 1323.568 | time:   0.024
 inference:    96 | throughput: 1302.794 | time:   0.025
 inference:    97 | throughput: 1292.917 | time:   0.025
 inference:    98 | throughput: 1304.731 | time:   0.025
 inference:    99 | throughput: 1296.464 | time:   0.025
 inference:   100 | throughput: 1304.719 | time:   0.025

Total inference throughput: 1076.91364, Total inference latency: 0.02971
