Data loading...
densenet121-32 Model building...
Start inference...

 inference:     1 | throughput:  57.272 | time:   0.559
 inference:     2 | throughput: 1573.755 | time:   0.020
 inference:     3 | throughput: 1494.463 | time:   0.021
 inference:     4 | throughput: 1260.391 | time:   0.025
 inference:     5 | throughput: 1311.860 | time:   0.024
 inference:     6 | throughput: 1283.655 | time:   0.025
 inference:     7 | throughput: 1293.802 | time:   0.025
 inference:     8 | throughput: 1298.709 | time:   0.025
 inference:     9 | throughput: 1299.388 | time:   0.025
 inference:    10 | throughput: 1289.229 | time:   0.025
 inference:    11 | throughput: 1305.328 | time:   0.025
 inference:    12 | throughput: 1309.160 | time:   0.024
 inference:    13 | throughput: 1275.349 | time:   0.025
 inference:    14 | throughput: 1305.772 | time:   0.025
 inference:    15 | throughput: 1291.275 | time:   0.025
 inference:    16 | throughput: 1317.216 | time:   0.024
 inference:    17 | throughput: 1309.173 | time:   0.024
 inference:    18 | throughput: 1296.113 | time:   0.025
 inference:    19 | throughput: 1305.810 | time:   0.025
 inference:    20 | throughput: 1300.118 | time:   0.025
 inference:    21 | throughput: 1310.784 | time:   0.024
 inference:    22 | throughput: 1306.421 | time:   0.024
 inference:    23 | throughput: 1307.923 | time:   0.024
 inference:    24 | throughput: 1303.047 | time:   0.025
 inference:    25 | throughput: 1311.155 | time:   0.024
 inference:    26 | throughput: 1299.087 | time:   0.025
 inference:    27 | throughput: 1310.131 | time:   0.024
 inference:    28 | throughput: 1300.547 | time:   0.025
 inference:    29 | throughput: 1307.375 | time:   0.024
 inference:    30 | throughput: 1276.829 | time:   0.025
 inference:    31 | throughput: 1274.695 | time:   0.025
 inference:    32 | throughput: 1309.071 | time:   0.024
 inference:    33 | throughput: 1313.683 | time:   0.024
 inference:    34 | throughput: 1312.373 | time:   0.024
 inference:    35 | throughput: 1271.073 | time:   0.025
 inference:    36 | throughput: 1291.847 | time:   0.025
 inference:    37 | throughput: 1301.922 | time:   0.025
 inference:    38 | throughput: 1298.006 | time:   0.025
 inference:    39 | throughput: 1296.276 | time:   0.025
 inference:    40 | throughput: 1307.120 | time:   0.024
 inference:    41 | throughput: 1295.813 | time:   0.025
 inference:    42 | throughput: 1303.616 | time:   0.025
 inference:    43 | throughput: 1299.137 | time:   0.025
 inference:    44 | throughput: 1285.044 | time:   0.025
 inference:    45 | throughput: 1296.602 | time:   0.025
 inference:    46 | throughput: 1315.563 | time:   0.024
 inference:    47 | throughput: 1304.186 | time:   0.025
 inference:    48 | throughput: 1300.118 | time:   0.025
 inference:    49 | throughput: 1312.656 | time:   0.024
 inference:    50 | throughput: 1291.810 | time:   0.025
 inference:    51 | throughput: 1306.382 | time:   0.024
 inference:    52 | throughput: 1300.194 | time:   0.025
 inference:    53 | throughput: 1308.050 | time:   0.024
 inference:    54 | throughput: 1303.768 | time:   0.025
 inference:    55 | throughput: 1316.170 | time:   0.024
 inference:    56 | throughput: 1305.011 | time:   0.025
 inference:    57 | throughput: 1302.667 | time:   0.025
 inference:    58 | throughput: 1308.127 | time:   0.024
 inference:    59 | throughput: 1315.344 | time:   0.024
 inference:    60 | throughput: 1303.262 | time:   0.025
 inference:    61 | throughput: 1267.257 | time:   0.025
 inference:    62 | throughput: 1287.732 | time:   0.025
 inference:    63 | throughput: 1308.560 | time:   0.024
 inference:    64 | throughput: 1318.342 | time:   0.024
 inference:    65 | throughput: 1302.402 | time:   0.025
 inference:    66 | throughput: 1275.640 | time:   0.025
 inference:    67 | throughput: 1283.226 | time:   0.025
 inference:    68 | throughput: 1302.402 | time:   0.025
 inference:    69 | throughput: 1316.273 | time:   0.024
 inference:    70 | throughput: 1300.005 | time:   0.025
 inference:    71 | throughput: 1291.201 | time:   0.025
 inference:    72 | throughput: 1306.026 | time:   0.025
 inference:    73 | throughput: 1305.404 | time:   0.025
 inference:    74 | throughput: 1301.720 | time:   0.025
 inference:    75 | throughput: 1277.109 | time:   0.025
 inference:    76 | throughput: 1323.072 | time:   0.024
 inference:    77 | throughput: 1303.237 | time:   0.025
 inference:    78 | throughput: 1304.884 | time:   0.025
 inference:    79 | throughput: 1298.358 | time:   0.025
 inference:    80 | throughput: 1313.362 | time:   0.024
 inference:    81 | throughput: 1302.667 | time:   0.025
 inference:    82 | throughput: 1309.684 | time:   0.024
 inference:    83 | throughput: 1295.688 | time:   0.025
 inference:    84 | throughput: 1302.895 | time:   0.025
 inference:    85 | throughput: 1304.934 | time:   0.025
 inference:    86 | throughput: 1300.585 | time:   0.025
 inference:    87 | throughput: 1306.026 | time:   0.025
 inference:    88 | throughput: 1293.453 | time:   0.025
 inference:    89 | throughput: 1313.516 | time:   0.024
 inference:    90 | throughput: 1309.109 | time:   0.024
 inference:    91 | throughput: 1297.115 | time:   0.025
 inference:    92 | throughput: 1239.658 | time:   0.026
 inference:    93 | throughput: 1340.903 | time:   0.024
 inference:    94 | throughput: 1316.635 | time:   0.024
 inference:    95 | throughput: 1305.925 | time:   0.025
 inference:    96 | throughput: 1296.865 | time:   0.025
 inference:    97 | throughput: 1273.099 | time:   0.025
 inference:    98 | throughput: 1283.054 | time:   0.025
 inference:    99 | throughput: 1305.417 | time:   0.025
 inference:   100 | throughput: 1297.542 | time:   0.025

Total inference throughput: 1070.89479, Total inference latency: 0.02988
