Data loading...
densenet121-32 Model building...
Start inference...

 inference:     1 | throughput:  55.906 | time:   0.572
 inference:     2 | throughput: 1492.485 | time:   0.021
 inference:     3 | throughput: 1573.128 | time:   0.020
 inference:     4 | throughput: 1274.441 | time:   0.025
 inference:     5 | throughput: 1253.575 | time:   0.026
 inference:     6 | throughput: 1285.832 | time:   0.025
 inference:     7 | throughput: 1278.155 | time:   0.025
 inference:     8 | throughput: 1272.833 | time:   0.025
 inference:     9 | throughput: 1281.119 | time:   0.025
 inference:    10 | throughput: 1290.319 | time:   0.025
 inference:    11 | throughput: 1276.914 | time:   0.025
 inference:    12 | throughput: 1286.152 | time:   0.025
 inference:    13 | throughput: 1274.138 | time:   0.025
 inference:    14 | throughput: 1272.387 | time:   0.025
 inference:    15 | throughput: 1297.053 | time:   0.025
 inference:    16 | throughput: 1289.489 | time:   0.025
 inference:    17 | throughput: 1285.167 | time:   0.025
 inference:    18 | throughput: 1290.903 | time:   0.025
 inference:    19 | throughput: 1297.680 | time:   0.025
 inference:    20 | throughput: 1290.195 | time:   0.025
 inference:    21 | throughput: 1285.623 | time:   0.025
 inference:    22 | throughput: 1285.807 | time:   0.025
 inference:    23 | throughput: 1307.222 | time:   0.024
 inference:    24 | throughput: 1281.156 | time:   0.025
 inference:    25 | throughput: 1293.166 | time:   0.025
 inference:    26 | throughput: 1275.143 | time:   0.025
 inference:    27 | throughput: 1308.943 | time:   0.024
 inference:    28 | throughput: 1278.581 | time:   0.025
 inference:    29 | throughput: 1297.153 | time:   0.025
 inference:    30 | throughput: 1307.834 | time:   0.024
 inference:    31 | throughput: 1266.336 | time:   0.025
 inference:    32 | throughput: 1275.543 | time:   0.025
 inference:    33 | throughput: 1296.514 | time:   0.025
 inference:    34 | throughput: 1275.361 | time:   0.025
 inference:    35 | throughput: 1303.882 | time:   0.025
 inference:    36 | throughput: 1261.042 | time:   0.025
 inference:    37 | throughput: 1266.086 | time:   0.025
 inference:    38 | throughput: 1287.127 | time:   0.025
 inference:    39 | throughput: 1294.089 | time:   0.025
 inference:    40 | throughput: 1274.610 | time:   0.025
 inference:    41 | throughput: 1292.494 | time:   0.025
 inference:    42 | throughput: 1277.084 | time:   0.025
 inference:    43 | throughput: 1290.580 | time:   0.025
 inference:    44 | throughput: 1283.987 | time:   0.025
 inference:    45 | throughput: 1287.683 | time:   0.025
 inference:    46 | throughput: 1278.386 | time:   0.025
 inference:    47 | throughput: 1301.165 | time:   0.025
 inference:    48 | throughput: 1271.013 | time:   0.025
 inference:    49 | throughput: 1298.433 | time:   0.025
 inference:    50 | throughput: 1283.030 | time:   0.025
 inference:    51 | throughput: 1270.075 | time:   0.025
 inference:    52 | throughput: 1316.041 | time:   0.024
 inference:    53 | throughput: 1284.417 | time:   0.025
 inference:    54 | throughput: 1293.964 | time:   0.025
 inference:    55 | throughput: 1281.364 | time:   0.025
 inference:    56 | throughput: 1284.897 | time:   0.025
 inference:    57 | throughput: 1301.127 | time:   0.025
 inference:    58 | throughput: 1276.501 | time:   0.025
 inference:    59 | throughput: 1302.946 | time:   0.025
 inference:    60 | throughput: 1282.490 | time:   0.025
 inference:    61 | throughput: 1302.452 | time:   0.025
 inference:    62 | throughput: 1257.344 | time:   0.025
 inference:    63 | throughput: 1279.568 | time:   0.025
 inference:    64 | throughput: 1310.630 | time:   0.024
 inference:    65 | throughput: 1294.551 | time:   0.025
 inference:    66 | throughput: 1276.926 | time:   0.025
 inference:    67 | throughput: 1264.058 | time:   0.025
 inference:    68 | throughput: 1263.535 | time:   0.025
 inference:    69 | throughput: 1303.237 | time:   0.025
 inference:    70 | throughput: 1293.029 | time:   0.025
 inference:    71 | throughput: 1276.635 | time:   0.025
 inference:    72 | throughput: 1287.991 | time:   0.025
 inference:    73 | throughput: 1288.597 | time:   0.025
 inference:    74 | throughput: 1285.216 | time:   0.025
 inference:    75 | throughput: 1278.495 | time:   0.025
 inference:    76 | throughput: 1275.810 | time:   0.025
 inference:    77 | throughput: 1284.552 | time:   0.025
 inference:    78 | throughput: 1295.188 | time:   0.025
 inference:    79 | throughput: 1289.204 | time:   0.025
 inference:    80 | throughput: 1283.606 | time:   0.025
 inference:    81 | throughput: 1291.971 | time:   0.025
 inference:    82 | throughput: 1293.191 | time:   0.025
 inference:    83 | throughput: 1294.363 | time:   0.025
 inference:    84 | throughput: 1294.813 | time:   0.025
 inference:    85 | throughput: 1282.968 | time:   0.025
 inference:    86 | throughput: 1297.918 | time:   0.025
 inference:    87 | throughput: 1286.042 | time:   0.025
 inference:    88 | throughput: 1280.679 | time:   0.025
 inference:    89 | throughput: 1287.571 | time:   0.025
 inference:    90 | throughput: 1289.117 | time:   0.025
 inference:    91 | throughput: 1284.184 | time:   0.025
 inference:    92 | throughput: 1272.158 | time:   0.025
 inference:    93 | throughput: 1254.020 | time:   0.026
 inference:    94 | throughput: 1316.041 | time:   0.024
 inference:    95 | throughput: 1292.270 | time:   0.025
 inference:    96 | throughput: 1291.847 | time:   0.025
 inference:    97 | throughput: 1263.464 | time:   0.025
 inference:    98 | throughput: 1266.312 | time:   0.025
 inference:    99 | throughput: 1283.827 | time:   0.025
 inference:   100 | throughput: 1297.605 | time:   0.025

Total inference throughput: 1056.39032, Total inference latency: 0.03029
