Data loading...
densenet121-32 Model building...
Start inference...

 inference:     1 | throughput:  55.491 | time:   0.577
 inference:     2 | throughput: 1346.783 | time:   0.024
 inference:     3 | throughput: 1674.164 | time:   0.019
 inference:     4 | throughput: 1278.922 | time:   0.025
 inference:     5 | throughput: 1231.299 | time:   0.026
 inference:     6 | throughput: 1240.815 | time:   0.026
 inference:     7 | throughput: 1267.484 | time:   0.025
 inference:     8 | throughput: 1226.539 | time:   0.026
 inference:     9 | throughput: 1260.971 | time:   0.025
 inference:    10 | throughput: 1256.826 | time:   0.025
 inference:    11 | throughput: 1282.074 | time:   0.025
 inference:    12 | throughput: 1221.105 | time:   0.026
 inference:    13 | throughput: 1230.960 | time:   0.026
 inference:    14 | throughput: 1253.598 | time:   0.026
 inference:    15 | throughput: 1248.944 | time:   0.026
 inference:    16 | throughput: 1263.095 | time:   0.025
 inference:    17 | throughput: 1253.879 | time:   0.026
 inference:    18 | throughput: 1256.685 | time:   0.025
 inference:    19 | throughput: 1234.311 | time:   0.026
 inference:    20 | throughput: 1285.660 | time:   0.025
 inference:    21 | throughput: 1233.199 | time:   0.026
 inference:    22 | throughput: 1261.303 | time:   0.025
 inference:    23 | throughput: 1291.176 | time:   0.025
 inference:    24 | throughput: 1242.136 | time:   0.026
 inference:    25 | throughput: 1251.949 | time:   0.026
 inference:    26 | throughput: 1265.548 | time:   0.025
 inference:    27 | throughput: 1265.847 | time:   0.025
 inference:    28 | throughput: 1226.595 | time:   0.026
 inference:    29 | throughput: 1178.444 | time:   0.027
 inference:    30 | throughput: 1233.335 | time:   0.026
 inference:    31 | throughput: 1269.835 | time:   0.025
 inference:    32 | throughput: 1297.956 | time:   0.025
 inference:    33 | throughput: 1205.119 | time:   0.027
 inference:    34 | throughput: 1304.136 | time:   0.025
 inference:    35 | throughput: 1273.981 | time:   0.025
 inference:    36 | throughput: 1245.605 | time:   0.026
 inference:    37 | throughput: 1252.662 | time:   0.026
 inference:    38 | throughput: 1225.755 | time:   0.026
 inference:    39 | throughput: 1263.487 | time:   0.025
 inference:    40 | throughput: 1241.676 | time:   0.026
 inference:    41 | throughput: 1262.050 | time:   0.025
 inference:    42 | throughput: 1259.291 | time:   0.025
 inference:    43 | throughput: 1271.796 | time:   0.025
 inference:    44 | throughput: 1251.062 | time:   0.026
 inference:    45 | throughput: 1210.314 | time:   0.026
 inference:    46 | throughput: 1238.571 | time:   0.026
 inference:    47 | throughput: 1250.037 | time:   0.026
 inference:    48 | throughput: 1263.119 | time:   0.025
 inference:    49 | throughput: 1235.595 | time:   0.026
 inference:    50 | throughput: 1257.592 | time:   0.025
 inference:    51 | throughput: 1245.455 | time:   0.026
 inference:    52 | throughput: 1269.066 | time:   0.025
 inference:    53 | throughput: 1239.806 | time:   0.026
 inference:    54 | throughput: 1239.978 | time:   0.026
 inference:    55 | throughput: 1264.106 | time:   0.025
 inference:    56 | throughput: 1251.622 | time:   0.026
 inference:    57 | throughput: 1292.282 | time:   0.025
 inference:    58 | throughput: 1236.107 | time:   0.026
 inference:    59 | throughput: 1277.157 | time:   0.025
 inference:    60 | throughput: 1216.920 | time:   0.026
 inference:    61 | throughput: 1238.594 | time:   0.026
 inference:    62 | throughput: 1270.063 | time:   0.025
 inference:    63 | throughput: 1255.686 | time:   0.025
 inference:    64 | throughput: 1277.571 | time:   0.025
 inference:    65 | throughput: 1259.007 | time:   0.025
 inference:    66 | throughput: 1288.932 | time:   0.025
 inference:    67 | throughput: 1241.630 | time:   0.026
 inference:    68 | throughput: 1234.265 | time:   0.026
 inference:    69 | throughput: 1257.403 | time:   0.025
 inference:    70 | throughput: 1258.205 | time:   0.025
 inference:    71 | throughput: 1274.513 | time:   0.025
 inference:    72 | throughput: 1234.050 | time:   0.026
 inference:    73 | throughput: 1275.276 | time:   0.025
 inference:    74 | throughput: 1235.731 | time:   0.026
 inference:    75 | throughput: 1247.794 | time:   0.026
 inference:    76 | throughput: 1241.860 | time:   0.026
 inference:    77 | throughput: 1239.371 | time:   0.026
 inference:    78 | throughput: 1277.960 | time:   0.025
 inference:    79 | throughput: 1233.233 | time:   0.026
 inference:    80 | throughput: 1260.320 | time:   0.025
 inference:    81 | throughput: 1270.400 | time:   0.025
 inference:    82 | throughput: 1278.349 | time:   0.025
 inference:    83 | throughput: 1227.976 | time:   0.026
 inference:    84 | throughput: 1187.190 | time:   0.027
 inference:    85 | throughput: 1254.747 | time:   0.026
 inference:    86 | throughput: 1239.394 | time:   0.026
 inference:    87 | throughput: 1286.387 | time:   0.025
 inference:    88 | throughput: 1249.164 | time:   0.026
 inference:    89 | throughput: 1250.305 | time:   0.026
 inference:    90 | throughput: 1202.905 | time:   0.027
 inference:    91 | throughput: 1273.413 | time:   0.025
 inference:    92 | throughput: 1260.379 | time:   0.025
 inference:    93 | throughput: 1237.463 | time:   0.026
 inference:    94 | throughput: 1262.643 | time:   0.025
 inference:    95 | throughput: 1242.964 | time:   0.026
 inference:    96 | throughput: 1287.460 | time:   0.025
 inference:    97 | throughput: 1250.678 | time:   0.026
 inference:    98 | throughput: 1267.856 | time:   0.025
 inference:    99 | throughput: 1219.806 | time:   0.026
 inference:   100 | throughput: 1236.289 | time:   0.026

Total inference throughput: 1032.37434, Total inference latency: 0.03100
