Data loading...
densenet121-4 Model building...
Start inference...

 inference:     1 | throughput: 197.073 | time:   0.020
 inference:     2 | throughput: 293.067 | time:   0.014
 inference:     3 | throughput: 308.467 | time:   0.013
 inference:     4 | throughput: 306.198 | time:   0.013
 inference:     5 | throughput: 309.543 | time:   0.013
 inference:     6 | throughput: 309.064 | time:   0.013
 inference:     7 | throughput: 314.900 | time:   0.013
 inference:     8 | throughput: 318.190 | time:   0.013
 inference:     9 | throughput: 319.877 | time:   0.013
 inference:    10 | throughput: 315.913 | time:   0.013
 inference:    11 | throughput: 318.220 | time:   0.013
 inference:    12 | throughput: 309.446 | time:   0.013
 inference:    13 | throughput: 312.524 | time:   0.013
 inference:    14 | throughput: 309.989 | time:   0.013
 inference:    15 | throughput: 309.389 | time:   0.013
 inference:    16 | throughput: 309.972 | time:   0.013
 inference:    17 | throughput: 316.050 | time:   0.013
 inference:    18 | throughput: 318.535 | time:   0.013
 inference:    19 | throughput: 319.755 | time:   0.013
 inference:    20 | throughput: 319.883 | time:   0.013
 inference:    21 | throughput: 318.765 | time:   0.013
 inference:    22 | throughput: 324.781 | time:   0.012
 inference:    23 | throughput: 319.159 | time:   0.013
 inference:    24 | throughput: 300.161 | time:   0.013
 inference:    25 | throughput: 301.201 | time:   0.013
 inference:    26 | throughput: 308.286 | time:   0.013
 inference:    27 | throughput: 308.280 | time:   0.013
 inference:    28 | throughput: 313.957 | time:   0.013
 inference:    29 | throughput: 314.965 | time:   0.013
 inference:    30 | throughput: 314.734 | time:   0.013
 inference:    31 | throughput: 317.384 | time:   0.013
 inference:    32 | throughput: 316.940 | time:   0.013
 inference:    33 | throughput: 317.324 | time:   0.013
 inference:    34 | throughput: 320.115 | time:   0.012
 inference:    35 | throughput: 319.456 | time:   0.013
 inference:    36 | throughput: 306.781 | time:   0.013
 inference:    37 | throughput: 300.183 | time:   0.013
 inference:    38 | throughput: 310.672 | time:   0.013
 inference:    39 | throughput: 309.577 | time:   0.013
 inference:    40 | throughput: 314.475 | time:   0.013
 inference:    41 | throughput: 313.998 | time:   0.013
 inference:    42 | throughput: 320.042 | time:   0.012
 inference:    43 | throughput: 318.486 | time:   0.013
 inference:    44 | throughput: 320.757 | time:   0.012
 inference:    45 | throughput: 317.036 | time:   0.013
 inference:    46 | throughput: 316.199 | time:   0.013
 inference:    47 | throughput: 322.081 | time:   0.012
 inference:    48 | throughput: 308.110 | time:   0.013
 inference:    49 | throughput: 305.423 | time:   0.013
 inference:    50 | throughput: 310.058 | time:   0.013
 inference:    51 | throughput: 310.000 | time:   0.013
 inference:    52 | throughput: 317.426 | time:   0.013
 inference:    53 | throughput: 313.148 | time:   0.013
 inference:    54 | throughput: 319.761 | time:   0.013
 inference:    55 | throughput: 318.263 | time:   0.013
 inference:    56 | throughput: 323.080 | time:   0.012
 inference:    57 | throughput: 322.193 | time:   0.012
 inference:    58 | throughput: 319.761 | time:   0.013
 inference:    59 | throughput: 319.414 | time:   0.013
 inference:    60 | throughput: 311.844 | time:   0.013
 inference:    61 | throughput: 308.569 | time:   0.013
 inference:    62 | throughput: 311.931 | time:   0.013
 inference:    63 | throughput: 308.082 | time:   0.013
 inference:    64 | throughput: 313.201 | time:   0.013
 inference:    65 | throughput: 318.492 | time:   0.013
 inference:    66 | throughput: 319.816 | time:   0.013
 inference:    67 | throughput: 320.439 | time:   0.012
 inference:    68 | throughput: 314.970 | time:   0.013
 inference:    69 | throughput: 314.858 | time:   0.013
 inference:    70 | throughput: 320.359 | time:   0.012
 inference:    71 | throughput: 319.657 | time:   0.013
 inference:    72 | throughput: 310.505 | time:   0.013
 inference:    73 | throughput: 310.000 | time:   0.013
 inference:    74 | throughput: 315.355 | time:   0.013
 inference:    75 | throughput: 313.043 | time:   0.013
 inference:    76 | throughput: 313.857 | time:   0.013
 inference:    77 | throughput: 310.683 | time:   0.013
 inference:    78 | throughput: 315.296 | time:   0.013
 inference:    79 | throughput: 319.377 | time:   0.013
 inference:    80 | throughput: 317.955 | time:   0.013
 inference:    81 | throughput: 318.934 | time:   0.013
 inference:    82 | throughput: 320.837 | time:   0.012
 inference:    83 | throughput: 320.782 | time:   0.012
 inference:    84 | throughput: 313.481 | time:   0.013
 inference:    85 | throughput: 306.820 | time:   0.013
 inference:    86 | throughput: 309.354 | time:   0.013
 inference:    87 | throughput: 313.400 | time:   0.013
 inference:    88 | throughput: 311.722 | time:   0.013
 inference:    89 | throughput: 316.307 | time:   0.013
 inference:    90 | throughput: 320.035 | time:   0.012
 inference:    91 | throughput: 314.421 | time:   0.013
 inference:    92 | throughput: 313.775 | time:   0.013
 inference:    93 | throughput: 317.084 | time:   0.013
 inference:    94 | throughput: 324.304 | time:   0.012
 inference:    95 | throughput: 320.420 | time:   0.012
 inference:    96 | throughput: 310.166 | time:   0.013
 inference:    97 | throughput: 307.540 | time:   0.013
 inference:    98 | throughput: 311.156 | time:   0.013
 inference:    99 | throughput: 315.065 | time:   0.013
 inference:   100 | throughput: 313.822 | time:   0.013

Total inference throughput: 312.37456, Total inference latency: 0.01281
