Data loading...
densenet121-64 Model building...
Start inference...

 inference:     1 | throughput: 117.175 | time:   0.546
 inference:     2 | throughput: 2404.452 | time:   0.027
 inference:     3 | throughput: 1134.012 | time:   0.056
 inference:     4 | throughput: 1065.212 | time:   0.060
 inference:     5 | throughput: 1020.349 | time:   0.063
 inference:     6 | throughput: 1084.982 | time:   0.059
 inference:     7 | throughput: 1043.197 | time:   0.061
 inference:     8 | throughput: 1058.057 | time:   0.060
 inference:     9 | throughput: 1058.103 | time:   0.060
 inference:    10 | throughput: 1049.909 | time:   0.061
 inference:    11 | throughput: 302.749 | time:   0.211
 inference:    12 | throughput: 1996.782 | time:   0.032
 inference:    13 | throughput: 1241.360 | time:   0.052
 inference:    14 | throughput: 1043.282 | time:   0.061
 inference:    15 | throughput: 1060.331 | time:   0.060
 inference:    16 | throughput: 1048.777 | time:   0.061
 inference:    17 | throughput: 1043.116 | time:   0.061
 inference:    18 | throughput: 152.180 | time:   0.421
 inference:    19 | throughput: 2894.901 | time:   0.022
 inference:    20 | throughput: 1079.311 | time:   0.059
 inference:    21 | throughput: 1028.764 | time:   0.062
 inference:    22 | throughput: 1046.903 | time:   0.061
 inference:    23 | throughput: 1058.783 | time:   0.060
 inference:    24 | throughput: 1038.588 | time:   0.062
 inference:    25 | throughput: 1058.721 | time:   0.060
 inference:    26 | throughput: 1045.082 | time:   0.061
 inference:    27 | throughput: 1050.357 | time:   0.061
 inference:    28 | throughput: 1044.000 | time:   0.061
 inference:    29 | throughput: 1053.858 | time:   0.061
 inference:    30 | throughput: 1044.362 | time:   0.061
 inference:    31 | throughput: 1049.782 | time:   0.061
 inference:    32 | throughput: 1050.657 | time:   0.061
 inference:    33 | throughput: 1048.863 | time:   0.061
 inference:    34 | throughput: 1024.868 | time:   0.062
 inference:    35 | throughput: 1082.676 | time:   0.059
 inference:    36 | throughput: 135.625 | time:   0.472
 inference:    37 | throughput: 2786.016 | time:   0.023
 inference:    38 | throughput: 1057.415 | time:   0.061
 inference:    39 | throughput: 1045.908 | time:   0.061
 inference:    40 | throughput: 1050.431 | time:   0.061
 inference:    41 | throughput: 1052.758 | time:   0.061
 inference:    42 | throughput: 1036.931 | time:   0.062
 inference:    43 | throughput: 1054.421 | time:   0.061
 inference:    44 | throughput: 1043.838 | time:   0.061
 inference:    45 | throughput: 1049.892 | time:   0.061
 inference:    46 | throughput: 1058.942 | time:   0.060
 inference:    47 | throughput: 1037.295 | time:   0.062
 inference:    48 | throughput: 1047.807 | time:   0.061
 inference:    49 | throughput: 1048.420 | time:   0.061
 inference:    50 | throughput: 1060.142 | time:   0.060
 inference:    51 | throughput: 1040.758 | time:   0.061
 inference:    52 | throughput: 1055.204 | time:   0.061
 inference:    53 | throughput: 1044.805 | time:   0.061
 inference:    54 | throughput: 1038.556 | time:   0.062
 inference:    55 | throughput: 1055.602 | time:   0.061
 inference:    56 | throughput: 1053.692 | time:   0.061
 inference:    57 | throughput: 1044.728 | time:   0.061
 inference:    58 | throughput: 1048.957 | time:   0.061
 inference:    59 | throughput: 1064.726 | time:   0.060
 inference:    60 | throughput: 1048.654 | time:   0.061
 inference:    61 | throughput: 1034.146 | time:   0.062
 inference:    62 | throughput: 1049.786 | time:   0.061
 inference:    63 | throughput: 1053.485 | time:   0.061
 inference:    64 | throughput: 1060.130 | time:   0.060
 inference:    65 | throughput: 1055.245 | time:   0.061
 inference:    66 | throughput: 1024.575 | time:   0.062
 inference:    67 | throughput: 1063.494 | time:   0.060
 inference:    68 | throughput: 1042.241 | time:   0.061
 inference:    69 | throughput: 1060.075 | time:   0.060
 inference:    70 | throughput: 1049.819 | time:   0.061
 inference:    71 | throughput: 1050.135 | time:   0.061
 inference:    72 | throughput: 961.793 | time:   0.067
 inference:    73 | throughput: 1061.916 | time:   0.060
 inference:    74 | throughput: 1098.498 | time:   0.058
 inference:    75 | throughput: 1057.182 | time:   0.061
 inference:    76 | throughput: 1059.837 | time:   0.060
 inference:    77 | throughput: 1069.536 | time:   0.060
 inference:    78 | throughput: 1050.760 | time:   0.061
 inference:    79 | throughput: 1049.671 | time:   0.061
 inference:    80 | throughput: 1027.748 | time:   0.062
 inference:    81 | throughput: 1057.599 | time:   0.061
 inference:    82 | throughput: 1059.427 | time:   0.060
 inference:    83 | throughput: 1061.266 | time:   0.060
 inference:    84 | throughput: 1048.515 | time:   0.061
 inference:    85 | throughput: 1053.982 | time:   0.061
 inference:    86 | throughput: 1044.720 | time:   0.061
 inference:    87 | throughput: 1065.207 | time:   0.060
 inference:    88 | throughput: 1042.055 | time:   0.061
 inference:    89 | throughput: 1060.167 | time:   0.060
 inference:    90 | throughput: 1025.839 | time:   0.062
 inference:    91 | throughput: 1056.126 | time:   0.061
 inference:    92 | throughput: 1051.558 | time:   0.061
 inference:    93 | throughput: 1062.480 | time:   0.060
 inference:    94 | throughput: 1046.193 | time:   0.061
 inference:    95 | throughput: 1063.300 | time:   0.060
 inference:    96 | throughput: 1047.643 | time:   0.061
 inference:    97 | throughput: 1051.398 | time:   0.061
 inference:    98 | throughput: 1044.520 | time:   0.061
 inference:    99 | throughput: 1067.588 | time:   0.060
 inference:   100 | throughput: 1030.024 | time:   0.062

Total inference throughput: 871.17327, Total inference latency: 0.07346
