Data loading...
densenet121-8 Model building...
Start inference...

 inference:     1 | throughput: 270.886 | time:   0.030
 inference:     2 | throughput: 583.048 | time:   0.014
 inference:     3 | throughput: 620.631 | time:   0.013
 inference:     4 | throughput: 645.141 | time:   0.012
 inference:     5 | throughput: 640.486 | time:   0.012
 inference:     6 | throughput: 652.036 | time:   0.012
 inference:     7 | throughput: 668.002 | time:   0.012
 inference:     8 | throughput: 639.290 | time:   0.013
 inference:     9 | throughput: 661.054 | time:   0.012
 inference:    10 | throughput: 654.529 | time:   0.012
 inference:    11 | throughput: 632.840 | time:   0.013
 inference:    12 | throughput: 626.740 | time:   0.013
 inference:    13 | throughput: 642.485 | time:   0.012
 inference:    14 | throughput: 638.160 | time:   0.013
 inference:    15 | throughput: 641.282 | time:   0.012
 inference:    16 | throughput: 652.632 | time:   0.012
 inference:    17 | throughput: 657.827 | time:   0.012
 inference:    18 | throughput: 644.992 | time:   0.012
 inference:    19 | throughput: 656.360 | time:   0.012
 inference:    20 | throughput: 662.176 | time:   0.012
 inference:    21 | throughput: 644.311 | time:   0.012
 inference:    22 | throughput: 658.072 | time:   0.012
 inference:    23 | throughput: 641.981 | time:   0.012
 inference:    24 | throughput: 628.313 | time:   0.013
 inference:    25 | throughput: 633.736 | time:   0.013
 inference:    26 | throughput: 635.934 | time:   0.013
 inference:    27 | throughput: 641.368 | time:   0.012
 inference:    28 | throughput: 647.569 | time:   0.012
 inference:    29 | throughput: 647.556 | time:   0.012
 inference:    30 | throughput: 655.027 | time:   0.012
 inference:    31 | throughput: 635.308 | time:   0.013
 inference:    32 | throughput: 658.369 | time:   0.012
 inference:    33 | throughput: 663.577 | time:   0.012
 inference:    34 | throughput: 648.570 | time:   0.012
 inference:    35 | throughput: 638.609 | time:   0.013
 inference:    36 | throughput: 636.984 | time:   0.013
 inference:    37 | throughput: 630.829 | time:   0.013
 inference:    38 | throughput: 633.700 | time:   0.013
 inference:    39 | throughput: 638.500 | time:   0.013
 inference:    40 | throughput: 637.735 | time:   0.013
 inference:    41 | throughput: 644.806 | time:   0.012
 inference:    42 | throughput: 653.115 | time:   0.012
 inference:    43 | throughput: 653.675 | time:   0.012
 inference:    44 | throughput: 636.067 | time:   0.013
 inference:    45 | throughput: 652.861 | time:   0.012
 inference:    46 | throughput: 657.389 | time:   0.012
 inference:    47 | throughput: 660.598 | time:   0.012
 inference:    48 | throughput: 627.855 | time:   0.013
 inference:    49 | throughput: 631.696 | time:   0.013
 inference:    50 | throughput: 635.802 | time:   0.013
 inference:    51 | throughput: 631.720 | time:   0.013
 inference:    52 | throughput: 651.479 | time:   0.012
 inference:    53 | throughput: 650.066 | time:   0.012
 inference:    54 | throughput: 638.063 | time:   0.013
 inference:    55 | throughput: 647.606 | time:   0.012
 inference:    56 | throughput: 653.713 | time:   0.012
 inference:    57 | throughput: 656.758 | time:   0.012
 inference:    58 | throughput: 651.947 | time:   0.012
 inference:    59 | throughput: 646.658 | time:   0.012
 inference:    60 | throughput: 633.497 | time:   0.013
 inference:    61 | throughput: 619.898 | time:   0.013
 inference:    62 | throughput: 637.578 | time:   0.013
 inference:    63 | throughput: 634.431 | time:   0.013
 inference:    64 | throughput: 637.578 | time:   0.013
 inference:    65 | throughput: 647.257 | time:   0.012
 inference:    66 | throughput: 648.934 | time:   0.012
 inference:    67 | throughput: 647.020 | time:   0.012
 inference:    68 | throughput: 651.821 | time:   0.012
 inference:    69 | throughput: 655.680 | time:   0.012
 inference:    70 | throughput: 631.506 | time:   0.013
 inference:    71 | throughput: 661.458 | time:   0.012
 inference:    72 | throughput: 640.364 | time:   0.012
 inference:    73 | throughput: 630.521 | time:   0.013
 inference:    74 | throughput: 630.012 | time:   0.013
 inference:    75 | throughput: 636.103 | time:   0.013
 inference:    76 | throughput: 639.351 | time:   0.013
 inference:    77 | throughput: 644.645 | time:   0.012
 inference:    78 | throughput: 651.100 | time:   0.012
 inference:    79 | throughput: 656.078 | time:   0.012
 inference:    80 | throughput: 631.756 | time:   0.013
 inference:    81 | throughput: 654.236 | time:   0.012
 inference:    82 | throughput: 657.234 | time:   0.012
 inference:    83 | throughput: 644.422 | time:   0.012
 inference:    84 | throughput: 642.104 | time:   0.012
 inference:    85 | throughput: 635.140 | time:   0.013
 inference:    86 | throughput: 634.191 | time:   0.013
 inference:    87 | throughput: 634.671 | time:   0.013
 inference:    88 | throughput: 637.674 | time:   0.013
 inference:    89 | throughput: 651.985 | time:   0.012
 inference:    90 | throughput: 641.822 | time:   0.012
 inference:    91 | throughput: 651.555 | time:   0.012
 inference:    92 | throughput: 655.872 | time:   0.012
 inference:    93 | throughput: 640.022 | time:   0.012
 inference:    94 | throughput: 656.900 | time:   0.012
 inference:    95 | throughput: 660.820 | time:   0.012
 inference:    96 | throughput: 650.217 | time:   0.012
 inference:    97 | throughput: 630.545 | time:   0.013
 inference:    98 | throughput: 634.647 | time:   0.013
 inference:    99 | throughput: 641.539 | time:   0.012
 inference:   100 | throughput: 631.328 | time:   0.013

Total inference throughput: 634.58971, Total inference latency: 0.01261
