Data loading...
densenet121-8 Model building...
Start inference...

 inference:     1 | throughput: 334.961 | time:   0.024
 inference:     2 | throughput: 566.186 | time:   0.014
 inference:     3 | throughput: 467.319 | time:   0.017
 inference:     4 | throughput: 602.662 | time:   0.013
 inference:     5 | throughput: 626.588 | time:   0.013
 inference:     6 | throughput: 624.966 | time:   0.013
 inference:     7 | throughput: 609.515 | time:   0.013
 inference:     8 | throughput: 606.892 | time:   0.013
 inference:     9 | throughput: 629.032 | time:   0.013
 inference:    10 | throughput: 628.101 | time:   0.013
 inference:    11 | throughput: 638.913 | time:   0.013
 inference:    12 | throughput: 625.817 | time:   0.013
 inference:    13 | throughput: 608.487 | time:   0.013
 inference:    14 | throughput: 611.883 | time:   0.013
 inference:    15 | throughput: 614.854 | time:   0.013
 inference:    16 | throughput: 624.687 | time:   0.013
 inference:    17 | throughput: 623.202 | time:   0.013
 inference:    18 | throughput: 628.478 | time:   0.013
 inference:    19 | throughput: 625.374 | time:   0.013
 inference:    20 | throughput: 634.971 | time:   0.013
 inference:    21 | throughput: 625.141 | time:   0.013
 inference:    22 | throughput: 641.674 | time:   0.012
 inference:    23 | throughput: 634.911 | time:   0.013
 inference:    24 | throughput: 627.631 | time:   0.013
 inference:    25 | throughput: 610.625 | time:   0.013
 inference:    26 | throughput: 624.896 | time:   0.013
 inference:    27 | throughput: 616.119 | time:   0.013
 inference:    28 | throughput: 613.505 | time:   0.013
 inference:    29 | throughput: 629.291 | time:   0.013
 inference:    30 | throughput: 622.936 | time:   0.013
 inference:    31 | throughput: 635.008 | time:   0.013
 inference:    32 | throughput: 628.996 | time:   0.013
 inference:    33 | throughput: 641.049 | time:   0.012
 inference:    34 | throughput: 625.852 | time:   0.013
 inference:    35 | throughput: 635.044 | time:   0.013
 inference:    36 | throughput: 609.859 | time:   0.013
 inference:    37 | throughput: 613.718 | time:   0.013
 inference:    38 | throughput: 619.245 | time:   0.013
 inference:    39 | throughput: 617.354 | time:   0.013
 inference:    40 | throughput: 614.415 | time:   0.013
 inference:    41 | throughput: 634.431 | time:   0.013
 inference:    42 | throughput: 630.249 | time:   0.013
 inference:    43 | throughput: 630.391 | time:   0.013
 inference:    44 | throughput: 622.070 | time:   0.013
 inference:    45 | throughput: 638.585 | time:   0.013
 inference:    46 | throughput: 637.444 | time:   0.013
 inference:    47 | throughput: 628.419 | time:   0.013
 inference:    48 | throughput: 614.820 | time:   0.013
 inference:    49 | throughput: 609.959 | time:   0.013
 inference:    50 | throughput: 617.445 | time:   0.013
 inference:    51 | throughput: 612.262 | time:   0.013
 inference:    52 | throughput: 625.607 | time:   0.013
 inference:    53 | throughput: 625.852 | time:   0.013
 inference:    54 | throughput: 632.398 | time:   0.013
 inference:    55 | throughput: 614.303 | time:   0.013
 inference:    56 | throughput: 632.148 | time:   0.013
 inference:    57 | throughput: 626.518 | time:   0.013
 inference:    58 | throughput: 633.964 | time:   0.013
 inference:    59 | throughput: 623.943 | time:   0.013
 inference:    60 | throughput: 615.768 | time:   0.013
 inference:    61 | throughput: 612.095 | time:   0.013
 inference:    62 | throughput: 619.646 | time:   0.013
 inference:    63 | throughput: 618.196 | time:   0.013
 inference:    64 | throughput: 626.413 | time:   0.013
 inference:    65 | throughput: 625.455 | time:   0.013
 inference:    66 | throughput: 627.631 | time:   0.013
 inference:    67 | throughput: 628.572 | time:   0.013
 inference:    68 | throughput: 626.834 | time:   0.013
 inference:    69 | throughput: 631.351 | time:   0.013
 inference:    70 | throughput: 623.665 | time:   0.013
 inference:    71 | throughput: 631.946 | time:   0.013
 inference:    72 | throughput: 602.738 | time:   0.013
 inference:    73 | throughput: 613.606 | time:   0.013
 inference:    74 | throughput: 614.741 | time:   0.013
 inference:    75 | throughput: 618.720 | time:   0.013
 inference:    76 | throughput: 601.000 | time:   0.013
 inference:    77 | throughput: 630.450 | time:   0.013
 inference:    78 | throughput: 602.825 | time:   0.013
 inference:    79 | throughput: 622.901 | time:   0.013
 inference:    80 | throughput: 624.920 | time:   0.013
 inference:    81 | throughput: 627.749 | time:   0.013
 inference:    82 | throughput: 631.696 | time:   0.013
 inference:    83 | throughput: 635.320 | time:   0.013
 inference:    84 | throughput: 613.393 | time:   0.013
 inference:    85 | throughput: 611.883 | time:   0.013
 inference:    86 | throughput: 618.458 | time:   0.013
 inference:    87 | throughput: 622.254 | time:   0.013
 inference:    88 | throughput: 617.809 | time:   0.013
 inference:    89 | throughput: 623.248 | time:   0.013
 inference:    90 | throughput: 630.095 | time:   0.013
 inference:    91 | throughput: 628.407 | time:   0.013
 inference:    92 | throughput: 630.829 | time:   0.013
 inference:    93 | throughput: 621.816 | time:   0.013
 inference:    94 | throughput: 641.196 | time:   0.012
 inference:    95 | throughput: 631.815 | time:   0.013
 inference:    96 | throughput: 616.515 | time:   0.013
 inference:    97 | throughput: 607.518 | time:   0.013
 inference:    98 | throughput: 623.688 | time:   0.013
 inference:    99 | throughput: 607.694 | time:   0.013
 inference:   100 | throughput: 623.503 | time:   0.013

Total inference throughput: 614.86761, Total inference latency: 0.01301
