Data loading...
resnet50-1 Model building...
Start inference...

 inference:     1 | throughput: 114.146 | time:   0.009
 inference:     2 | throughput: 196.243 | time:   0.005
 inference:     3 | throughput: 200.800 | time:   0.005
 inference:     4 | throughput: 203.617 | time:   0.005
 inference:     5 | throughput: 208.319 | time:   0.005
 inference:     6 | throughput: 205.341 | time:   0.005
 inference:     7 | throughput: 205.543 | time:   0.005
 inference:     8 | throughput: 209.904 | time:   0.005
 inference:     9 | throughput: 206.301 | time:   0.005
 inference:    10 | throughput: 203.193 | time:   0.005
 inference:    11 | throughput: 207.055 | time:   0.005
 inference:    12 | throughput: 205.020 | time:   0.005
 inference:    13 | throughput: 208.724 | time:   0.005
 inference:    14 | throughput: 203.094 | time:   0.005
 inference:    15 | throughput: 201.766 | time:   0.005
 inference:    16 | throughput: 199.900 | time:   0.005
 inference:    17 | throughput: 195.886 | time:   0.005
 inference:    18 | throughput: 199.150 | time:   0.005
 inference:    19 | throughput: 202.996 | time:   0.005
 inference:    20 | throughput: 198.172 | time:   0.005
 inference:    21 | throughput: 202.242 | time:   0.005
 inference:    22 | throughput: 204.910 | time:   0.005
 inference:    23 | throughput: 194.145 | time:   0.005
 inference:    24 | throughput: 193.108 | time:   0.005
 inference:    25 | throughput: 191.015 | time:   0.005
 inference:    26 | throughput: 198.538 | time:   0.005
 inference:    27 | throughput: 201.214 | time:   0.005
 inference:    28 | throughput: 171.189 | time:   0.006
 inference:    29 | throughput: 198.745 | time:   0.005
 inference:    30 | throughput: 204.351 | time:   0.005
 inference:    31 | throughput: 198.331 | time:   0.005
 inference:    32 | throughput: 201.485 | time:   0.005
 inference:    33 | throughput: 196.353 | time:   0.005
 inference:    34 | throughput: 201.543 | time:   0.005
 inference:    35 | throughput: 203.321 | time:   0.005
 inference:    36 | throughput: 203.825 | time:   0.005
 inference:    37 | throughput: 203.706 | time:   0.005
 inference:    38 | throughput: 203.419 | time:   0.005
 inference:    39 | throughput: 200.387 | time:   0.005
 inference:    40 | throughput: 204.990 | time:   0.005
 inference:    41 | throughput: 202.829 | time:   0.005
 inference:    42 | throughput: 199.824 | time:   0.005
 inference:    43 | throughput: 203.173 | time:   0.005
 inference:    44 | throughput: 201.031 | time:   0.005
 inference:    45 | throughput: 201.707 | time:   0.005
 inference:    46 | throughput: 205.785 | time:   0.005
 inference:    47 | throughput: 203.232 | time:   0.005
 inference:    48 | throughput: 201.552 | time:   0.005
 inference:    49 | throughput: 205.161 | time:   0.005
 inference:    50 | throughput: 198.716 | time:   0.005
 inference:    51 | throughput: 198.500 | time:   0.005
 inference:    52 | throughput: 197.286 | time:   0.005
 inference:    53 | throughput: 201.349 | time:   0.005
 inference:    54 | throughput: 203.311 | time:   0.005
 inference:    55 | throughput: 197.919 | time:   0.005
 inference:    56 | throughput: 201.494 | time:   0.005
 inference:    57 | throughput: 202.849 | time:   0.005
 inference:    58 | throughput: 197.240 | time:   0.005
 inference:    59 | throughput: 202.653 | time:   0.005
 inference:    60 | throughput: 202.116 | time:   0.005
 inference:    61 | throughput: 201.970 | time:   0.005
 inference:    62 | throughput: 203.429 | time:   0.005
 inference:    63 | throughput: 197.500 | time:   0.005
 inference:    64 | throughput: 201.002 | time:   0.005
 inference:    65 | throughput: 203.222 | time:   0.005
 inference:    66 | throughput: 202.545 | time:   0.005
 inference:    67 | throughput: 200.560 | time:   0.005
 inference:    68 | throughput: 200.925 | time:   0.005
 inference:    69 | throughput: 199.976 | time:   0.005
 inference:    70 | throughput: 202.145 | time:   0.005
 inference:    71 | throughput: 201.426 | time:   0.005
 inference:    72 | throughput: 201.446 | time:   0.005
 inference:    73 | throughput: 202.477 | time:   0.005
 inference:    74 | throughput: 200.723 | time:   0.005
 inference:    75 | throughput: 202.829 | time:   0.005
 inference:    76 | throughput: 199.482 | time:   0.005
 inference:    77 | throughput: 200.119 | time:   0.005
 inference:    78 | throughput: 202.721 | time:   0.005
 inference:    79 | throughput: 202.516 | time:   0.005
 inference:    80 | throughput: 198.895 | time:   0.005
 inference:    81 | throughput: 202.721 | time:   0.005
 inference:    82 | throughput: 203.380 | time:   0.005
 inference:    83 | throughput: 201.707 | time:   0.005
 inference:    84 | throughput: 202.496 | time:   0.005
 inference:    85 | throughput: 201.002 | time:   0.005
 inference:    86 | throughput: 201.204 | time:   0.005
 inference:    87 | throughput: 204.600 | time:   0.005
 inference:    88 | throughput: 200.800 | time:   0.005
 inference:    89 | throughput: 200.886 | time:   0.005
 inference:    90 | throughput: 201.640 | time:   0.005
 inference:    91 | throughput: 203.924 | time:   0.005
 inference:    92 | throughput: 202.535 | time:   0.005
 inference:    93 | throughput: 201.262 | time:   0.005
 inference:    94 | throughput: 202.330 | time:   0.005
 inference:    95 | throughput: 203.075 | time:   0.005
 inference:    96 | throughput: 198.415 | time:   0.005
 inference:    97 | throughput: 200.550 | time:   0.005
 inference:    98 | throughput: 202.731 | time:   0.005
 inference:    99 | throughput: 202.194 | time:   0.005
 inference:   100 | throughput: 202.398 | time:   0.005

Total inference throughput: 199.70385, Total inference latency: 0.00501
