Data loading...
resnet50-1 Model building...
Start inference...

 inference:     1 | throughput:   2.186 | time:   0.457
 inference:     2 | throughput:  91.078 | time:   0.011
 inference:     3 | throughput: 143.209 | time:   0.007
 inference:     4 | throughput: 163.885 | time:   0.006
 inference:     5 | throughput: 200.925 | time:   0.005
 inference:     6 | throughput: 192.399 | time:   0.005
 inference:     7 | throughput: 197.370 | time:   0.005
 inference:     8 | throughput: 201.843 | time:   0.005
 inference:     9 | throughput: 193.099 | time:   0.005
 inference:    10 | throughput: 193.723 | time:   0.005
 inference:    11 | throughput: 200.502 | time:   0.005
 inference:    12 | throughput: 196.796 | time:   0.005
 inference:    13 | throughput: 187.925 | time:   0.005
 inference:    14 | throughput: 190.754 | time:   0.005
 inference:    15 | throughput: 198.792 | time:   0.005
 inference:    16 | throughput: 191.294 | time:   0.005
 inference:    17 | throughput: 192.594 | time:   0.005
 inference:    18 | throughput: 199.273 | time:   0.005
 inference:    19 | throughput: 191.985 | time:   0.005
 inference:    20 | throughput: 189.727 | time:   0.005
 inference:    21 | throughput: 197.017 | time:   0.005
 inference:    22 | throughput: 193.696 | time:   0.005
 inference:    23 | throughput: 182.814 | time:   0.005
 inference:    24 | throughput: 187.296 | time:   0.005
 inference:    25 | throughput: 192.629 | time:   0.005
 inference:    26 | throughput: 184.901 | time:   0.005
 inference:    27 | throughput: 192.426 | time:   0.005
 inference:    28 | throughput: 174.552 | time:   0.006
 inference:    29 | throughput: 194.388 | time:   0.005
 inference:    30 | throughput: 196.583 | time:   0.005
 inference:    31 | throughput: 195.302 | time:   0.005
 inference:    32 | throughput: 200.464 | time:   0.005
 inference:    33 | throughput: 191.643 | time:   0.005
 inference:    34 | throughput: 192.021 | time:   0.005
 inference:    35 | throughput: 197.221 | time:   0.005
 inference:    36 | throughput: 193.357 | time:   0.005
 inference:    37 | throughput: 193.947 | time:   0.005
 inference:    38 | throughput: 195.648 | time:   0.005
 inference:    39 | throughput: 198.106 | time:   0.005
 inference:    40 | throughput: 194.307 | time:   0.005
 inference:    41 | throughput: 194.208 | time:   0.005
 inference:    42 | throughput: 128.070 | time:   0.008
 inference:    43 | throughput: 110.058 | time:   0.009
 inference:    44 | throughput: 112.951 | time:   0.009
 inference:    45 | throughput: 119.455 | time:   0.008
 inference:    46 | throughput: 109.150 | time:   0.009
 inference:    47 | throughput: 107.682 | time:   0.009
 inference:    48 | throughput: 108.557 | time:   0.009
 inference:    49 | throughput: 107.472 | time:   0.009
 inference:    50 | throughput: 107.227 | time:   0.009
 inference:    51 | throughput: 105.647 | time:   0.009
 inference:    52 | throughput: 107.615 | time:   0.009
 inference:    53 | throughput: 107.233 | time:   0.009
 inference:    54 | throughput: 115.830 | time:   0.009
 inference:    55 | throughput: 108.864 | time:   0.009
 inference:    56 | throughput: 160.462 | time:   0.006
 inference:    57 | throughput: 186.513 | time:   0.005
 inference:    58 | throughput: 194.379 | time:   0.005
 inference:    59 | throughput: 195.256 | time:   0.005
 inference:    60 | throughput: 187.547 | time:   0.005
 inference:    61 | throughput: 187.934 | time:   0.005
 inference:    62 | throughput: 193.473 | time:   0.005
 inference:    63 | throughput: 185.105 | time:   0.005
 inference:    64 | throughput: 191.599 | time:   0.005
 inference:    65 | throughput: 194.532 | time:   0.005
 inference:    66 | throughput: 190.546 | time:   0.005
 inference:    67 | throughput: 193.295 | time:   0.005
 inference:    68 | throughput: 192.647 | time:   0.005
 inference:    69 | throughput: 189.505 | time:   0.005
 inference:    70 | throughput: 188.542 | time:   0.005
 inference:    71 | throughput: 191.634 | time:   0.005
 inference:    72 | throughput: 192.611 | time:   0.005
 inference:    73 | throughput: 187.993 | time:   0.005
 inference:    74 | throughput: 189.282 | time:   0.005
 inference:    75 | throughput: 189.985 | time:   0.005
 inference:    76 | throughput: 178.329 | time:   0.006
 inference:    77 | throughput: 184.983 | time:   0.005
 inference:    78 | throughput: 184.771 | time:   0.005
 inference:    79 | throughput: 189.248 | time:   0.005
 inference:    80 | throughput: 198.078 | time:   0.005
 inference:    81 | throughput: 191.259 | time:   0.005
 inference:    82 | throughput: 185.187 | time:   0.005
 inference:    83 | throughput: 196.261 | time:   0.005
 inference:    84 | throughput: 191.050 | time:   0.005
 inference:    85 | throughput: 182.886 | time:   0.005
 inference:    86 | throughput: 186.190 | time:   0.005
 inference:    87 | throughput: 193.840 | time:   0.005
 inference:    88 | throughput: 182.163 | time:   0.005
 inference:    89 | throughput: 190.780 | time:   0.005
 inference:    90 | throughput: 190.911 | time:   0.005
 inference:    91 | throughput: 193.161 | time:   0.005
 inference:    92 | throughput: 194.794 | time:   0.005
 inference:    93 | throughput: 192.975 | time:   0.005
 inference:    94 | throughput: 190.824 | time:   0.005
 inference:    95 | throughput: 190.330 | time:   0.005
 inference:    96 | throughput: 193.822 | time:   0.005
 inference:    97 | throughput: 188.466 | time:   0.005
 inference:    98 | throughput: 197.667 | time:   0.005
 inference:    99 | throughput: 194.577 | time:   0.005
 inference:   100 | throughput: 190.815 | time:   0.005

Total inference throughput: 96.46680, Total inference latency: 0.01037
