Data loading...
resnet50-16 Model building...
Start inference...

 inference:     1 | throughput: 454.710 | time:   0.035
 inference:     2 | throughput: 2433.597 | time:   0.007
 inference:     3 | throughput: 1269.366 | time:   0.013
 inference:     4 | throughput: 1284.134 | time:   0.012
 inference:     5 | throughput: 1241.423 | time:   0.013
 inference:     6 | throughput: 1247.933 | time:   0.013
 inference:     7 | throughput: 1311.181 | time:   0.012
 inference:     8 | throughput: 1289.712 | time:   0.012
 inference:     9 | throughput: 1264.869 | time:   0.013
 inference:    10 | throughput: 1293.814 | time:   0.012
 inference:    11 | throughput: 1299.275 | time:   0.012
 inference:    12 | throughput: 1266.348 | time:   0.013
 inference:    13 | throughput: 1249.700 | time:   0.013
 inference:    14 | throughput: 1286.350 | time:   0.012
 inference:    15 | throughput: 1297.542 | time:   0.012
 inference:    16 | throughput: 1246.334 | time:   0.013
 inference:    17 | throughput: 1303.870 | time:   0.012
 inference:    18 | throughput: 1309.339 | time:   0.012
 inference:    19 | throughput: 1258.747 | time:   0.013
 inference:    20 | throughput: 1300.837 | time:   0.012
 inference:    21 | throughput: 1291.449 | time:   0.012
 inference:    22 | throughput: 1258.417 | time:   0.013
 inference:    23 | throughput: 1258.960 | time:   0.013
 inference:    24 | throughput: 1303.540 | time:   0.012
 inference:    25 | throughput: 1306.204 | time:   0.012
 inference:    26 | throughput: 1274.308 | time:   0.013
 inference:    27 | throughput: 1279.605 | time:   0.013
 inference:    28 | throughput: 1297.667 | time:   0.012
 inference:    29 | throughput: 1248.467 | time:   0.013
 inference:    30 | throughput: 1252.615 | time:   0.013
 inference:    31 | throughput: 1314.056 | time:   0.012
 inference:    32 | throughput: 1301.366 | time:   0.012
 inference:    33 | throughput: 1268.599 | time:   0.013
 inference:    34 | throughput: 1290.357 | time:   0.012
 inference:    35 | throughput: 1302.806 | time:   0.012
 inference:    36 | throughput: 1247.168 | time:   0.013
 inference:    37 | throughput: 1250.561 | time:   0.013
 inference:    38 | throughput: 1308.471 | time:   0.012
 inference:    39 | throughput: 1280.093 | time:   0.012
 inference:    40 | throughput: 1263.820 | time:   0.013
 inference:    41 | throughput: 1282.882 | time:   0.012
 inference:    42 | throughput: 1310.413 | time:   0.012
 inference:    43 | throughput: 1288.721 | time:   0.012
 inference:    44 | throughput: 1272.568 | time:   0.013
 inference:    45 | throughput: 1308.241 | time:   0.012
 inference:    46 | throughput: 1287.090 | time:   0.012
 inference:    47 | throughput: 1265.751 | time:   0.013
 inference:    48 | throughput: 1294.064 | time:   0.012
 inference:    49 | throughput: 1291.971 | time:   0.012
 inference:    50 | throughput: 1283.299 | time:   0.012
 inference:    51 | throughput: 1272.520 | time:   0.013
 inference:    52 | throughput: 1303.110 | time:   0.012
 inference:    53 | throughput: 1282.735 | time:   0.012
 inference:    54 | throughput: 1262.513 | time:   0.013
 inference:    55 | throughput: 1258.417 | time:   0.013
 inference:    56 | throughput: 1303.313 | time:   0.012
 inference:    57 | throughput: 1255.451 | time:   0.013
 inference:    58 | throughput: 1290.332 | time:   0.012
 inference:    59 | throughput: 1298.069 | time:   0.012
 inference:    60 | throughput: 1236.893 | time:   0.013
 inference:    61 | throughput: 1258.110 | time:   0.013
 inference:    62 | throughput: 1307.655 | time:   0.012
 inference:    63 | throughput: 1292.942 | time:   0.012
 inference:    64 | throughput: 1230.430 | time:   0.013
 inference:    65 | throughput: 1305.569 | time:   0.012
 inference:    66 | throughput: 1300.811 | time:   0.012
 inference:    67 | throughput: 1260.000 | time:   0.013
 inference:    68 | throughput: 1246.589 | time:   0.013
 inference:    69 | throughput: 1271.435 | time:   0.013
 inference:    70 | throughput: 1315.473 | time:   0.012
 inference:    71 | throughput: 1253.177 | time:   0.013
 inference:    72 | throughput: 1307.528 | time:   0.012
 inference:    73 | throughput: 1286.794 | time:   0.012
 inference:    74 | throughput: 1285.684 | time:   0.012
 inference:    75 | throughput: 1257.097 | time:   0.013
 inference:    76 | throughput: 1308.395 | time:   0.012
 inference:    77 | throughput: 1302.073 | time:   0.012
 inference:    78 | throughput: 1249.606 | time:   0.013
 inference:    79 | throughput: 1320.209 | time:   0.012
 inference:    80 | throughput: 1297.717 | time:   0.012
 inference:    81 | throughput: 1271.435 | time:   0.013
 inference:    82 | throughput: 1266.826 | time:   0.013
 inference:    83 | throughput: 1278.337 | time:   0.013
 inference:    84 | throughput: 1260.331 | time:   0.013
 inference:    85 | throughput: 1253.364 | time:   0.013
 inference:    86 | throughput: 1301.265 | time:   0.012
 inference:    87 | throughput: 1311.796 | time:   0.012
 inference:    88 | throughput: 1274.332 | time:   0.013
 inference:    89 | throughput: 1285.783 | time:   0.012
 inference:    90 | throughput: 1300.938 | time:   0.012
 inference:    91 | throughput: 1251.798 | time:   0.013
 inference:    92 | throughput: 1249.234 | time:   0.013
 inference:    93 | throughput: 1302.579 | time:   0.012
 inference:    94 | throughput: 1273.824 | time:   0.013
 inference:    95 | throughput: 1284.897 | time:   0.012
 inference:    96 | throughput: 1285.192 | time:   0.012
 inference:    97 | throughput: 1300.484 | time:   0.012
 inference:    98 | throughput: 1295.788 | time:   0.012
 inference:    99 | throughput: 1267.185 | time:   0.013
 inference:   100 | throughput: 1309.416 | time:   0.012

Total inference throughput: 1263.76734, Total inference latency: 0.01266
