Data loading...
resnet50-16 Model building...
Start inference...

 inference:     1 | throughput:  32.161 | time:   0.497
 inference:     2 | throughput: 1277.169 | time:   0.013
 inference:     3 | throughput: 1827.733 | time:   0.009
 inference:     4 | throughput: 1801.677 | time:   0.009
 inference:     5 | throughput: 1614.280 | time:   0.010
 inference:     6 | throughput: 1521.916 | time:   0.011
 inference:     7 | throughput: 1532.866 | time:   0.010
 inference:     8 | throughput: 1516.482 | time:   0.011
 inference:     9 | throughput: 1575.880 | time:   0.010
 inference:    10 | throughput: 1514.565 | time:   0.011
 inference:    11 | throughput: 1566.244 | time:   0.010
 inference:    12 | throughput: 1530.314 | time:   0.010
 inference:    13 | throughput: 1523.574 | time:   0.011
 inference:    14 | throughput: 1512.074 | time:   0.011
 inference:    15 | throughput: 1550.216 | time:   0.010
 inference:    16 | throughput: 1512.858 | time:   0.011
 inference:    17 | throughput: 1506.237 | time:   0.011
 inference:    18 | throughput: 1554.273 | time:   0.010
 inference:    19 | throughput: 1403.481 | time:   0.011
 inference:    20 | throughput: 1548.785 | time:   0.010
 inference:    21 | throughput: 1530.838 | time:   0.010
 inference:    22 | throughput: 1521.985 | time:   0.011
 inference:    23 | throughput: 1550.288 | time:   0.010
 inference:    24 | throughput: 1516.516 | time:   0.011
 inference:    25 | throughput: 1505.324 | time:   0.011
 inference:    26 | throughput: 1526.485 | time:   0.010
 inference:    27 | throughput: 1517.236 | time:   0.011
 inference:    28 | throughput: 1536.832 | time:   0.010
 inference:    29 | throughput: 1482.512 | time:   0.011
 inference:    30 | throughput: 1526.624 | time:   0.010
 inference:    31 | throughput: 1552.009 | time:   0.010
 inference:    32 | throughput: 1508.641 | time:   0.011
 inference:    33 | throughput: 1555.282 | time:   0.010
 inference:    34 | throughput: 1549.715 | time:   0.010
 inference:    35 | throughput: 1542.378 | time:   0.010
 inference:    36 | throughput: 1537.079 | time:   0.010
 inference:    37 | throughput: 1554.886 | time:   0.010
 inference:    38 | throughput: 1515.831 | time:   0.011
 inference:    39 | throughput: 1539.583 | time:   0.010
 inference:    40 | throughput: 1540.784 | time:   0.010
 inference:    41 | throughput: 1519.331 | time:   0.011
 inference:    42 | throughput: 1534.303 | time:   0.010
 inference:    43 | throughput: 1544.828 | time:   0.010
 inference:    44 | throughput: 1534.443 | time:   0.010
 inference:    45 | throughput: 1453.076 | time:   0.011
 inference:    46 | throughput: 1533.216 | time:   0.010
 inference:    47 | throughput: 1543.194 | time:   0.010
 inference:    48 | throughput: 1500.209 | time:   0.011
 inference:    49 | throughput: 1517.682 | time:   0.011
 inference:    50 | throughput: 1530.768 | time:   0.010
 inference:    51 | throughput: 1549.143 | time:   0.010
 inference:    52 | throughput: 1536.234 | time:   0.010
 inference:    53 | throughput: 1535.145 | time:   0.010
 inference:    54 | throughput: 1511.904 | time:   0.011
 inference:    55 | throughput: 1558.786 | time:   0.010
 inference:    56 | throughput: 1544.188 | time:   0.010
 inference:    57 | throughput: 1532.061 | time:   0.010
 inference:    58 | throughput: 1558.279 | time:   0.010
 inference:    59 | throughput: 1522.744 | time:   0.011
 inference:    60 | throughput: 1545.361 | time:   0.010
 inference:    61 | throughput: 1530.070 | time:   0.010
 inference:    62 | throughput: 1540.077 | time:   0.010
 inference:    63 | throughput: 1544.686 | time:   0.010
 inference:    64 | throughput: 1523.436 | time:   0.011
 inference:    65 | throughput: 1547.250 | time:   0.010
 inference:    66 | throughput: 1435.514 | time:   0.011
 inference:    67 | throughput: 1552.512 | time:   0.010
 inference:    68 | throughput: 1543.336 | time:   0.010
 inference:    69 | throughput: 1483.134 | time:   0.011
 inference:    70 | throughput: 1534.864 | time:   0.010
 inference:    71 | throughput: 1557.845 | time:   0.010
 inference:    72 | throughput: 1480.125 | time:   0.011
 inference:    73 | throughput: 1519.710 | time:   0.011
 inference:    74 | throughput: 1514.053 | time:   0.011
 inference:    75 | throughput: 1498.769 | time:   0.011
 inference:    76 | throughput: 1511.733 | time:   0.011
 inference:    77 | throughput: 1540.572 | time:   0.010
 inference:    78 | throughput: 1503.469 | time:   0.011
 inference:    79 | throughput: 1571.563 | time:   0.010
 inference:    80 | throughput: 1572.078 | time:   0.010
 inference:    81 | throughput: 1516.071 | time:   0.011
 inference:    82 | throughput: 1567.342 | time:   0.010
 inference:    83 | throughput: 1520.674 | time:   0.011
 inference:    84 | throughput: 1559.837 | time:   0.010
 inference:    85 | throughput: 1483.921 | time:   0.011
 inference:    86 | throughput: 1513.540 | time:   0.011
 inference:    87 | throughput: 1556.111 | time:   0.010
 inference:    88 | throughput: 1527.980 | time:   0.010
 inference:    89 | throughput: 1550.646 | time:   0.010
 inference:    90 | throughput: 1399.355 | time:   0.011
 inference:    91 | throughput: 1562.706 | time:   0.010
 inference:    92 | throughput: 1496.897 | time:   0.011
 inference:    93 | throughput: 1504.818 | time:   0.011
 inference:    94 | throughput: 1537.008 | time:   0.010
 inference:    95 | throughput: 1517.545 | time:   0.011
 inference:    96 | throughput: 1498.969 | time:   0.011
 inference:    97 | throughput: 1535.777 | time:   0.010
 inference:    98 | throughput: 1485.564 | time:   0.011
 inference:    99 | throughput: 1537.149 | time:   0.010
 inference:   100 | throughput: 1495.196 | time:   0.011

Total inference throughput: 1042.92822, Total inference latency: 0.01534
