Data loading...
resnet50-2 Model building...
Start inference...

 inference:     1 | throughput:   4.396 | time:   0.455
 inference:     2 | throughput: 221.604 | time:   0.009
 inference:     3 | throughput: 285.201 | time:   0.007
 inference:     4 | throughput: 355.149 | time:   0.006
 inference:     5 | throughput: 315.207 | time:   0.006
 inference:     6 | throughput: 310.528 | time:   0.006
 inference:     7 | throughput: 311.323 | time:   0.006
 inference:     8 | throughput: 303.199 | time:   0.007
 inference:     9 | throughput: 309.737 | time:   0.006
 inference:    10 | throughput: 311.740 | time:   0.006
 inference:    11 | throughput: 305.841 | time:   0.007
 inference:    12 | throughput: 301.857 | time:   0.007
 inference:    13 | throughput: 323.460 | time:   0.006
 inference:    14 | throughput: 299.112 | time:   0.007
 inference:    15 | throughput: 306.769 | time:   0.007
 inference:    16 | throughput: 308.552 | time:   0.006
 inference:    17 | throughput: 317.402 | time:   0.006
 inference:    18 | throughput: 301.120 | time:   0.007
 inference:    19 | throughput: 304.630 | time:   0.007
 inference:    20 | throughput: 313.675 | time:   0.006
 inference:    21 | throughput: 304.885 | time:   0.007
 inference:    22 | throughput: 297.954 | time:   0.007
 inference:    23 | throughput: 321.884 | time:   0.006
 inference:    24 | throughput: 312.041 | time:   0.006
 inference:    25 | throughput: 301.272 | time:   0.007
 inference:    26 | throughput: 304.144 | time:   0.007
 inference:    27 | throughput: 315.077 | time:   0.006
 inference:    28 | throughput: 300.366 | time:   0.007
 inference:    29 | throughput: 311.972 | time:   0.006
 inference:    30 | throughput: 308.155 | time:   0.006
 inference:    31 | throughput: 307.997 | time:   0.006
 inference:    32 | throughput: 301.023 | time:   0.007
 inference:    33 | throughput: 315.729 | time:   0.006
 inference:    34 | throughput: 307.163 | time:   0.007
 inference:    35 | throughput: 304.122 | time:   0.007
 inference:    36 | throughput: 303.957 | time:   0.007
 inference:    37 | throughput: 320.445 | time:   0.006
 inference:    38 | throughput: 303.429 | time:   0.007
 inference:    39 | throughput: 299.968 | time:   0.007
 inference:    40 | throughput: 317.162 | time:   0.006
 inference:    41 | throughput: 312.611 | time:   0.006
 inference:    42 | throughput: 298.644 | time:   0.007
 inference:    43 | throughput: 314.251 | time:   0.006
 inference:    44 | throughput: 307.230 | time:   0.007
 inference:    45 | throughput: 297.121 | time:   0.007
 inference:    46 | throughput: 314.475 | time:   0.006
 inference:    47 | throughput: 313.663 | time:   0.006
 inference:    48 | throughput: 304.365 | time:   0.007
 inference:    49 | throughput: 304.476 | time:   0.007
 inference:    50 | throughput: 315.373 | time:   0.006
 inference:    51 | throughput: 313.734 | time:   0.006
 inference:    52 | throughput: 297.058 | time:   0.007
 inference:    53 | throughput: 309.989 | time:   0.006
 inference:    54 | throughput: 316.134 | time:   0.006
 inference:    55 | throughput: 298.251 | time:   0.007
 inference:    56 | throughput: 307.590 | time:   0.007
 inference:    57 | throughput: 313.992 | time:   0.006
 inference:    58 | throughput: 307.624 | time:   0.007
 inference:    59 | throughput: 304.575 | time:   0.007
 inference:    60 | throughput: 315.729 | time:   0.006
 inference:    61 | throughput: 307.726 | time:   0.006
 inference:    62 | throughput: 300.861 | time:   0.007
 inference:    63 | throughput: 311.092 | time:   0.006
 inference:    64 | throughput: 317.883 | time:   0.006
 inference:    65 | throughput: 301.532 | time:   0.007
 inference:    66 | throughput: 299.679 | time:   0.007
 inference:    67 | throughput: 314.970 | time:   0.006
 inference:    68 | throughput: 303.265 | time:   0.007
 inference:    69 | throughput: 301.673 | time:   0.007
 inference:    70 | throughput: 315.373 | time:   0.006
 inference:    71 | throughput: 315.006 | time:   0.006
 inference:    72 | throughput: 296.480 | time:   0.007
 inference:    73 | throughput: 313.417 | time:   0.006
 inference:    74 | throughput: 313.253 | time:   0.006
 inference:    75 | throughput: 306.646 | time:   0.007
 inference:    76 | throughput: 298.368 | time:   0.007
 inference:    77 | throughput: 306.769 | time:   0.007
 inference:    78 | throughput: 313.745 | time:   0.006
 inference:    79 | throughput: 303.924 | time:   0.007
 inference:    80 | throughput: 312.565 | time:   0.006
 inference:    81 | throughput: 308.507 | time:   0.006
 inference:    82 | throughput: 295.488 | time:   0.007
 inference:    83 | throughput: 322.962 | time:   0.006
 inference:    84 | throughput: 306.803 | time:   0.007
 inference:    85 | throughput: 298.484 | time:   0.007
 inference:    86 | throughput: 319.968 | time:   0.006
 inference:    87 | throughput: 311.705 | time:   0.006
 inference:    88 | throughput: 293.904 | time:   0.007
 inference:    89 | throughput: 314.876 | time:   0.006
 inference:    90 | throughput: 308.836 | time:   0.006
 inference:    91 | throughput: 315.030 | time:   0.006
 inference:    92 | throughput: 305.396 | time:   0.007
 inference:    93 | throughput: 303.089 | time:   0.007
 inference:    94 | throughput: 311.139 | time:   0.006
 inference:    95 | throughput: 309.508 | time:   0.006
 inference:    96 | throughput: 311.416 | time:   0.006
 inference:    97 | throughput: 303.440 | time:   0.007
 inference:    98 | throughput: 307.455 | time:   0.007
 inference:    99 | throughput: 321.243 | time:   0.006
 inference:   100 | throughput: 298.772 | time:   0.007

Total inference throughput: 181.85773, Total inference latency: 0.01100
