Data loading...
resnet50-2 Model building...
Start inference...

 inference:     1 | throughput:  58.061 | time:   0.034
 inference:     2 | throughput: 349.977 | time:   0.006
 inference:     3 | throughput: 374.324 | time:   0.005
 inference:     4 | throughput: 396.718 | time:   0.005
 inference:     5 | throughput: 395.316 | time:   0.005
 inference:     6 | throughput: 398.641 | time:   0.005
 inference:     7 | throughput: 406.937 | time:   0.005
 inference:     8 | throughput: 400.163 | time:   0.005
 inference:     9 | throughput: 403.221 | time:   0.005
 inference:    10 | throughput: 387.053 | time:   0.005
 inference:    11 | throughput: 404.719 | time:   0.005
 inference:    12 | throughput: 398.338 | time:   0.005
 inference:    13 | throughput: 393.573 | time:   0.005
 inference:    14 | throughput: 384.887 | time:   0.005
 inference:    15 | throughput: 381.717 | time:   0.005
 inference:    16 | throughput: 386.038 | time:   0.005
 inference:    17 | throughput: 391.406 | time:   0.005
 inference:    18 | throughput: 393.167 | time:   0.005
 inference:    19 | throughput: 396.793 | time:   0.005
 inference:    20 | throughput: 396.456 | time:   0.005
 inference:    21 | throughput: 399.857 | time:   0.005
 inference:    22 | throughput: 396.400 | time:   0.005
 inference:    23 | throughput: 380.764 | time:   0.005
 inference:    24 | throughput: 378.070 | time:   0.005
 inference:    25 | throughput: 398.983 | time:   0.005
 inference:    26 | throughput: 392.633 | time:   0.005
 inference:    27 | throughput: 385.010 | time:   0.005
 inference:    28 | throughput: 394.442 | time:   0.005
 inference:    29 | throughput: 397.942 | time:   0.005
 inference:    30 | throughput: 391.973 | time:   0.005
 inference:    31 | throughput: 398.850 | time:   0.005
 inference:    32 | throughput: 398.319 | time:   0.005
 inference:    33 | throughput: 402.718 | time:   0.005
 inference:    34 | throughput: 392.835 | time:   0.005
 inference:    35 | throughput: 388.200 | time:   0.005
 inference:    36 | throughput: 385.152 | time:   0.005
 inference:    37 | throughput: 394.294 | time:   0.005
 inference:    38 | throughput: 395.018 | time:   0.005
 inference:    39 | throughput: 400.296 | time:   0.005
 inference:    40 | throughput: 392.927 | time:   0.005
 inference:    41 | throughput: 393.702 | time:   0.005
 inference:    42 | throughput: 397.188 | time:   0.005
 inference:    43 | throughput: 394.870 | time:   0.005
 inference:    44 | throughput: 391.424 | time:   0.005
 inference:    45 | throughput: 397.828 | time:   0.005
 inference:    46 | throughput: 391.936 | time:   0.005
 inference:    47 | throughput: 397.150 | time:   0.005
 inference:    48 | throughput: 396.194 | time:   0.005
 inference:    49 | throughput: 392.633 | time:   0.005
 inference:    50 | throughput: 394.962 | time:   0.005
 inference:    51 | throughput: 394.981 | time:   0.005
 inference:    52 | throughput: 385.170 | time:   0.005
 inference:    53 | throughput: 391.479 | time:   0.005
 inference:    54 | throughput: 389.932 | time:   0.005
 inference:    55 | throughput: 397.715 | time:   0.005
 inference:    56 | throughput: 393.591 | time:   0.005
 inference:    57 | throughput: 394.053 | time:   0.005
 inference:    58 | throughput: 393.887 | time:   0.005
 inference:    59 | throughput: 390.186 | time:   0.005
 inference:    60 | throughput: 392.541 | time:   0.005
 inference:    61 | throughput: 393.998 | time:   0.005
 inference:    62 | throughput: 394.665 | time:   0.005
 inference:    63 | throughput: 389.787 | time:   0.005
 inference:    64 | throughput: 381.058 | time:   0.005
 inference:    65 | throughput: 395.782 | time:   0.005
 inference:    66 | throughput: 396.194 | time:   0.005
 inference:    67 | throughput: 395.149 | time:   0.005
 inference:    68 | throughput: 395.372 | time:   0.005
 inference:    69 | throughput: 394.461 | time:   0.005
 inference:    70 | throughput: 393.443 | time:   0.005
 inference:    71 | throughput: 393.924 | time:   0.005
 inference:    72 | throughput: 395.447 | time:   0.005
 inference:    73 | throughput: 390.222 | time:   0.005
 inference:    74 | throughput: 369.705 | time:   0.005
 inference:    75 | throughput: 382.552 | time:   0.005
 inference:    76 | throughput: 379.163 | time:   0.005
 inference:    77 | throughput: 382.343 | time:   0.005
 inference:    78 | throughput: 388.397 | time:   0.005
 inference:    79 | throughput: 396.868 | time:   0.005
 inference:    80 | throughput: 395.596 | time:   0.005
 inference:    81 | throughput: 393.148 | time:   0.005
 inference:    82 | throughput: 396.138 | time:   0.005
 inference:    83 | throughput: 395.093 | time:   0.005
 inference:    84 | throughput: 393.683 | time:   0.005
 inference:    85 | throughput: 391.662 | time:   0.005
 inference:    86 | throughput: 389.986 | time:   0.005
 inference:    87 | throughput: 389.950 | time:   0.005
 inference:    88 | throughput: 379.609 | time:   0.005
 inference:    89 | throughput: 393.148 | time:   0.005
 inference:    90 | throughput: 395.018 | time:   0.005
 inference:    91 | throughput: 394.387 | time:   0.005
 inference:    92 | throughput: 392.064 | time:   0.005
 inference:    93 | throughput: 394.239 | time:   0.005
 inference:    94 | throughput: 371.819 | time:   0.005
 inference:    95 | throughput: 387.089 | time:   0.005
 inference:    96 | throughput: 387.805 | time:   0.005
 inference:    97 | throughput: 367.293 | time:   0.005
 inference:    98 | throughput: 381.526 | time:   0.005
 inference:    99 | throughput: 392.688 | time:   0.005
 inference:   100 | throughput: 386.447 | time:   0.005

Total inference throughput: 370.02519, Total inference latency: 0.00541
