Data loading...
resnet50-2 Model building...
Start inference...

 inference:     1 | throughput:   4.286 | time:   0.467
 inference:     2 | throughput: 279.714 | time:   0.007
 inference:     3 | throughput: 333.716 | time:   0.006
 inference:     4 | throughput: 374.742 | time:   0.005
 inference:     5 | throughput: 376.881 | time:   0.005
 inference:     6 | throughput: 377.763 | time:   0.005
 inference:     7 | throughput: 375.598 | time:   0.005
 inference:     8 | throughput: 368.681 | time:   0.005
 inference:     9 | throughput: 380.574 | time:   0.005
 inference:    10 | throughput: 376.424 | time:   0.005
 inference:    11 | throughput: 372.083 | time:   0.005
 inference:    12 | throughput: 375.396 | time:   0.005
 inference:    13 | throughput: 379.403 | time:   0.005
 inference:    14 | throughput: 364.500 | time:   0.005
 inference:    15 | throughput: 382.762 | time:   0.005
 inference:    16 | throughput: 374.659 | time:   0.005
 inference:    17 | throughput: 380.108 | time:   0.005
 inference:    18 | throughput: 374.709 | time:   0.005
 inference:    19 | throughput: 375.077 | time:   0.005
 inference:    20 | throughput: 385.293 | time:   0.005
 inference:    21 | throughput: 384.481 | time:   0.005
 inference:    22 | throughput: 376.120 | time:   0.005
 inference:    23 | throughput: 379.592 | time:   0.005
 inference:    24 | throughput: 378.513 | time:   0.005
 inference:    25 | throughput: 380.384 | time:   0.005
 inference:    26 | throughput: 369.770 | time:   0.005
 inference:    27 | throughput: 380.418 | time:   0.005
 inference:    28 | throughput: 372.877 | time:   0.005
 inference:    29 | throughput: 377.763 | time:   0.005
 inference:    30 | throughput: 376.103 | time:   0.005
 inference:    31 | throughput: 376.694 | time:   0.005
 inference:    32 | throughput: 375.531 | time:   0.005
 inference:    33 | throughput: 375.733 | time:   0.005
 inference:    34 | throughput: 371.325 | time:   0.005
 inference:    35 | throughput: 369.233 | time:   0.005
 inference:    36 | throughput: 377.882 | time:   0.005
 inference:    37 | throughput: 370.571 | time:   0.005
 inference:    38 | throughput: 376.441 | time:   0.005
 inference:    39 | throughput: 380.074 | time:   0.005
 inference:    40 | throughput: 370.800 | time:   0.005
 inference:    41 | throughput: 376.407 | time:   0.005
 inference:    42 | throughput: 380.850 | time:   0.005
 inference:    43 | throughput: 375.329 | time:   0.005
 inference:    44 | throughput: 380.885 | time:   0.005
 inference:    45 | throughput: 379.455 | time:   0.005
 inference:    46 | throughput: 376.272 | time:   0.005
 inference:    47 | throughput: 375.682 | time:   0.005
 inference:    48 | throughput: 384.287 | time:   0.005
 inference:    49 | throughput: 383.672 | time:   0.005
 inference:    50 | throughput: 376.931 | time:   0.005
 inference:    51 | throughput: 380.108 | time:   0.005
 inference:    52 | throughput: 385.541 | time:   0.005
 inference:    53 | throughput: 382.937 | time:   0.005
 inference:    54 | throughput: 383.707 | time:   0.005
 inference:    55 | throughput: 389.552 | time:   0.005
 inference:    56 | throughput: 382.797 | time:   0.005
 inference:    57 | throughput: 381.543 | time:   0.005
 inference:    58 | throughput: 379.988 | time:   0.005
 inference:    59 | throughput: 376.644 | time:   0.005
 inference:    60 | throughput: 381.214 | time:   0.005
 inference:    61 | throughput: 382.517 | time:   0.005
 inference:    62 | throughput: 371.309 | time:   0.005
 inference:    63 | throughput: 379.421 | time:   0.005
 inference:    64 | throughput: 383.374 | time:   0.005
 inference:    65 | throughput: 378.735 | time:   0.005
 inference:    66 | throughput: 381.699 | time:   0.005
 inference:    67 | throughput: 382.675 | time:   0.005
 inference:    68 | throughput: 382.622 | time:   0.005
 inference:    69 | throughput: 377.746 | time:   0.005
 inference:    70 | throughput: 378.735 | time:   0.005
 inference:    71 | throughput: 384.446 | time:   0.005
 inference:    72 | throughput: 381.578 | time:   0.005
 inference:    73 | throughput: 383.655 | time:   0.005
 inference:    74 | throughput: 383.059 | time:   0.005
 inference:    75 | throughput: 380.332 | time:   0.005
 inference:    76 | throughput: 380.764 | time:   0.005
 inference:    77 | throughput: 380.057 | time:   0.005
 inference:    78 | throughput: 373.558 | time:   0.005
 inference:    79 | throughput: 383.953 | time:   0.005
 inference:    80 | throughput: 380.281 | time:   0.005
 inference:    81 | throughput: 368.600 | time:   0.005
 inference:    82 | throughput: 382.605 | time:   0.005
 inference:    83 | throughput: 383.339 | time:   0.005
 inference:    84 | throughput: 371.473 | time:   0.005
 inference:    85 | throughput: 373.242 | time:   0.005
 inference:    86 | throughput: 375.834 | time:   0.005
 inference:    87 | throughput: 381.838 | time:   0.005
 inference:    88 | throughput: 379.850 | time:   0.005
 inference:    89 | throughput: 381.526 | time:   0.005
 inference:    90 | throughput: 378.906 | time:   0.005
 inference:    91 | throughput: 385.382 | time:   0.005
 inference:    92 | throughput: 375.834 | time:   0.005
 inference:    93 | throughput: 377.389 | time:   0.005
 inference:    94 | throughput: 382.535 | time:   0.005
 inference:    95 | throughput: 383.199 | time:   0.005
 inference:    96 | throughput: 376.221 | time:   0.005
 inference:    97 | throughput: 371.259 | time:   0.005
 inference:    98 | throughput: 377.372 | time:   0.005
 inference:    99 | throughput: 380.367 | time:   0.005
 inference:   100 | throughput: 380.315 | time:   0.005

Total inference throughput: 201.51166, Total inference latency: 0.00992
