Data loading...
resnet50-32 Model building...
Start inference...

 inference:     1 | throughput: 862.632 | time:   0.037
 inference:     2 | throughput: 1223.598 | time:   0.026
 inference:     3 | throughput: 588.951 | time:   0.054
 inference:     4 | throughput: 554.305 | time:   0.058
 inference:     5 | throughput: 630.820 | time:   0.051
 inference:     6 | throughput: 588.421 | time:   0.054
 inference:     7 | throughput: 590.466 | time:   0.054
 inference:     8 | throughput: 588.697 | time:   0.054
 inference:     9 | throughput: 592.350 | time:   0.054
 inference:    10 | throughput: 590.986 | time:   0.054
 inference:    11 | throughput: 591.570 | time:   0.054
 inference:    12 | throughput: 592.055 | time:   0.054
 inference:    13 | throughput: 593.068 | time:   0.054
 inference:    14 | throughput: 589.600 | time:   0.054
 inference:    15 | throughput: 588.138 | time:   0.054
 inference:    16 | throughput: 592.374 | time:   0.054
 inference:    17 | throughput: 590.552 | time:   0.054
 inference:    18 | throughput: 586.367 | time:   0.055
 inference:    19 | throughput: 591.038 | time:   0.054
 inference:    20 | throughput: 589.613 | time:   0.054
 inference:    21 | throughput: 588.509 | time:   0.054
 inference:    22 | throughput: 593.034 | time:   0.054
 inference:    23 | throughput: 590.051 | time:   0.054
 inference:    24 | throughput: 590.360 | time:   0.054
 inference:    25 | throughput: 593.802 | time:   0.054
 inference:    26 | throughput: 591.327 | time:   0.054
 inference:    27 | throughput: 591.380 | time:   0.054
 inference:    28 | throughput: 591.583 | time:   0.054
 inference:    29 | throughput: 592.055 | time:   0.054
 inference:    30 | throughput: 587.440 | time:   0.054
 inference:    31 | throughput: 592.596 | time:   0.054
 inference:    32 | throughput: 589.062 | time:   0.054
 inference:    33 | throughput: 585.559 | time:   0.055
 inference:    34 | throughput: 590.459 | time:   0.054
 inference:    35 | throughput: 593.238 | time:   0.054
 inference:    36 | throughput: 590.622 | time:   0.054
 inference:    37 | throughput: 588.504 | time:   0.054
 inference:    38 | throughput: 591.526 | time:   0.054
 inference:    39 | throughput: 589.507 | time:   0.054
 inference:    40 | throughput: 591.786 | time:   0.054
 inference:    41 | throughput: 595.956 | time:   0.054
 inference:    42 | throughput: 593.534 | time:   0.054
 inference:    43 | throughput: 591.961 | time:   0.054
 inference:    44 | throughput: 592.040 | time:   0.054
 inference:    45 | throughput: 583.888 | time:   0.055
 inference:    46 | throughput: 592.282 | time:   0.054
 inference:    47 | throughput: 591.789 | time:   0.054
 inference:    48 | throughput: 589.181 | time:   0.054
 inference:    49 | throughput: 589.160 | time:   0.054
 inference:    50 | throughput: 591.158 | time:   0.054
 inference:    51 | throughput: 589.481 | time:   0.054
 inference:    52 | throughput: 593.745 | time:   0.054
 inference:    53 | throughput: 589.077 | time:   0.054
 inference:    54 | throughput: 592.405 | time:   0.054
 inference:    55 | throughput: 589.758 | time:   0.054
 inference:    56 | throughput: 586.157 | time:   0.055
 inference:    57 | throughput: 591.018 | time:   0.054
 inference:    58 | throughput: 594.412 | time:   0.054
 inference:    59 | throughput: 589.641 | time:   0.054
 inference:    60 | throughput: 590.015 | time:   0.054
 inference:    61 | throughput: 591.593 | time:   0.054
 inference:    62 | throughput: 589.704 | time:   0.054
 inference:    63 | throughput: 586.250 | time:   0.055
 inference:    64 | throughput: 592.607 | time:   0.054
 inference:    65 | throughput: 590.908 | time:   0.054
 inference:    66 | throughput: 587.106 | time:   0.055
 inference:    67 | throughput: 593.913 | time:   0.054
 inference:    68 | throughput: 590.942 | time:   0.054
 inference:    69 | throughput: 593.978 | time:   0.054
 inference:    70 | throughput: 590.235 | time:   0.054
 inference:    71 | throughput: 593.448 | time:   0.054
 inference:    72 | throughput: 590.851 | time:   0.054
 inference:    73 | throughput: 591.239 | time:   0.054
 inference:    74 | throughput: 591.799 | time:   0.054
 inference:    75 | throughput: 581.460 | time:   0.055
 inference:    76 | throughput: 596.155 | time:   0.054
 inference:    77 | throughput: 585.618 | time:   0.055
 inference:    78 | throughput: 593.091 | time:   0.054
 inference:    79 | throughput: 590.378 | time:   0.054
 inference:    80 | throughput: 591.184 | time:   0.054
 inference:    81 | throughput: 587.538 | time:   0.054
 inference:    82 | throughput: 592.105 | time:   0.054
 inference:    83 | throughput: 591.046 | time:   0.054
 inference:    84 | throughput: 593.474 | time:   0.054
 inference:    85 | throughput: 590.924 | time:   0.054
 inference:    86 | throughput: 591.413 | time:   0.054
 inference:    87 | throughput: 592.625 | time:   0.054
 inference:    88 | throughput: 589.111 | time:   0.054
 inference:    89 | throughput: 594.910 | time:   0.054
 inference:    90 | throughput: 584.244 | time:   0.055
 inference:    91 | throughput: 594.220 | time:   0.054
 inference:    92 | throughput: 582.479 | time:   0.055
 inference:    93 | throughput: 593.343 | time:   0.054
 inference:    94 | throughput: 588.481 | time:   0.054
 inference:    95 | throughput: 591.499 | time:   0.054
 inference:    96 | throughput: 587.911 | time:   0.054
 inference:    97 | throughput: 593.398 | time:   0.054
 inference:    98 | throughput: 589.831 | time:   0.054
 inference:    99 | throughput: 587.273 | time:   0.054
 inference:   100 | throughput: 588.682 | time:   0.054

Total inference throughput: 595.46204, Total inference latency: 0.05374
