Data loading...
resnet50-4 Model building...
Start inference...

 inference:     1 | throughput:   8.603 | time:   0.465
 inference:     2 | throughput: 359.633 | time:   0.011
 inference:     3 | throughput: 484.513 | time:   0.008
 inference:     4 | throughput: 472.345 | time:   0.008
 inference:     5 | throughput: 428.964 | time:   0.009
 inference:     6 | throughput: 391.068 | time:   0.010
 inference:     7 | throughput: 401.398 | time:   0.010
 inference:     8 | throughput: 393.499 | time:   0.010
 inference:     9 | throughput: 408.732 | time:   0.010
 inference:    10 | throughput: 387.187 | time:   0.010
 inference:    11 | throughput: 403.541 | time:   0.010
 inference:    12 | throughput: 399.410 | time:   0.010
 inference:    13 | throughput: 401.936 | time:   0.010
 inference:    14 | throughput: 390.941 | time:   0.010
 inference:    15 | throughput: 414.222 | time:   0.010
 inference:    16 | throughput: 389.145 | time:   0.010
 inference:    17 | throughput: 410.864 | time:   0.010
 inference:    18 | throughput: 389.633 | time:   0.010
 inference:    19 | throughput: 405.688 | time:   0.010
 inference:    20 | throughput: 389.208 | time:   0.010
 inference:    21 | throughput: 407.848 | time:   0.010
 inference:    22 | throughput: 393.443 | time:   0.010
 inference:    23 | throughput: 405.227 | time:   0.010
 inference:    24 | throughput: 394.777 | time:   0.010
 inference:    25 | throughput: 401.667 | time:   0.010
 inference:    26 | throughput: 403.066 | time:   0.010
 inference:    27 | throughput: 402.534 | time:   0.010
 inference:    28 | throughput: 394.777 | time:   0.010
 inference:    29 | throughput: 405.727 | time:   0.010
 inference:    30 | throughput: 396.559 | time:   0.010
 inference:    31 | throughput: 400.134 | time:   0.010
 inference:    32 | throughput: 393.102 | time:   0.010
 inference:    33 | throughput: 404.983 | time:   0.010
 inference:    34 | throughput: 394.424 | time:   0.010
 inference:    35 | throughput: 399.343 | time:   0.010
 inference:    36 | throughput: 397.197 | time:   0.010
 inference:    37 | throughput: 400.516 | time:   0.010
 inference:    38 | throughput: 396.119 | time:   0.010
 inference:    39 | throughput: 399.714 | time:   0.010
 inference:    40 | throughput: 396.100 | time:   0.010
 inference:    41 | throughput: 402.466 | time:   0.010
 inference:    42 | throughput: 396.540 | time:   0.010
 inference:    43 | throughput: 401.225 | time:   0.010
 inference:    44 | throughput: 398.613 | time:   0.010
 inference:    45 | throughput: 400.918 | time:   0.010
 inference:    46 | throughput: 396.662 | time:   0.010
 inference:    47 | throughput: 402.158 | time:   0.010
 inference:    48 | throughput: 394.665 | time:   0.010
 inference:    49 | throughput: 399.286 | time:   0.010
 inference:    50 | throughput: 401.753 | time:   0.010
 inference:    51 | throughput: 400.698 | time:   0.010
 inference:    52 | throughput: 399.762 | time:   0.010
 inference:    53 | throughput: 400.392 | time:   0.010
 inference:    54 | throughput: 398.055 | time:   0.010
 inference:    55 | throughput: 400.172 | time:   0.010
 inference:    56 | throughput: 397.169 | time:   0.010
 inference:    57 | throughput: 399.362 | time:   0.010
 inference:    58 | throughput: 397.000 | time:   0.010
 inference:    59 | throughput: 400.048 | time:   0.010
 inference:    60 | throughput: 394.953 | time:   0.010
 inference:    61 | throughput: 400.325 | time:   0.010
 inference:    62 | throughput: 395.829 | time:   0.010
 inference:    63 | throughput: 392.918 | time:   0.010
 inference:    64 | throughput: 398.783 | time:   0.010
 inference:    65 | throughput: 403.687 | time:   0.010
 inference:    66 | throughput: 397.677 | time:   0.010
 inference:    67 | throughput: 396.915 | time:   0.010
 inference:    68 | throughput: 401.426 | time:   0.010
 inference:    69 | throughput: 398.983 | time:   0.010
 inference:    70 | throughput: 400.134 | time:   0.010
 inference:    71 | throughput: 397.385 | time:   0.010
 inference:    72 | throughput: 399.296 | time:   0.010
 inference:    73 | throughput: 399.695 | time:   0.010
 inference:    74 | throughput: 397.160 | time:   0.010
 inference:    75 | throughput: 399.972 | time:   0.010
 inference:    76 | throughput: 398.613 | time:   0.010
 inference:    77 | throughput: 395.493 | time:   0.010
 inference:    78 | throughput: 399.248 | time:   0.010
 inference:    79 | throughput: 397.160 | time:   0.010
 inference:    80 | throughput: 397.913 | time:   0.010
 inference:    81 | throughput: 388.523 | time:   0.010
 inference:    82 | throughput: 397.527 | time:   0.010
 inference:    83 | throughput: 406.228 | time:   0.010
 inference:    84 | throughput: 390.159 | time:   0.010
 inference:    85 | throughput: 402.640 | time:   0.010
 inference:    86 | throughput: 388.451 | time:   0.010
 inference:    87 | throughput: 418.207 | time:   0.010
 inference:    88 | throughput: 388.406 | time:   0.010
 inference:    89 | throughput: 410.643 | time:   0.010
 inference:    90 | throughput: 386.136 | time:   0.010
 inference:    91 | throughput: 404.290 | time:   0.010
 inference:    92 | throughput: 394.972 | time:   0.010
 inference:    93 | throughput: 406.780 | time:   0.010
 inference:    94 | throughput: 397.970 | time:   0.010
 inference:    95 | throughput: 396.371 | time:   0.010
 inference:    96 | throughput: 391.305 | time:   0.010
 inference:    97 | throughput: 400.248 | time:   0.010
 inference:    98 | throughput: 394.313 | time:   0.010
 inference:    99 | throughput: 403.172 | time:   0.010
 inference:   100 | throughput: 394.424 | time:   0.010

Total inference throughput: 274.82980, Total inference latency: 0.01455
