Data loading...
resnet50-4 Model building...
Start inference...

 inference:     1 | throughput:   8.681 | time:   0.461
 inference:     2 | throughput: 346.000 | time:   0.012
 inference:     3 | throughput: 491.842 | time:   0.008
 inference:     4 | throughput: 686.690 | time:   0.006
 inference:     5 | throughput: 685.288 | time:   0.006
 inference:     6 | throughput: 740.749 | time:   0.005
 inference:     7 | throughput: 679.625 | time:   0.006
 inference:     8 | throughput: 724.812 | time:   0.006
 inference:     9 | throughput: 688.635 | time:   0.006
 inference:    10 | throughput: 710.929 | time:   0.006
 inference:    11 | throughput: 681.585 | time:   0.006
 inference:    12 | throughput: 727.105 | time:   0.006
 inference:    13 | throughput: 705.073 | time:   0.006
 inference:    14 | throughput: 673.270 | time:   0.006
 inference:    15 | throughput: 717.343 | time:   0.006
 inference:    16 | throughput: 656.617 | time:   0.006
 inference:    17 | throughput: 750.356 | time:   0.005
 inference:    18 | throughput: 673.513 | time:   0.006
 inference:    19 | throughput: 732.854 | time:   0.005
 inference:    20 | throughput: 688.522 | time:   0.006
 inference:    21 | throughput: 693.962 | time:   0.006
 inference:    22 | throughput: 711.743 | time:   0.006
 inference:    23 | throughput: 691.559 | time:   0.006
 inference:    24 | throughput: 698.062 | time:   0.006
 inference:    25 | throughput: 693.847 | time:   0.006
 inference:    26 | throughput: 715.935 | time:   0.006
 inference:    27 | throughput: 679.350 | time:   0.006
 inference:    28 | throughput: 724.874 | time:   0.006
 inference:    29 | throughput: 678.333 | time:   0.006
 inference:    30 | throughput: 722.875 | time:   0.006
 inference:    31 | throughput: 702.858 | time:   0.006
 inference:    32 | throughput: 701.799 | time:   0.006
 inference:    33 | throughput: 705.162 | time:   0.006
 inference:    34 | throughput: 685.148 | time:   0.006
 inference:    35 | throughput: 708.767 | time:   0.006
 inference:    36 | throughput: 673.513 | time:   0.006
 inference:    37 | throughput: 722.720 | time:   0.006
 inference:    38 | throughput: 673.730 | time:   0.006
 inference:    39 | throughput: 716.057 | time:   0.006
 inference:    40 | throughput: 700.744 | time:   0.006
 inference:    41 | throughput: 713.044 | time:   0.006
 inference:    42 | throughput: 689.116 | time:   0.006
 inference:    43 | throughput: 713.165 | time:   0.006
 inference:    44 | throughput: 697.946 | time:   0.006
 inference:    45 | throughput: 694.622 | time:   0.006
 inference:    46 | throughput: 687.112 | time:   0.006
 inference:    47 | throughput: 687.394 | time:   0.006
 inference:    48 | throughput: 705.844 | time:   0.006
 inference:    49 | throughput: 685.344 | time:   0.006
 inference:    50 | throughput: 689.088 | time:   0.006
 inference:    51 | throughput: 720.021 | time:   0.006
 inference:    52 | throughput: 692.844 | time:   0.006
 inference:    53 | throughput: 714.867 | time:   0.006
 inference:    54 | throughput: 702.328 | time:   0.006
 inference:    55 | throughput: 674.000 | time:   0.006
 inference:    56 | throughput: 702.416 | time:   0.006
 inference:    57 | throughput: 714.684 | time:   0.006
 inference:    58 | throughput: 685.652 | time:   0.006
 inference:    59 | throughput: 709.876 | time:   0.006
 inference:    60 | throughput: 681.391 | time:   0.006
 inference:    61 | throughput: 740.258 | time:   0.005
 inference:    62 | throughput: 691.160 | time:   0.006
 inference:    63 | throughput: 704.067 | time:   0.006
 inference:    64 | throughput: 685.148 | time:   0.006
 inference:    65 | throughput: 715.507 | time:   0.006
 inference:    66 | throughput: 694.939 | time:   0.006
 inference:    67 | throughput: 698.760 | time:   0.006
 inference:    68 | throughput: 702.152 | time:   0.006
 inference:    69 | throughput: 684.505 | time:   0.006
 inference:    70 | throughput: 718.572 | time:   0.006
 inference:    71 | throughput: 686.859 | time:   0.006
 inference:    72 | throughput: 711.653 | time:   0.006
 inference:    73 | throughput: 687.450 | time:   0.006
 inference:    74 | throughput: 711.985 | time:   0.006
 inference:    75 | throughput: 692.386 | time:   0.006
 inference:    76 | throughput: 696.670 | time:   0.006
 inference:    77 | throughput: 709.516 | time:   0.006
 inference:    78 | throughput: 683.223 | time:   0.006
 inference:    79 | throughput: 699.342 | time:   0.006
 inference:    80 | throughput: 678.196 | time:   0.006
 inference:    81 | throughput: 718.510 | time:   0.006
 inference:    82 | throughput: 680.755 | time:   0.006
 inference:    83 | throughput: 724.374 | time:   0.006
 inference:    84 | throughput: 690.165 | time:   0.006
 inference:    85 | throughput: 699.080 | time:   0.006
 inference:    86 | throughput: 690.648 | time:   0.006
 inference:    87 | throughput: 714.167 | time:   0.006
 inference:    88 | throughput: 704.422 | time:   0.006
 inference:    89 | throughput: 694.853 | time:   0.006
 inference:    90 | throughput: 702.740 | time:   0.006
 inference:    91 | throughput: 689.626 | time:   0.006
 inference:    92 | throughput: 707.601 | time:   0.006
 inference:    93 | throughput: 683.139 | time:   0.006
 inference:    94 | throughput: 694.479 | time:   0.006
 inference:    95 | throughput: 702.475 | time:   0.006
 inference:    96 | throughput: 710.478 | time:   0.006
 inference:    97 | throughput: 700.393 | time:   0.006
 inference:    98 | throughput: 708.079 | time:   0.006
 inference:    99 | throughput: 695.977 | time:   0.006
 inference:   100 | throughput: 699.721 | time:   0.006

Total inference throughput: 386.41287, Total inference latency: 0.01035
