Data loading...
resnet50-4 Model building...
Start inference...

 inference:     1 | throughput: 266.618 | time:   0.015
 inference:     2 | throughput: 716.546 | time:   0.006
 inference:     3 | throughput: 749.552 | time:   0.005
 inference:     4 | throughput: 736.715 | time:   0.005
 inference:     5 | throughput: 706.052 | time:   0.006
 inference:     6 | throughput: 751.297 | time:   0.005
 inference:     7 | throughput: 714.289 | time:   0.006
 inference:     8 | throughput: 732.406 | time:   0.005
 inference:     9 | throughput: 737.719 | time:   0.005
 inference:    10 | throughput: 721.042 | time:   0.006
 inference:    11 | throughput: 749.016 | time:   0.005
 inference:    12 | throughput: 729.286 | time:   0.005
 inference:    13 | throughput: 681.890 | time:   0.006
 inference:    14 | throughput: 715.874 | time:   0.006
 inference:    15 | throughput: 732.438 | time:   0.005
 inference:    16 | throughput: 732.374 | time:   0.005
 inference:    17 | throughput: 715.965 | time:   0.006
 inference:    18 | throughput: 712.257 | time:   0.006
 inference:    19 | throughput: 743.539 | time:   0.005
 inference:    20 | throughput: 716.455 | time:   0.006
 inference:    21 | throughput: 740.978 | time:   0.005
 inference:    22 | throughput: 727.483 | time:   0.005
 inference:    23 | throughput: 716.914 | time:   0.006
 inference:    24 | throughput: 733.430 | time:   0.005
 inference:    25 | throughput: 713.620 | time:   0.006
 inference:    26 | throughput: 726.507 | time:   0.006
 inference:    27 | throughput: 737.460 | time:   0.005
 inference:    28 | throughput: 716.363 | time:   0.006
 inference:    29 | throughput: 734.618 | time:   0.005
 inference:    30 | throughput: 739.932 | time:   0.005
 inference:    31 | throughput: 718.757 | time:   0.006
 inference:    32 | throughput: 733.526 | time:   0.005
 inference:    33 | throughput: 737.298 | time:   0.005
 inference:    34 | throughput: 719.990 | time:   0.006
 inference:    35 | throughput: 732.822 | time:   0.005
 inference:    36 | throughput: 714.258 | time:   0.006
 inference:    37 | throughput: 736.748 | time:   0.005
 inference:    38 | throughput: 738.596 | time:   0.005
 inference:    39 | throughput: 716.149 | time:   0.006
 inference:    40 | throughput: 734.747 | time:   0.005
 inference:    41 | throughput: 722.844 | time:   0.006
 inference:    42 | throughput: 728.526 | time:   0.005
 inference:    43 | throughput: 750.423 | time:   0.005
 inference:    44 | throughput: 710.177 | time:   0.006
 inference:    45 | throughput: 732.086 | time:   0.005
 inference:    46 | throughput: 727.957 | time:   0.005
 inference:    47 | throughput: 715.141 | time:   0.006
 inference:    48 | throughput: 737.687 | time:   0.005
 inference:    49 | throughput: 707.690 | time:   0.006
 inference:    50 | throughput: 731.448 | time:   0.005
 inference:    51 | throughput: 719.219 | time:   0.006
 inference:    52 | throughput: 722.004 | time:   0.006
 inference:    53 | throughput: 748.115 | time:   0.005
 inference:    54 | throughput: 720.145 | time:   0.006
 inference:    55 | throughput: 731.767 | time:   0.005
 inference:    56 | throughput: 738.174 | time:   0.005
 inference:    57 | throughput: 714.563 | time:   0.006
 inference:    58 | throughput: 736.327 | time:   0.005
 inference:    59 | throughput: 736.683 | time:   0.005
 inference:    60 | throughput: 724.874 | time:   0.006
 inference:    61 | throughput: 728.115 | time:   0.005
 inference:    62 | throughput: 730.747 | time:   0.005
 inference:    63 | throughput: 726.035 | time:   0.006
 inference:    64 | throughput: 735.778 | time:   0.005
 inference:    65 | throughput: 725.250 | time:   0.006
 inference:    66 | throughput: 726.318 | time:   0.006
 inference:    67 | throughput: 736.812 | time:   0.005
 inference:    68 | throughput: 714.684 | time:   0.006
 inference:    69 | throughput: 738.206 | time:   0.005
 inference:    70 | throughput: 726.129 | time:   0.006
 inference:    71 | throughput: 722.720 | time:   0.006
 inference:    72 | throughput: 742.059 | time:   0.005
 inference:    73 | throughput: 710.207 | time:   0.006
 inference:    74 | throughput: 737.817 | time:   0.005
 inference:    75 | throughput: 734.811 | time:   0.005
 inference:    76 | throughput: 716.638 | time:   0.006
 inference:    77 | throughput: 735.230 | time:   0.005
 inference:    78 | throughput: 723.936 | time:   0.006
 inference:    79 | throughput: 734.297 | time:   0.005
 inference:    80 | throughput: 700.861 | time:   0.006
 inference:    81 | throughput: 691.274 | time:   0.006
 inference:    82 | throughput: 754.236 | time:   0.005
 inference:    83 | throughput: 736.618 | time:   0.005
 inference:    84 | throughput: 727.925 | time:   0.005
 inference:    85 | throughput: 735.391 | time:   0.005
 inference:    86 | throughput: 707.571 | time:   0.006
 inference:    87 | throughput: 747.049 | time:   0.005
 inference:    88 | throughput: 731.511 | time:   0.005
 inference:    89 | throughput: 722.657 | time:   0.006
 inference:    90 | throughput: 720.578 | time:   0.006
 inference:    91 | throughput: 744.364 | time:   0.005
 inference:    92 | throughput: 729.159 | time:   0.005
 inference:    93 | throughput: 706.350 | time:   0.006
 inference:    94 | throughput: 734.683 | time:   0.005
 inference:    95 | throughput: 712.984 | time:   0.006
 inference:    96 | throughput: 750.054 | time:   0.005
 inference:    97 | throughput: 717.711 | time:   0.006
 inference:    98 | throughput: 734.522 | time:   0.005
 inference:    99 | throughput: 724.874 | time:   0.006
 inference:   100 | throughput: 738.466 | time:   0.005

Total inference throughput: 715.03650, Total inference latency: 0.00559
