Data loading...
resnet50-64 Model building...
Start inference...

 inference:     1 | throughput: 2759.354 | time:   0.023
 inference:     2 | throughput: 2103.067 | time:   0.030
 inference:     3 | throughput: 1541.483 | time:   0.042
 inference:     4 | throughput: 1483.265 | time:   0.043
 inference:     5 | throughput: 1666.349 | time:   0.038
 inference:     6 | throughput: 1521.898 | time:   0.042
 inference:     7 | throughput: 1517.047 | time:   0.042
 inference:     8 | throughput: 1554.579 | time:   0.041
 inference:     9 | throughput: 1571.517 | time:   0.041
 inference:    10 | throughput: 1553.887 | time:   0.041
 inference:    11 | throughput: 1532.078 | time:   0.042
 inference:    12 | throughput: 1505.409 | time:   0.043
 inference:    13 | throughput: 1573.672 | time:   0.041
 inference:    14 | throughput: 1553.707 | time:   0.041
 inference:    15 | throughput: 1548.419 | time:   0.041
 inference:    16 | throughput: 1518.197 | time:   0.042
 inference:    17 | throughput: 1518.377 | time:   0.042
 inference:    18 | throughput: 1565.797 | time:   0.041
 inference:    19 | throughput: 1553.149 | time:   0.041
 inference:    20 | throughput: 1569.220 | time:   0.041
 inference:    21 | throughput: 1525.531 | time:   0.042
 inference:    22 | throughput: 1508.369 | time:   0.042
 inference:    23 | throughput: 1564.701 | time:   0.041
 inference:    24 | throughput: 1567.845 | time:   0.041
 inference:    25 | throughput: 1557.511 | time:   0.041
 inference:    26 | throughput: 1523.712 | time:   0.042
 inference:    27 | throughput: 1499.572 | time:   0.043
 inference:    28 | throughput: 1564.446 | time:   0.041
 inference:    29 | throughput: 1562.907 | time:   0.041
 inference:    30 | throughput: 1560.971 | time:   0.041
 inference:    31 | throughput: 1505.662 | time:   0.043
 inference:    32 | throughput: 1512.841 | time:   0.042
 inference:    33 | throughput: 1566.061 | time:   0.041
 inference:    34 | throughput: 1573.875 | time:   0.041
 inference:    35 | throughput: 1560.481 | time:   0.041
 inference:    36 | throughput: 1503.377 | time:   0.043
 inference:    37 | throughput: 1530.733 | time:   0.042
 inference:    38 | throughput: 1543.433 | time:   0.041
 inference:    39 | throughput: 1578.707 | time:   0.041
 inference:    40 | throughput: 1564.674 | time:   0.041
 inference:    41 | throughput: 1496.663 | time:   0.043
 inference:    42 | throughput: 1530.305 | time:   0.042
 inference:    43 | throughput: 1562.679 | time:   0.041
 inference:    44 | throughput: 1566.409 | time:   0.041
 inference:    45 | throughput: 1558.659 | time:   0.041
 inference:    46 | throughput: 1501.695 | time:   0.043
 inference:    47 | throughput: 1532.043 | time:   0.042
 inference:    48 | throughput: 1572.133 | time:   0.041
 inference:    49 | throughput: 1559.773 | time:   0.041
 inference:    50 | throughput: 1557.683 | time:   0.041
 inference:    51 | throughput: 1513.361 | time:   0.042
 inference:    52 | throughput: 1532.061 | time:   0.042
 inference:    53 | throughput: 1566.893 | time:   0.041
 inference:    54 | throughput: 1566.098 | time:   0.041
 inference:    55 | throughput: 1556.806 | time:   0.041
 inference:    56 | throughput: 1515.044 | time:   0.042
 inference:    57 | throughput: 1509.837 | time:   0.042
 inference:    58 | throughput: 1575.658 | time:   0.041
 inference:    59 | throughput: 1567.543 | time:   0.041
 inference:    60 | throughput: 1548.196 | time:   0.041
 inference:    61 | throughput: 1516.011 | time:   0.042
 inference:    62 | throughput: 1518.755 | time:   0.042
 inference:    63 | throughput: 1573.931 | time:   0.041
 inference:    64 | throughput: 1556.193 | time:   0.041
 inference:    65 | throughput: 1563.854 | time:   0.041
 inference:    66 | throughput: 1493.482 | time:   0.043
 inference:    67 | throughput: 1526.989 | time:   0.042
 inference:    68 | throughput: 1560.426 | time:   0.041
 inference:    69 | throughput: 1569.642 | time:   0.041
 inference:    70 | throughput: 1553.986 | time:   0.041
 inference:    71 | throughput: 1507.048 | time:   0.042
 inference:    72 | throughput: 1539.945 | time:   0.042
 inference:    73 | throughput: 1562.188 | time:   0.041
 inference:    74 | throughput: 1556.671 | time:   0.041
 inference:    75 | throughput: 1565.495 | time:   0.041
 inference:    76 | throughput: 1505.569 | time:   0.043
 inference:    77 | throughput: 1525.522 | time:   0.042
 inference:    78 | throughput: 1557.827 | time:   0.041
 inference:    79 | throughput: 1575.372 | time:   0.041
 inference:    80 | throughput: 1550.574 | time:   0.041
 inference:    81 | throughput: 1514.445 | time:   0.042
 inference:    82 | throughput: 1533.952 | time:   0.042
 inference:    83 | throughput: 1563.407 | time:   0.041
 inference:    84 | throughput: 1565.313 | time:   0.041
 inference:    85 | throughput: 1545.717 | time:   0.041
 inference:    86 | throughput: 1516.876 | time:   0.042
 inference:    87 | throughput: 1530.401 | time:   0.042
 inference:    88 | throughput: 1560.590 | time:   0.041
 inference:    89 | throughput: 1557.520 | time:   0.041
 inference:    90 | throughput: 1552.476 | time:   0.041
 inference:    91 | throughput: 1516.285 | time:   0.042
 inference:    92 | throughput: 1523.392 | time:   0.042
 inference:    93 | throughput: 1570.799 | time:   0.041
 inference:    94 | throughput: 1569.293 | time:   0.041
 inference:    95 | throughput: 1562.043 | time:   0.041
 inference:    96 | throughput: 1496.054 | time:   0.043
 inference:    97 | throughput: 1543.096 | time:   0.041
 inference:    98 | throughput: 1563.826 | time:   0.041
 inference:    99 | throughput: 1554.219 | time:   0.041
 inference:   100 | throughput: 1554.156 | time:   0.041

Total inference throughput: 1555.25769, Total inference latency: 0.04115
