Data loading...
resnet50-64 Model building...
Start inference...

 inference:     1 | throughput: 2764.383 | time:   0.023
 inference:     2 | throughput: 2860.200 | time:   0.022
 inference:     3 | throughput: 1852.582 | time:   0.035
 inference:     4 | throughput: 1742.510 | time:   0.037
 inference:     5 | throughput: 2016.750 | time:   0.032
 inference:     6 | throughput: 1859.538 | time:   0.034
 inference:     7 | throughput: 1872.758 | time:   0.034
 inference:     8 | throughput: 1874.170 | time:   0.034
 inference:     9 | throughput: 1859.036 | time:   0.034
 inference:    10 | throughput: 1876.082 | time:   0.034
 inference:    11 | throughput: 1870.852 | time:   0.034
 inference:    12 | throughput: 1860.144 | time:   0.034
 inference:    13 | throughput: 1890.537 | time:   0.034
 inference:    14 | throughput: 1873.594 | time:   0.034
 inference:    15 | throughput: 1873.620 | time:   0.034
 inference:    16 | throughput: 1860.002 | time:   0.034
 inference:    17 | throughput: 1898.667 | time:   0.034
 inference:    18 | throughput: 1861.421 | time:   0.034
 inference:    19 | throughput: 1888.648 | time:   0.034
 inference:    20 | throughput: 1876.489 | time:   0.034
 inference:    21 | throughput: 1884.009 | time:   0.034
 inference:    22 | throughput: 1832.449 | time:   0.035
 inference:    23 | throughput: 1891.549 | time:   0.034
 inference:    24 | throughput: 1878.156 | time:   0.034
 inference:    25 | throughput: 1855.617 | time:   0.034
 inference:    26 | throughput: 1878.682 | time:   0.034
 inference:    27 | throughput: 1852.122 | time:   0.035
 inference:    28 | throughput: 1876.305 | time:   0.034
 inference:    29 | throughput: 1876.121 | time:   0.034
 inference:    30 | throughput: 1866.559 | time:   0.034
 inference:    31 | throughput: 1877.250 | time:   0.034
 inference:    32 | throughput: 1861.808 | time:   0.034
 inference:    33 | throughput: 1873.463 | time:   0.034
 inference:    34 | throughput: 1855.681 | time:   0.034
 inference:    35 | throughput: 1896.521 | time:   0.034
 inference:    36 | throughput: 1865.820 | time:   0.034
 inference:    37 | throughput: 1883.652 | time:   0.034
 inference:    38 | throughput: 1869.367 | time:   0.034
 inference:    39 | throughput: 1875.243 | time:   0.034
 inference:    40 | throughput: 1878.682 | time:   0.034
 inference:    41 | throughput: 1874.431 | time:   0.034
 inference:    42 | throughput: 1873.490 | time:   0.034
 inference:    43 | throughput: 1889.605 | time:   0.034
 inference:    44 | throughput: 1850.513 | time:   0.035
 inference:    45 | throughput: 1844.093 | time:   0.035
 inference:    46 | throughput: 1885.822 | time:   0.034
 inference:    47 | throughput: 1866.533 | time:   0.034
 inference:    48 | throughput: 1882.437 | time:   0.034
 inference:    49 | throughput: 1871.595 | time:   0.034
 inference:    50 | throughput: 1831.549 | time:   0.035
 inference:    51 | throughput: 1894.433 | time:   0.034
 inference:    52 | throughput: 1857.556 | time:   0.034
 inference:    53 | throughput: 1876.882 | time:   0.034
 inference:    54 | throughput: 1857.942 | time:   0.034
 inference:    55 | throughput: 1869.406 | time:   0.034
 inference:    56 | throughput: 1851.981 | time:   0.035
 inference:    57 | throughput: 1882.793 | time:   0.034
 inference:    58 | throughput: 1875.767 | time:   0.034
 inference:    59 | throughput: 1868.391 | time:   0.034
 inference:    60 | throughput: 1889.871 | time:   0.034
 inference:    61 | throughput: 1875.636 | time:   0.034
 inference:    62 | throughput: 1875.021 | time:   0.034
 inference:    63 | throughput: 1872.758 | time:   0.034
 inference:    64 | throughput: 1873.320 | time:   0.034
 inference:    65 | throughput: 1873.320 | time:   0.034
 inference:    66 | throughput: 1889.153 | time:   0.034
 inference:    67 | throughput: 1872.588 | time:   0.034
 inference:    68 | throughput: 1866.793 | time:   0.034
 inference:    69 | throughput: 1876.804 | time:   0.034
 inference:    70 | throughput: 1868.950 | time:   0.034
 inference:    71 | throughput: 1889.406 | time:   0.034
 inference:    72 | throughput: 1860.982 | time:   0.034
 inference:    73 | throughput: 1835.582 | time:   0.035
 inference:    74 | throughput: 1875.008 | time:   0.034
 inference:    75 | throughput: 1883.374 | time:   0.034
 inference:    76 | throughput: 1859.319 | time:   0.034
 inference:    77 | throughput: 1874.916 | time:   0.034
 inference:    78 | throughput: 1874.222 | time:   0.034
 inference:    79 | throughput: 1842.688 | time:   0.035
 inference:    80 | throughput: 1890.284 | time:   0.034
 inference:    81 | throughput: 1870.487 | time:   0.034
 inference:    82 | throughput: 1869.927 | time:   0.034
 inference:    83 | throughput: 1884.022 | time:   0.034
 inference:    84 | throughput: 1865.197 | time:   0.034
 inference:    85 | throughput: 1880.564 | time:   0.034
 inference:    86 | throughput: 1869.536 | time:   0.034
 inference:    87 | throughput: 1887.413 | time:   0.034
 inference:    88 | throughput: 1875.479 | time:   0.034
 inference:    89 | throughput: 1886.591 | time:   0.034
 inference:    90 | throughput: 1867.832 | time:   0.034
 inference:    91 | throughput: 1893.404 | time:   0.034
 inference:    92 | throughput: 1826.415 | time:   0.035
 inference:    93 | throughput: 1888.914 | time:   0.034
 inference:    94 | throughput: 1885.478 | time:   0.034
 inference:    95 | throughput: 1854.284 | time:   0.035
 inference:    96 | throughput: 1857.929 | time:   0.034
 inference:    97 | throughput: 1873.110 | time:   0.034
 inference:    98 | throughput: 1865.366 | time:   0.034
 inference:    99 | throughput: 1880.300 | time:   0.034
 inference:   100 | throughput: 1879.655 | time:   0.034

Total inference throughput: 1883.95457, Total inference latency: 0.03397
