Data loading...
resnet50-64 Model building...
Start inference...

 inference:     1 | throughput: 2860.779 | time:   0.022
 inference:     2 | throughput: 2868.728 | time:   0.022
 inference:     3 | throughput: 1887.413 | time:   0.034
 inference:     4 | throughput: 1688.868 | time:   0.038
 inference:     5 | throughput: 2120.327 | time:   0.030
 inference:     6 | throughput: 1878.235 | time:   0.034
 inference:     7 | throughput: 1877.736 | time:   0.034
 inference:     8 | throughput: 1877.434 | time:   0.034
 inference:     9 | throughput: 1872.091 | time:   0.034
 inference:    10 | throughput: 1891.363 | time:   0.034
 inference:    11 | throughput: 1884.736 | time:   0.034
 inference:    12 | throughput: 1888.329 | time:   0.034
 inference:    13 | throughput: 1892.229 | time:   0.034
 inference:    14 | throughput: 1884.935 | time:   0.034
 inference:    15 | throughput: 1890.577 | time:   0.034
 inference:    16 | throughput: 1888.994 | time:   0.034
 inference:    17 | throughput: 1898.170 | time:   0.034
 inference:    18 | throughput: 1883.744 | time:   0.034
 inference:    19 | throughput: 1898.439 | time:   0.034
 inference:    20 | throughput: 1872.758 | time:   0.034
 inference:    21 | throughput: 1905.541 | time:   0.034
 inference:    22 | throughput: 1842.182 | time:   0.035
 inference:    23 | throughput: 1894.179 | time:   0.034
 inference:    24 | throughput: 1906.935 | time:   0.034
 inference:    25 | throughput: 1886.538 | time:   0.034
 inference:    26 | throughput: 1866.611 | time:   0.034
 inference:    27 | throughput: 1892.710 | time:   0.034
 inference:    28 | throughput: 1880.972 | time:   0.034
 inference:    29 | throughput: 1883.533 | time:   0.034
 inference:    30 | throughput: 1887.586 | time:   0.034
 inference:    31 | throughput: 1894.192 | time:   0.034
 inference:    32 | throughput: 1865.119 | time:   0.034
 inference:    33 | throughput: 1885.690 | time:   0.034
 inference:    34 | throughput: 1863.100 | time:   0.034
 inference:    35 | throughput: 1923.152 | time:   0.033
 inference:    36 | throughput: 1877.828 | time:   0.034
 inference:    37 | throughput: 1898.842 | time:   0.034
 inference:    38 | throughput: 1891.350 | time:   0.034
 inference:    39 | throughput: 1897.258 | time:   0.034
 inference:    40 | throughput: 1881.487 | time:   0.034
 inference:    41 | throughput: 1906.434 | time:   0.034
 inference:    42 | throughput: 1881.684 | time:   0.034
 inference:    43 | throughput: 1904.176 | time:   0.034
 inference:    44 | throughput: 1889.366 | time:   0.034
 inference:    45 | throughput: 1879.511 | time:   0.034
 inference:    46 | throughput: 1881.394 | time:   0.034
 inference:    47 | throughput: 1889.459 | time:   0.034
 inference:    48 | throughput: 1913.801 | time:   0.033
 inference:    49 | throughput: 1870.552 | time:   0.034
 inference:    50 | throughput: 1862.829 | time:   0.034
 inference:    51 | throughput: 1893.230 | time:   0.034
 inference:    52 | throughput: 1884.313 | time:   0.034
 inference:    53 | throughput: 1878.314 | time:   0.034
 inference:    54 | throughput: 1904.919 | time:   0.034
 inference:    55 | throughput: 1883.348 | time:   0.034
 inference:    56 | throughput: 1842.714 | time:   0.035
 inference:    57 | throughput: 1919.837 | time:   0.033
 inference:    58 | throughput: 1886.723 | time:   0.034
 inference:    59 | throughput: 1890.018 | time:   0.034
 inference:    60 | throughput: 1893.578 | time:   0.034
 inference:    61 | throughput: 1892.710 | time:   0.034
 inference:    62 | throughput: 1892.069 | time:   0.034
 inference:    63 | throughput: 1886.909 | time:   0.034
 inference:    64 | throughput: 1898.264 | time:   0.034
 inference:    65 | throughput: 1883.506 | time:   0.034
 inference:    66 | throughput: 1898.425 | time:   0.034
 inference:    67 | throughput: 1885.756 | time:   0.034
 inference:    68 | throughput: 1889.020 | time:   0.034
 inference:    69 | throughput: 1861.730 | time:   0.034
 inference:    70 | throughput: 1913.433 | time:   0.033
 inference:    71 | throughput: 1878.932 | time:   0.034
 inference:    72 | throughput: 1884.326 | time:   0.034
 inference:    73 | throughput: 1902.664 | time:   0.034
 inference:    74 | throughput: 1851.764 | time:   0.035
 inference:    75 | throughput: 1893.564 | time:   0.034
 inference:    76 | throughput: 1884.525 | time:   0.034
 inference:    77 | throughput: 1841.058 | time:   0.035
 inference:    78 | throughput: 1884.366 | time:   0.034
 inference:    79 | throughput: 1873.895 | time:   0.034
 inference:    80 | throughput: 1874.431 | time:   0.034
 inference:    81 | throughput: 1886.776 | time:   0.034
 inference:    82 | throughput: 1893.872 | time:   0.034
 inference:    83 | throughput: 1894.874 | time:   0.034
 inference:    84 | throughput: 1890.670 | time:   0.034
 inference:    85 | throughput: 1878.353 | time:   0.034
 inference:    86 | throughput: 1891.056 | time:   0.034
 inference:    87 | throughput: 1881.065 | time:   0.034
 inference:    88 | throughput: 1903.595 | time:   0.034
 inference:    89 | throughput: 1882.450 | time:   0.034
 inference:    90 | throughput: 1906.773 | time:   0.034
 inference:    91 | throughput: 1882.661 | time:   0.034
 inference:    92 | throughput: 1899.003 | time:   0.034
 inference:    93 | throughput: 1841.639 | time:   0.035
 inference:    94 | throughput: 1889.007 | time:   0.034
 inference:    95 | throughput: 1908.304 | time:   0.034
 inference:    96 | throughput: 1890.071 | time:   0.034
 inference:    97 | throughput: 1875.676 | time:   0.034
 inference:    98 | throughput: 1876.226 | time:   0.034
 inference:    99 | throughput: 1887.174 | time:   0.034
 inference:   100 | throughput: 1888.781 | time:   0.034

Total inference throughput: 1898.85233, Total inference latency: 0.03370
