Data loading...
resnet50-64 Model building...
Start inference...

 inference:     1 | throughput: 2876.598 | time:   0.022
 inference:     2 | throughput: 2883.117 | time:   0.022
 inference:     3 | throughput: 1867.806 | time:   0.034
 inference:     4 | throughput: 1708.985 | time:   0.037
 inference:     5 | throughput: 2050.096 | time:   0.031
 inference:     6 | throughput: 1857.119 | time:   0.034
 inference:     7 | throughput: 1865.768 | time:   0.034
 inference:     8 | throughput: 1842.739 | time:   0.035
 inference:     9 | throughput: 1853.990 | time:   0.035
 inference:    10 | throughput: 1853.836 | time:   0.035
 inference:    11 | throughput: 1846.211 | time:   0.035
 inference:    12 | throughput: 1801.629 | time:   0.036
 inference:    13 | throughput: 1800.263 | time:   0.036
 inference:    14 | throughput: 1803.553 | time:   0.035
 inference:    15 | throughput: 1831.461 | time:   0.035
 inference:    16 | throughput: 1838.070 | time:   0.035
 inference:    17 | throughput: 1879.668 | time:   0.034
 inference:    18 | throughput: 1861.098 | time:   0.034
 inference:    19 | throughput: 1869.705 | time:   0.034
 inference:    20 | throughput: 1861.214 | time:   0.034
 inference:    21 | throughput: 1870.344 | time:   0.034
 inference:    22 | throughput: 1835.418 | time:   0.035
 inference:    23 | throughput: 1866.040 | time:   0.034
 inference:    24 | throughput: 1891.416 | time:   0.034
 inference:    25 | throughput: 1863.126 | time:   0.034
 inference:    26 | throughput: 1871.504 | time:   0.034
 inference:    27 | throughput: 1845.742 | time:   0.035
 inference:    28 | throughput: 1873.542 | time:   0.034
 inference:    29 | throughput: 1875.034 | time:   0.034
 inference:    30 | throughput: 1858.405 | time:   0.034
 inference:    31 | throughput: 1878.314 | time:   0.034
 inference:    32 | throughput: 1851.164 | time:   0.035
 inference:    33 | throughput: 1854.002 | time:   0.035
 inference:    34 | throughput: 1880.551 | time:   0.034
 inference:    35 | throughput: 1862.622 | time:   0.034
 inference:    36 | throughput: 1863.799 | time:   0.034
 inference:    37 | throughput: 1870.213 | time:   0.034
 inference:    38 | throughput: 1866.118 | time:   0.034
 inference:    39 | throughput: 1874.052 | time:   0.034
 inference:    40 | throughput: 1853.913 | time:   0.035
 inference:    41 | throughput: 1872.901 | time:   0.034
 inference:    42 | throughput: 1862.531 | time:   0.034
 inference:    43 | throughput: 1879.866 | time:   0.034
 inference:    44 | throughput: 1865.042 | time:   0.034
 inference:    45 | throughput: 1859.873 | time:   0.034
 inference:    46 | throughput: 1848.131 | time:   0.035
 inference:    47 | throughput: 1868.495 | time:   0.034
 inference:    48 | throughput: 1895.008 | time:   0.034
 inference:    49 | throughput: 1854.195 | time:   0.035
 inference:    50 | throughput: 1860.131 | time:   0.034
 inference:    51 | throughput: 1864.394 | time:   0.034
 inference:    52 | throughput: 1873.398 | time:   0.034
 inference:    53 | throughput: 1861.137 | time:   0.034
 inference:    54 | throughput: 1864.627 | time:   0.034
 inference:    55 | throughput: 1877.867 | time:   0.034
 inference:    56 | throughput: 1832.437 | time:   0.035
 inference:    57 | throughput: 1883.427 | time:   0.034
 inference:    58 | throughput: 1882.186 | time:   0.034
 inference:    59 | throughput: 1857.274 | time:   0.034
 inference:    60 | throughput: 1878.274 | time:   0.034
 inference:    61 | throughput: 1869.015 | time:   0.034
 inference:    62 | throughput: 1872.679 | time:   0.034
 inference:    63 | throughput: 1860.324 | time:   0.034
 inference:    64 | throughput: 1854.387 | time:   0.035
 inference:    65 | throughput: 1880.907 | time:   0.034
 inference:    66 | throughput: 1865.340 | time:   0.034
 inference:    67 | throughput: 1881.052 | time:   0.034
 inference:    68 | throughput: 1855.707 | time:   0.034
 inference:    69 | throughput: 1842.865 | time:   0.035
 inference:    70 | throughput: 1884.260 | time:   0.034
 inference:    71 | throughput: 1875.178 | time:   0.034
 inference:    72 | throughput: 1865.729 | time:   0.034
 inference:    73 | throughput: 1869.588 | time:   0.034
 inference:    74 | throughput: 1825.458 | time:   0.035
 inference:    75 | throughput: 1895.784 | time:   0.034
 inference:    76 | throughput: 1861.008 | time:   0.034
 inference:    77 | throughput: 1869.875 | time:   0.034
 inference:    78 | throughput: 1867.754 | time:   0.034
 inference:    79 | throughput: 1846.567 | time:   0.035
 inference:    80 | throughput: 1863.320 | time:   0.034
 inference:    81 | throughput: 1879.958 | time:   0.034
 inference:    82 | throughput: 1867.078 | time:   0.034
 inference:    83 | throughput: 1863.333 | time:   0.034
 inference:    84 | throughput: 1873.202 | time:   0.034
 inference:    85 | throughput: 1860.621 | time:   0.034
 inference:    86 | throughput: 1870.135 | time:   0.034
 inference:    87 | throughput: 1869.705 | time:   0.034
 inference:    88 | throughput: 1869.289 | time:   0.034
 inference:    89 | throughput: 1873.673 | time:   0.034
 inference:    90 | throughput: 1861.343 | time:   0.034
 inference:    91 | throughput: 1877.657 | time:   0.034
 inference:    92 | throughput: 1854.118 | time:   0.035
 inference:    93 | throughput: 1847.279 | time:   0.035
 inference:    94 | throughput: 1874.641 | time:   0.034
 inference:    95 | throughput: 1876.187 | time:   0.034
 inference:    96 | throughput: 1866.222 | time:   0.034
 inference:    97 | throughput: 1859.860 | time:   0.034
 inference:    98 | throughput: 1853.414 | time:   0.035
 inference:    99 | throughput: 1876.331 | time:   0.034
 inference:   100 | throughput: 1868.742 | time:   0.034

Total inference throughput: 1875.93579, Total inference latency: 0.03412
