Data loading...
resnet50-8 Model building...
Start inference...

 inference:     1 | throughput:  16.737 | time:   0.478
 inference:     2 | throughput: 757.813 | time:   0.011
 inference:     3 | throughput: 874.679 | time:   0.009
 inference:     4 | throughput: 1097.913 | time:   0.007
 inference:     5 | throughput: 1145.320 | time:   0.007
 inference:     6 | throughput: 961.335 | time:   0.008
 inference:     7 | throughput: 980.608 | time:   0.008
 inference:     8 | throughput: 943.150 | time:   0.008
 inference:     9 | throughput: 958.862 | time:   0.008
 inference:    10 | throughput: 955.368 | time:   0.008
 inference:    11 | throughput: 973.213 | time:   0.008
 inference:    12 | throughput: 974.089 | time:   0.008
 inference:    13 | throughput: 939.742 | time:   0.009
 inference:    14 | throughput: 959.274 | time:   0.008
 inference:    15 | throughput: 981.870 | time:   0.008
 inference:    16 | throughput: 935.107 | time:   0.009
 inference:    17 | throughput: 979.205 | time:   0.008
 inference:    18 | throughput: 954.363 | time:   0.008
 inference:    19 | throughput: 973.269 | time:   0.008
 inference:    20 | throughput: 952.601 | time:   0.008
 inference:    21 | throughput: 952.574 | time:   0.008
 inference:    22 | throughput: 972.001 | time:   0.008
 inference:    23 | throughput: 965.123 | time:   0.008
 inference:    24 | throughput: 942.064 | time:   0.008
 inference:    25 | throughput: 966.290 | time:   0.008
 inference:    26 | throughput: 960.097 | time:   0.008
 inference:    27 | throughput: 977.836 | time:   0.008
 inference:    28 | throughput: 948.777 | time:   0.008
 inference:    29 | throughput: 978.549 | time:   0.008
 inference:    30 | throughput: 950.874 | time:   0.008
 inference:    31 | throughput: 963.350 | time:   0.008
 inference:    32 | throughput: 956.430 | time:   0.008
 inference:    33 | throughput: 942.726 | time:   0.008
 inference:    34 | throughput: 953.956 | time:   0.008
 inference:    35 | throughput: 989.223 | time:   0.008
 inference:    36 | throughput: 946.555 | time:   0.008
 inference:    37 | throughput: 947.303 | time:   0.008
 inference:    38 | throughput: 951.602 | time:   0.008
 inference:    39 | throughput: 979.691 | time:   0.008
 inference:    40 | throughput: 937.484 | time:   0.009
 inference:    41 | throughput: 976.782 | time:   0.008
 inference:    42 | throughput: 951.737 | time:   0.008
 inference:    43 | throughput: 948.991 | time:   0.008
 inference:    44 | throughput: 969.389 | time:   0.008
 inference:    45 | throughput: 974.343 | time:   0.008
 inference:    46 | throughput: 953.793 | time:   0.008
 inference:    47 | throughput: 969.978 | time:   0.008
 inference:    48 | throughput: 946.609 | time:   0.008
 inference:    49 | throughput: 977.836 | time:   0.008
 inference:    50 | throughput: 950.335 | time:   0.008
 inference:    51 | throughput: 965.290 | time:   0.008
 inference:    52 | throughput: 954.037 | time:   0.008
 inference:    53 | throughput: 946.983 | time:   0.008
 inference:    54 | throughput: 967.907 | time:   0.008
 inference:    55 | throughput: 943.946 | time:   0.008
 inference:    56 | throughput: 963.184 | time:   0.008
 inference:    57 | throughput: 964.042 | time:   0.008
 inference:    58 | throughput: 969.137 | time:   0.008
 inference:    59 | throughput: 952.791 | time:   0.008
 inference:    60 | throughput: 960.619 | time:   0.008
 inference:    61 | throughput: 954.661 | time:   0.008
 inference:    62 | throughput: 962.272 | time:   0.008
 inference:    63 | throughput: 957.740 | time:   0.008
 inference:    64 | throughput: 953.576 | time:   0.008
 inference:    65 | throughput: 950.793 | time:   0.008
 inference:    66 | throughput: 971.916 | time:   0.008
 inference:    67 | throughput: 945.062 | time:   0.008
 inference:    68 | throughput: 979.320 | time:   0.008
 inference:    69 | throughput: 947.731 | time:   0.008
 inference:    70 | throughput: 970.707 | time:   0.008
 inference:    71 | throughput: 957.112 | time:   0.008
 inference:    72 | throughput: 970.482 | time:   0.008
 inference:    73 | throughput: 963.211 | time:   0.008
 inference:    74 | throughput: 965.151 | time:   0.008
 inference:    75 | throughput: 948.080 | time:   0.008
 inference:    76 | throughput: 965.290 | time:   0.008
 inference:    77 | throughput: 950.577 | time:   0.008
 inference:    78 | throughput: 963.986 | time:   0.008
 inference:    79 | throughput: 956.457 | time:   0.008
 inference:    80 | throughput: 965.540 | time:   0.008
 inference:    81 | throughput: 964.457 | time:   0.008
 inference:    82 | throughput: 964.984 | time:   0.008
 inference:    83 | throughput: 945.861 | time:   0.008
 inference:    84 | throughput: 981.985 | time:   0.008
 inference:    85 | throughput: 961.115 | time:   0.008
 inference:    86 | throughput: 956.266 | time:   0.008
 inference:    87 | throughput: 949.287 | time:   0.008
 inference:    88 | throughput: 956.348 | time:   0.008
 inference:    89 | throughput: 959.932 | time:   0.008
 inference:    90 | throughput: 967.321 | time:   0.008
 inference:    91 | throughput: 945.062 | time:   0.008
 inference:    92 | throughput: 950.874 | time:   0.008
 inference:    93 | throughput: 947.839 | time:   0.008
 inference:    94 | throughput: 970.651 | time:   0.008
 inference:    95 | throughput: 978.549 | time:   0.008
 inference:    96 | throughput: 956.021 | time:   0.008
 inference:    97 | throughput: 960.757 | time:   0.008
 inference:    98 | throughput: 947.731 | time:   0.008
 inference:    99 | throughput: 968.773 | time:   0.008
 inference:   100 | throughput: 962.327 | time:   0.008

Total inference throughput: 613.65293, Total inference latency: 0.01304
