Data loading...
resnet50-8 Model building...
Start inference...

 inference:     1 | throughput:  16.890 | time:   0.474
 inference:     2 | throughput: 876.736 | time:   0.009
 inference:     3 | throughput: 1114.469 | time:   0.007
 inference:     4 | throughput: 1377.383 | time:   0.006
 inference:     5 | throughput: 1334.915 | time:   0.006
 inference:     6 | throughput: 1262.204 | time:   0.006
 inference:     7 | throughput: 1300.106 | time:   0.006
 inference:     8 | throughput: 1304.351 | time:   0.006
 inference:     9 | throughput: 1219.984 | time:   0.007
 inference:    10 | throughput: 1307.655 | time:   0.006
 inference:    11 | throughput: 1205.953 | time:   0.007
 inference:    12 | throughput: 1428.030 | time:   0.006
 inference:    13 | throughput: 1262.727 | time:   0.006
 inference:    14 | throughput: 1351.857 | time:   0.006
 inference:    15 | throughput: 1280.704 | time:   0.006
 inference:    16 | throughput: 1304.199 | time:   0.006
 inference:    17 | throughput: 1200.946 | time:   0.007
 inference:    18 | throughput: 1385.459 | time:   0.006
 inference:    19 | throughput: 1331.842 | time:   0.006
 inference:    20 | throughput: 1239.314 | time:   0.006
 inference:    21 | throughput: 1366.724 | time:   0.006
 inference:    22 | throughput: 1214.860 | time:   0.007
 inference:    23 | throughput: 1412.937 | time:   0.006
 inference:    24 | throughput: 1269.847 | time:   0.006
 inference:    25 | throughput: 1311.950 | time:   0.006
 inference:    26 | throughput: 1345.676 | time:   0.006
 inference:    27 | throughput: 1265.918 | time:   0.006
 inference:    28 | throughput: 1331.948 | time:   0.006
 inference:    29 | throughput: 1269.222 | time:   0.006
 inference:    30 | throughput: 1335.234 | time:   0.006
 inference:    31 | throughput: 1297.492 | time:   0.006
 inference:    32 | throughput: 1334.119 | time:   0.006
 inference:    33 | throughput: 1252.873 | time:   0.006
 inference:    34 | throughput: 1296.439 | time:   0.006
 inference:    35 | throughput: 1349.356 | time:   0.006
 inference:    36 | throughput: 1274.380 | time:   0.006
 inference:    37 | throughput: 1345.244 | time:   0.006
 inference:    38 | throughput: 1308.165 | time:   0.006
 inference:    39 | throughput: 1274.042 | time:   0.006
 inference:    40 | throughput: 1344.113 | time:   0.006
 inference:    41 | throughput: 1314.108 | time:   0.006
 inference:    42 | throughput: 1297.642 | time:   0.006
 inference:    43 | throughput: 1294.888 | time:   0.006
 inference:    44 | throughput: 1269.462 | time:   0.006
 inference:    45 | throughput: 1362.727 | time:   0.006
 inference:    46 | throughput: 1299.502 | time:   0.006
 inference:    47 | throughput: 1323.333 | time:   0.006
 inference:    48 | throughput: 1324.169 | time:   0.006
 inference:    49 | throughput: 1313.182 | time:   0.006
 inference:    50 | throughput: 1310.362 | time:   0.006
 inference:    51 | throughput: 1301.165 | time:   0.006
 inference:    52 | throughput: 1266.970 | time:   0.006
 inference:    53 | throughput: 1272.785 | time:   0.006
 inference:    54 | throughput: 1321.353 | time:   0.006
 inference:    55 | throughput: 1313.234 | time:   0.006
 inference:    56 | throughput: 1319.275 | time:   0.006
 inference:    57 | throughput: 1310.822 | time:   0.006
 inference:    58 | throughput: 1273.945 | time:   0.006
 inference:    59 | throughput: 1288.029 | time:   0.006
 inference:    60 | throughput: 1317.048 | time:   0.006
 inference:    61 | throughput: 1266.635 | time:   0.006
 inference:    62 | throughput: 1372.369 | time:   0.006
 inference:    63 | throughput: 1257.332 | time:   0.006
 inference:    64 | throughput: 1330.416 | time:   0.006
 inference:    65 | throughput: 1296.539 | time:   0.006
 inference:    66 | throughput: 1337.949 | time:   0.006
 inference:    67 | throughput: 1283.938 | time:   0.006
 inference:    68 | throughput: 1297.642 | time:   0.006
 inference:    69 | throughput: 1308.165 | time:   0.006
 inference:    70 | throughput: 1282.417 | time:   0.006
 inference:    71 | throughput: 1293.690 | time:   0.006
 inference:    72 | throughput: 1244.601 | time:   0.006
 inference:    73 | throughput: 1362.340 | time:   0.006
 inference:    74 | throughput: 1269.847 | time:   0.006
 inference:    75 | throughput: 1324.639 | time:   0.006
 inference:    76 | throughput: 1307.197 | time:   0.006
 inference:    77 | throughput: 1284.774 | time:   0.006
 inference:    78 | throughput: 1327.732 | time:   0.006
 inference:    79 | throughput: 1293.939 | time:   0.006
 inference:    80 | throughput: 1300.358 | time:   0.006
 inference:    81 | throughput: 1293.839 | time:   0.006
 inference:    82 | throughput: 1304.098 | time:   0.006
 inference:    83 | throughput: 1308.114 | time:   0.006
 inference:    84 | throughput: 1323.594 | time:   0.006
 inference:    85 | throughput: 1278.800 | time:   0.006
 inference:    86 | throughput: 1324.378 | time:   0.006
 inference:    87 | throughput: 1294.788 | time:   0.006
 inference:    88 | throughput: 1330.575 | time:   0.006
 inference:    89 | throughput: 1286.300 | time:   0.006
 inference:    90 | throughput: 1288.127 | time:   0.006
 inference:    91 | throughput: 1280.752 | time:   0.006
 inference:    92 | throughput: 1298.848 | time:   0.006
 inference:    93 | throughput: 1321.041 | time:   0.006
 inference:    94 | throughput: 1288.177 | time:   0.006
 inference:    95 | throughput: 1356.557 | time:   0.006
 inference:    96 | throughput: 1231.355 | time:   0.006
 inference:    97 | throughput: 1377.553 | time:   0.006
 inference:    98 | throughput: 1280.801 | time:   0.006
 inference:    99 | throughput: 1329.468 | time:   0.006
 inference:   100 | throughput: 1262.204 | time:   0.006

Total inference throughput: 736.92589, Total inference latency: 0.01086
