Data loading...
vgg19-1 Model building...
Start inference...

 inference:     1 | throughput: 228.859 | time:   0.004
 inference:     2 | throughput: 501.291 | time:   0.002
 inference:     3 | throughput: 262.817 | time:   0.004
 inference:     4 | throughput: 277.585 | time:   0.004
 inference:     5 | throughput: 268.041 | time:   0.004
 inference:     6 | throughput: 271.511 | time:   0.004
 inference:     7 | throughput: 266.271 | time:   0.004
 inference:     8 | throughput: 265.362 | time:   0.004
 inference:     9 | throughput: 273.334 | time:   0.004
 inference:    10 | throughput: 251.956 | time:   0.004
 inference:    11 | throughput: 287.360 | time:   0.003
 inference:    12 | throughput: 257.067 | time:   0.004
 inference:    13 | throughput: 277.897 | time:   0.004
 inference:    14 | throughput: 261.719 | time:   0.004
 inference:    15 | throughput: 268.435 | time:   0.004
 inference:    16 | throughput: 264.675 | time:   0.004
 inference:    17 | throughput: 267.272 | time:   0.004
 inference:    18 | throughput: 272.623 | time:   0.004
 inference:    19 | throughput: 255.641 | time:   0.004
 inference:    20 | throughput: 287.006 | time:   0.003
 inference:    21 | throughput: 257.921 | time:   0.004
 inference:    22 | throughput: 280.480 | time:   0.004
 inference:    23 | throughput: 259.951 | time:   0.004
 inference:    24 | throughput: 272.517 | time:   0.004
 inference:    25 | throughput: 264.892 | time:   0.004
 inference:    26 | throughput: 262.850 | time:   0.004
 inference:    27 | throughput: 274.982 | time:   0.004
 inference:    28 | throughput: 258.365 | time:   0.004
 inference:    29 | throughput: 287.360 | time:   0.003
 inference:    30 | throughput: 258.365 | time:   0.004
 inference:    31 | throughput: 276.833 | time:   0.004
 inference:    32 | throughput: 267.017 | time:   0.004
 inference:    33 | throughput: 269.314 | time:   0.004
 inference:    34 | throughput: 269.332 | time:   0.004
 inference:    35 | throughput: 260.970 | time:   0.004
 inference:    36 | throughput: 275.633 | time:   0.004
 inference:    37 | throughput: 255.548 | time:   0.004
 inference:    38 | throughput: 287.045 | time:   0.003
 inference:    39 | throughput: 254.540 | time:   0.004
 inference:    40 | throughput: 273.565 | time:   0.004
 inference:    41 | throughput: 263.975 | time:   0.004
 inference:    42 | throughput: 269.436 | time:   0.004
 inference:    43 | throughput: 264.358 | time:   0.004
 inference:    44 | throughput: 262.160 | time:   0.004
 inference:    45 | throughput: 267.494 | time:   0.004
 inference:    46 | throughput: 256.031 | time:   0.004
 inference:    47 | throughput: 280.574 | time:   0.004
 inference:    48 | throughput: 252.821 | time:   0.004
 inference:    49 | throughput: 267.051 | time:   0.004
 inference:    50 | throughput: 262.982 | time:   0.004
 inference:    51 | throughput: 272.889 | time:   0.004
 inference:    52 | throughput: 260.096 | time:   0.004
 inference:    53 | throughput: 272.499 | time:   0.004
 inference:    54 | throughput: 264.009 | time:   0.004
 inference:    55 | throughput: 263.279 | time:   0.004
 inference:    56 | throughput: 270.600 | time:   0.004
 inference:    57 | throughput: 255.144 | time:   0.004
 inference:    58 | throughput: 284.186 | time:   0.004
 inference:    59 | throughput: 261.279 | time:   0.004
 inference:    60 | throughput: 275.959 | time:   0.004
 inference:    61 | throughput: 266.559 | time:   0.004
 inference:    62 | throughput: 266.085 | time:   0.004
 inference:    63 | throughput: 264.909 | time:   0.004
 inference:    64 | throughput: 263.346 | time:   0.004
 inference:    65 | throughput: 272.110 | time:   0.004
 inference:    66 | throughput: 256.141 | time:   0.004
 inference:    67 | throughput: 284.051 | time:   0.004
 inference:    68 | throughput: 258.892 | time:   0.004
 inference:    69 | throughput: 275.488 | time:   0.004
 inference:    70 | throughput: 263.147 | time:   0.004
 inference:    71 | throughput: 271.757 | time:   0.004
 inference:    72 | throughput: 268.556 | time:   0.004
 inference:    73 | throughput: 264.258 | time:   0.004
 inference:    74 | throughput: 273.031 | time:   0.004
 inference:    75 | throughput: 258.780 | time:   0.004
 inference:    76 | throughput: 284.321 | time:   0.004
 inference:    77 | throughput: 258.254 | time:   0.004
 inference:    78 | throughput: 277.989 | time:   0.004
 inference:    79 | throughput: 263.925 | time:   0.004
 inference:    80 | throughput: 270.496 | time:   0.004
 inference:    81 | throughput: 265.227 | time:   0.004
 inference:    82 | throughput: 266.204 | time:   0.004
 inference:    83 | throughput: 270.182 | time:   0.004
 inference:    84 | throughput: 262.472 | time:   0.004
 inference:    85 | throughput: 284.784 | time:   0.004
 inference:    86 | throughput: 257.540 | time:   0.004
 inference:    87 | throughput: 275.887 | time:   0.004
 inference:    88 | throughput: 269.852 | time:   0.004
 inference:    89 | throughput: 271.476 | time:   0.004
 inference:    90 | throughput: 261.197 | time:   0.004
 inference:    91 | throughput: 265.009 | time:   0.004
 inference:    92 | throughput: 269.591 | time:   0.004
 inference:    93 | throughput: 256.172 | time:   0.004
 inference:    94 | throughput: 285.113 | time:   0.004
 inference:    95 | throughput: 253.846 | time:   0.004
 inference:    96 | throughput: 279.081 | time:   0.004
 inference:    97 | throughput: 265.917 | time:   0.004
 inference:    98 | throughput: 264.758 | time:   0.004
 inference:    99 | throughput: 263.992 | time:   0.004
 inference:   100 | throughput: 264.358 | time:   0.004

Total inference throughput: 268.33121, Total inference latency: 0.00373
