Data loading...
vgg19-1 Model building...
Start inference...

 inference:     1 | throughput: 212.198 | time:   0.005
 inference:     2 | throughput: 632.339 | time:   0.002
 inference:     3 | throughput: 385.577 | time:   0.003
 inference:     4 | throughput: 387.214 | time:   0.003
 inference:     5 | throughput: 373.092 | time:   0.003
 inference:     6 | throughput: 375.027 | time:   0.003
 inference:     7 | throughput: 378.172 | time:   0.003
 inference:     8 | throughput: 380.298 | time:   0.003
 inference:     9 | throughput: 370.948 | time:   0.003
 inference:    10 | throughput: 377.457 | time:   0.003
 inference:    11 | throughput: 380.091 | time:   0.003
 inference:    12 | throughput: 366.827 | time:   0.003
 inference:    13 | throughput: 389.443 | time:   0.003
 inference:    14 | throughput: 368.892 | time:   0.003
 inference:    15 | throughput: 381.023 | time:   0.003
 inference:    16 | throughput: 371.802 | time:   0.003
 inference:    17 | throughput: 389.552 | time:   0.003
 inference:    18 | throughput: 368.990 | time:   0.003
 inference:    19 | throughput: 390.277 | time:   0.003
 inference:    20 | throughput: 369.087 | time:   0.003
 inference:    21 | throughput: 382.902 | time:   0.003
 inference:    22 | throughput: 368.795 | time:   0.003
 inference:    23 | throughput: 385.541 | time:   0.003
 inference:    24 | throughput: 375.800 | time:   0.003
 inference:    25 | throughput: 388.074 | time:   0.003
 inference:    26 | throughput: 370.129 | time:   0.003
 inference:    27 | throughput: 378.684 | time:   0.003
 inference:    28 | throughput: 379.369 | time:   0.003
 inference:    29 | throughput: 379.678 | time:   0.003
 inference:    30 | throughput: 371.112 | time:   0.003
 inference:    31 | throughput: 384.587 | time:   0.003
 inference:    32 | throughput: 372.661 | time:   0.003
 inference:    33 | throughput: 366.827 | time:   0.003
 inference:    34 | throughput: 386.145 | time:   0.003
 inference:    35 | throughput: 369.770 | time:   0.003
 inference:    36 | throughput: 379.541 | time:   0.003
 inference:    37 | throughput: 374.793 | time:   0.003
 inference:    38 | throughput: 385.435 | time:   0.003
 inference:    39 | throughput: 363.899 | time:   0.003
 inference:    40 | throughput: 396.850 | time:   0.003
 inference:    41 | throughput: 369.477 | time:   0.003
 inference:    42 | throughput: 381.717 | time:   0.003
 inference:    43 | throughput: 376.475 | time:   0.003
 inference:    44 | throughput: 385.152 | time:   0.003
 inference:    45 | throughput: 369.803 | time:   0.003
 inference:    46 | throughput: 388.685 | time:   0.003
 inference:    47 | throughput: 376.306 | time:   0.003
 inference:    48 | throughput: 381.162 | time:   0.003
 inference:    49 | throughput: 383.742 | time:   0.003
 inference:    50 | throughput: 381.474 | time:   0.003
 inference:    51 | throughput: 373.924 | time:   0.003
 inference:    52 | throughput: 384.728 | time:   0.003
 inference:    53 | throughput: 370.358 | time:   0.003
 inference:    54 | throughput: 375.195 | time:   0.003
 inference:    55 | throughput: 382.832 | time:   0.003
 inference:    56 | throughput: 375.497 | time:   0.003
 inference:    57 | throughput: 372.364 | time:   0.003
 inference:    58 | throughput: 374.157 | time:   0.003
 inference:    59 | throughput: 381.127 | time:   0.003
 inference:    60 | throughput: 367.438 | time:   0.003
 inference:    61 | throughput: 392.505 | time:   0.003
 inference:    62 | throughput: 370.031 | time:   0.003
 inference:    63 | throughput: 381.995 | time:   0.003
 inference:    64 | throughput: 368.827 | time:   0.003
 inference:    65 | throughput: 394.202 | time:   0.003
 inference:    66 | throughput: 369.119 | time:   0.003
 inference:    67 | throughput: 390.531 | time:   0.003
 inference:    68 | throughput: 366.988 | time:   0.003
 inference:    69 | throughput: 385.152 | time:   0.003
 inference:    70 | throughput: 373.724 | time:   0.003
 inference:    71 | throughput: 386.572 | time:   0.003
 inference:    72 | throughput: 373.491 | time:   0.003
 inference:    73 | throughput: 388.649 | time:   0.003
 inference:    74 | throughput: 370.293 | time:   0.003
 inference:    75 | throughput: 379.266 | time:   0.003
 inference:    76 | throughput: 379.541 | time:   0.003
 inference:    77 | throughput: 376.711 | time:   0.003
 inference:    78 | throughput: 364.120 | time:   0.003
 inference:    79 | throughput: 393.536 | time:   0.003
 inference:    80 | throughput: 370.293 | time:   0.003
 inference:    81 | throughput: 371.737 | time:   0.003
 inference:    82 | throughput: 385.081 | time:   0.003
 inference:    83 | throughput: 367.986 | time:   0.003
 inference:    84 | throughput: 380.229 | time:   0.003
 inference:    85 | throughput: 376.508 | time:   0.003
 inference:    86 | throughput: 378.958 | time:   0.003
 inference:    87 | throughput: 373.857 | time:   0.003
 inference:    88 | throughput: 395.652 | time:   0.003
 inference:    89 | throughput: 370.325 | time:   0.003
 inference:    90 | throughput: 382.797 | time:   0.003
 inference:    91 | throughput: 376.914 | time:   0.003
 inference:    92 | throughput: 385.506 | time:   0.003
 inference:    93 | throughput: 354.458 | time:   0.003
 inference:    94 | throughput: 407.531 | time:   0.002
 inference:    95 | throughput: 373.691 | time:   0.003
 inference:    96 | throughput: 376.475 | time:   0.003
 inference:    97 | throughput: 376.711 | time:   0.003
 inference:    98 | throughput: 377.491 | time:   0.003
 inference:    99 | throughput: 374.893 | time:   0.003
 inference:   100 | throughput: 387.107 | time:   0.003

Total inference throughput: 376.59904, Total inference latency: 0.00266
