Data loading...
vgg19-16 Model building...
Start inference...

 inference:     1 | throughput:  35.566 | time:   0.450
 inference:     2 | throughput: 750.163 | time:   0.021
 inference:     3 | throughput: 559.241 | time:   0.029
 inference:     4 | throughput: 527.096 | time:   0.030
 inference:     5 | throughput: 517.819 | time:   0.031
 inference:     6 | throughput: 518.720 | time:   0.031
 inference:     7 | throughput: 518.379 | time:   0.031
 inference:     8 | throughput: 516.627 | time:   0.031
 inference:     9 | throughput: 520.058 | time:   0.031
 inference:    10 | throughput: 517.552 | time:   0.031
 inference:    11 | throughput: 522.826 | time:   0.031
 inference:    12 | throughput: 517.628 | time:   0.031
 inference:    13 | throughput: 516.631 | time:   0.031
 inference:    14 | throughput: 522.781 | time:   0.031
 inference:    15 | throughput: 520.591 | time:   0.031
 inference:    16 | throughput: 519.893 | time:   0.031
 inference:    17 | throughput: 519.692 | time:   0.031
 inference:    18 | throughput: 522.476 | time:   0.031
 inference:    19 | throughput: 520.171 | time:   0.031
 inference:    20 | throughput: 520.987 | time:   0.031
 inference:    21 | throughput: 522.671 | time:   0.031
 inference:    22 | throughput: 519.736 | time:   0.031
 inference:    23 | throughput: 519.097 | time:   0.031
 inference:    24 | throughput: 520.486 | time:   0.031
 inference:    25 | throughput: 517.628 | time:   0.031
 inference:    26 | throughput: 520.151 | time:   0.031
 inference:    27 | throughput: 520.006 | time:   0.031
 inference:    28 | throughput: 522.602 | time:   0.031
 inference:    29 | throughput: 516.508 | time:   0.031
 inference:    30 | throughput: 518.079 | time:   0.031
 inference:    31 | throughput: 519.161 | time:   0.031
 inference:    32 | throughput: 520.329 | time:   0.031
 inference:    33 | throughput: 518.993 | time:   0.031
 inference:    34 | throughput: 517.452 | time:   0.031
 inference:    35 | throughput: 522.590 | time:   0.031
 inference:    36 | throughput: 515.877 | time:   0.031
 inference:    37 | throughput: 519.451 | time:   0.031
 inference:    38 | throughput: 521.895 | time:   0.031
 inference:    39 | throughput: 521.173 | time:   0.031
 inference:    40 | throughput: 519.523 | time:   0.031
 inference:    41 | throughput: 521.562 | time:   0.031
 inference:    42 | throughput: 519.781 | time:   0.031
 inference:    43 | throughput: 519.342 | time:   0.031
 inference:    44 | throughput: 522.061 | time:   0.031
 inference:    45 | throughput: 521.700 | time:   0.031
 inference:    46 | throughput: 519.913 | time:   0.031
 inference:    47 | throughput: 520.292 | time:   0.031
 inference:    48 | throughput: 523.495 | time:   0.031
 inference:    49 | throughput: 517.412 | time:   0.031
 inference:    50 | throughput: 515.750 | time:   0.031
 inference:    51 | throughput: 521.846 | time:   0.031
 inference:    52 | throughput: 521.044 | time:   0.031
 inference:    53 | throughput: 516.496 | time:   0.031
 inference:    54 | throughput: 518.519 | time:   0.031
 inference:    55 | throughput: 519.009 | time:   0.031
 inference:    56 | throughput: 516.898 | time:   0.031
 inference:    57 | throughput: 518.107 | time:   0.031
 inference:    58 | throughput: 520.559 | time:   0.031
 inference:    59 | throughput: 520.200 | time:   0.031
 inference:    60 | throughput: 516.472 | time:   0.031
 inference:    61 | throughput: 519.451 | time:   0.031
 inference:    62 | throughput: 522.244 | time:   0.031
 inference:    63 | throughput: 518.419 | time:   0.031
 inference:    64 | throughput: 522.000 | time:   0.031
 inference:    65 | throughput: 520.462 | time:   0.031
 inference:    66 | throughput: 520.244 | time:   0.031
 inference:    67 | throughput: 517.396 | time:   0.031
 inference:    68 | throughput: 525.187 | time:   0.030
 inference:    69 | throughput: 519.660 | time:   0.031
 inference:    70 | throughput: 519.302 | time:   0.031
 inference:    71 | throughput: 524.661 | time:   0.030
 inference:    72 | throughput: 521.032 | time:   0.031
 inference:    73 | throughput: 513.972 | time:   0.031
 inference:    74 | throughput: 516.699 | time:   0.031
 inference:    75 | throughput: 523.723 | time:   0.031
 inference:    76 | throughput: 517.141 | time:   0.031
 inference:    77 | throughput: 516.651 | time:   0.031
 inference:    78 | throughput: 514.911 | time:   0.031
 inference:    79 | throughput: 520.817 | time:   0.031
 inference:    80 | throughput: 516.818 | time:   0.031
 inference:    81 | throughput: 520.874 | time:   0.031
 inference:    82 | throughput: 520.777 | time:   0.031
 inference:    83 | throughput: 519.994 | time:   0.031
 inference:    84 | throughput: 518.467 | time:   0.031
 inference:    85 | throughput: 521.003 | time:   0.031
 inference:    86 | throughput: 519.837 | time:   0.031
 inference:    87 | throughput: 517.931 | time:   0.031
 inference:    88 | throughput: 522.622 | time:   0.031
 inference:    89 | throughput: 521.355 | time:   0.031
 inference:    90 | throughput: 519.455 | time:   0.031
 inference:    91 | throughput: 520.446 | time:   0.031
 inference:    92 | throughput: 521.068 | time:   0.031
 inference:    93 | throughput: 516.051 | time:   0.031
 inference:    94 | throughput: 521.335 | time:   0.031
 inference:    95 | throughput: 518.087 | time:   0.031
 inference:    96 | throughput: 522.045 | time:   0.031
 inference:    97 | throughput: 515.310 | time:   0.031
 inference:    98 | throughput: 520.894 | time:   0.031
 inference:    99 | throughput: 520.026 | time:   0.031
 inference:   100 | throughput: 520.300 | time:   0.031

Total inference throughput: 458.96354, Total inference latency: 0.03486
