Data loading...
vgg19-16 Model building...
Start inference...

 inference:     1 | throughput:  35.536 | time:   0.450
 inference:     2 | throughput: 1094.190 | time:   0.015
 inference:     3 | throughput: 842.558 | time:   0.019
 inference:     4 | throughput: 748.523 | time:   0.021
 inference:     5 | throughput: 728.288 | time:   0.022
 inference:     6 | throughput: 721.267 | time:   0.022
 inference:     7 | throughput: 726.625 | time:   0.022
 inference:     8 | throughput: 729.754 | time:   0.022
 inference:     9 | throughput: 733.470 | time:   0.022
 inference:    10 | throughput: 734.900 | time:   0.022
 inference:    11 | throughput: 735.464 | time:   0.022
 inference:    12 | throughput: 738.223 | time:   0.022
 inference:    13 | throughput: 735.440 | time:   0.022
 inference:    14 | throughput: 740.781 | time:   0.022
 inference:    15 | throughput: 738.133 | time:   0.022
 inference:    16 | throughput: 736.279 | time:   0.022
 inference:    17 | throughput: 735.891 | time:   0.022
 inference:    18 | throughput: 735.536 | time:   0.022
 inference:    19 | throughput: 740.536 | time:   0.022
 inference:    20 | throughput: 739.329 | time:   0.022
 inference:    21 | throughput: 742.840 | time:   0.022
 inference:    22 | throughput: 744.166 | time:   0.022
 inference:    23 | throughput: 738.320 | time:   0.022
 inference:    24 | throughput: 744.141 | time:   0.022
 inference:    25 | throughput: 735.238 | time:   0.022
 inference:    26 | throughput: 746.866 | time:   0.021
 inference:    27 | throughput: 740.487 | time:   0.022
 inference:    28 | throughput: 738.434 | time:   0.022
 inference:    29 | throughput: 742.576 | time:   0.022
 inference:    30 | throughput: 738.093 | time:   0.022
 inference:    31 | throughput: 744.537 | time:   0.021
 inference:    32 | throughput: 741.207 | time:   0.022
 inference:    33 | throughput: 739.899 | time:   0.022
 inference:    34 | throughput: 741.879 | time:   0.022
 inference:    35 | throughput: 741.002 | time:   0.022
 inference:    36 | throughput: 744.240 | time:   0.021
 inference:    37 | throughput: 726.373 | time:   0.022
 inference:    38 | throughput: 737.695 | time:   0.022
 inference:    39 | throughput: 738.491 | time:   0.022
 inference:    40 | throughput: 738.190 | time:   0.022
 inference:    41 | throughput: 739.426 | time:   0.022
 inference:    42 | throughput: 729.412 | time:   0.022
 inference:    43 | throughput: 732.494 | time:   0.022
 inference:    44 | throughput: 735.649 | time:   0.022
 inference:    45 | throughput: 731.416 | time:   0.022
 inference:    46 | throughput: 724.366 | time:   0.022
 inference:    47 | throughput: 724.992 | time:   0.022
 inference:    48 | throughput: 729.008 | time:   0.022
 inference:    49 | throughput: 737.395 | time:   0.022
 inference:    50 | throughput: 734.040 | time:   0.022
 inference:    51 | throughput: 734.940 | time:   0.022
 inference:    52 | throughput: 732.926 | time:   0.022
 inference:    53 | throughput: 734.096 | time:   0.022
 inference:    54 | throughput: 738.653 | time:   0.022
 inference:    55 | throughput: 738.743 | time:   0.022
 inference:    56 | throughput: 737.468 | time:   0.022
 inference:    57 | throughput: 737.071 | time:   0.022
 inference:    58 | throughput: 742.774 | time:   0.022
 inference:    59 | throughput: 740.896 | time:   0.022
 inference:    60 | throughput: 741.903 | time:   0.022
 inference:    61 | throughput: 738.377 | time:   0.022
 inference:    62 | throughput: 744.281 | time:   0.021
 inference:    63 | throughput: 741.010 | time:   0.022
 inference:    64 | throughput: 742.199 | time:   0.022
 inference:    65 | throughput: 738.580 | time:   0.022
 inference:    66 | throughput: 741.125 | time:   0.022
 inference:    67 | throughput: 739.695 | time:   0.022
 inference:    68 | throughput: 736.174 | time:   0.022
 inference:    69 | throughput: 736.287 | time:   0.022
 inference:    70 | throughput: 732.174 | time:   0.022
 inference:    71 | throughput: 721.849 | time:   0.022
 inference:    72 | throughput: 720.787 | time:   0.022
 inference:    73 | throughput: 723.125 | time:   0.022
 inference:    74 | throughput: 740.185 | time:   0.022
 inference:    75 | throughput: 738.076 | time:   0.022
 inference:    76 | throughput: 739.003 | time:   0.022
 inference:    77 | throughput: 729.952 | time:   0.022
 inference:    78 | throughput: 735.956 | time:   0.022
 inference:    79 | throughput: 737.339 | time:   0.022
 inference:    80 | throughput: 734.828 | time:   0.022
 inference:    81 | throughput: 739.549 | time:   0.022
 inference:    82 | throughput: 738.702 | time:   0.022
 inference:    83 | throughput: 742.478 | time:   0.022
 inference:    84 | throughput: 738.979 | time:   0.022
 inference:    85 | throughput: 734.723 | time:   0.022
 inference:    86 | throughput: 739.785 | time:   0.022
 inference:    87 | throughput: 729.579 | time:   0.022
 inference:    88 | throughput: 737.947 | time:   0.022
 inference:    89 | throughput: 738.466 | time:   0.022
 inference:    90 | throughput: 741.362 | time:   0.022
 inference:    91 | throughput: 742.035 | time:   0.022
 inference:    92 | throughput: 735.972 | time:   0.022
 inference:    93 | throughput: 743.473 | time:   0.022
 inference:    94 | throughput: 733.663 | time:   0.022
 inference:    95 | throughput: 725.839 | time:   0.022
 inference:    96 | throughput: 722.751 | time:   0.022
 inference:    97 | throughput: 732.030 | time:   0.022
 inference:    98 | throughput: 728.898 | time:   0.022
 inference:    99 | throughput: 740.822 | time:   0.022
 inference:   100 | throughput: 738.946 | time:   0.022

Total inference throughput: 617.44184, Total inference latency: 0.02591
