Data loading...
vgg19-16 Model building...
Start inference...

 inference:     1 | throughput:  34.865 | time:   0.459
 inference:     2 | throughput: 1425.967 | time:   0.011
 inference:     3 | throughput: 789.748 | time:   0.020
 inference:     4 | throughput: 734.297 | time:   0.022
 inference:     5 | throughput: 735.222 | time:   0.022
 inference:     6 | throughput: 725.854 | time:   0.022
 inference:     7 | throughput: 740.022 | time:   0.022
 inference:     8 | throughput: 730.301 | time:   0.022
 inference:     9 | throughput: 728.454 | time:   0.022
 inference:    10 | throughput: 743.720 | time:   0.022
 inference:    11 | throughput: 742.199 | time:   0.022
 inference:    12 | throughput: 725.156 | time:   0.022
 inference:    13 | throughput: 749.719 | time:   0.021
 inference:    14 | throughput: 743.062 | time:   0.022
 inference:    15 | throughput: 727.870 | time:   0.022
 inference:    16 | throughput: 749.736 | time:   0.021
 inference:    17 | throughput: 730.151 | time:   0.022
 inference:    18 | throughput: 736.554 | time:   0.022
 inference:    19 | throughput: 745.075 | time:   0.021
 inference:    20 | throughput: 730.580 | time:   0.022
 inference:    21 | throughput: 741.871 | time:   0.022
 inference:    22 | throughput: 724.225 | time:   0.022
 inference:    23 | throughput: 730.063 | time:   0.022
 inference:    24 | throughput: 731.886 | time:   0.022
 inference:    25 | throughput: 744.645 | time:   0.021
 inference:    26 | throughput: 726.735 | time:   0.022
 inference:    27 | throughput: 746.143 | time:   0.021
 inference:    28 | throughput: 733.879 | time:   0.022
 inference:    29 | throughput: 731.791 | time:   0.022
 inference:    30 | throughput: 744.372 | time:   0.021
 inference:    31 | throughput: 733.751 | time:   0.022
 inference:    32 | throughput: 737.590 | time:   0.022
 inference:    33 | throughput: 744.620 | time:   0.021
 inference:    34 | throughput: 739.321 | time:   0.022
 inference:    35 | throughput: 731.918 | time:   0.022
 inference:    36 | throughput: 721.740 | time:   0.022
 inference:    37 | throughput: 716.631 | time:   0.022
 inference:    38 | throughput: 725.925 | time:   0.022
 inference:    39 | throughput: 742.996 | time:   0.022
 inference:    40 | throughput: 732.190 | time:   0.022
 inference:    41 | throughput: 742.190 | time:   0.022
 inference:    42 | throughput: 731.217 | time:   0.022
 inference:    43 | throughput: 732.894 | time:   0.022
 inference:    44 | throughput: 733.430 | time:   0.022
 inference:    45 | throughput: 736.497 | time:   0.022
 inference:    46 | throughput: 731.815 | time:   0.022
 inference:    47 | throughput: 743.111 | time:   0.022
 inference:    48 | throughput: 734.458 | time:   0.022
 inference:    49 | throughput: 731.583 | time:   0.022
 inference:    50 | throughput: 717.090 | time:   0.022
 inference:    51 | throughput: 728.905 | time:   0.022
 inference:    52 | throughput: 734.281 | time:   0.022
 inference:    53 | throughput: 745.497 | time:   0.021
 inference:    54 | throughput: 720.315 | time:   0.022
 inference:    55 | throughput: 738.263 | time:   0.022
 inference:    56 | throughput: 738.938 | time:   0.022
 inference:    57 | throughput: 732.382 | time:   0.022
 inference:    58 | throughput: 739.712 | time:   0.022
 inference:    59 | throughput: 737.395 | time:   0.022
 inference:    60 | throughput: 733.566 | time:   0.022
 inference:    61 | throughput: 736.287 | time:   0.022
 inference:    62 | throughput: 734.233 | time:   0.022
 inference:    63 | throughput: 741.133 | time:   0.022
 inference:    64 | throughput: 728.028 | time:   0.022
 inference:    65 | throughput: 732.214 | time:   0.022
 inference:    66 | throughput: 739.524 | time:   0.022
 inference:    67 | throughput: 741.289 | time:   0.022
 inference:    68 | throughput: 727.491 | time:   0.022
 inference:    69 | throughput: 750.373 | time:   0.021
 inference:    70 | throughput: 740.969 | time:   0.022
 inference:    71 | throughput: 728.304 | time:   0.022
 inference:    72 | throughput: 741.092 | time:   0.022
 inference:    73 | throughput: 731.511 | time:   0.022
 inference:    74 | throughput: 736.489 | time:   0.022
 inference:    75 | throughput: 742.314 | time:   0.022
 inference:    76 | throughput: 740.120 | time:   0.022
 inference:    77 | throughput: 731.432 | time:   0.022
 inference:    78 | throughput: 743.885 | time:   0.022
 inference:    79 | throughput: 730.890 | time:   0.022
 inference:    80 | throughput: 730.612 | time:   0.022
 inference:    81 | throughput: 738.954 | time:   0.022
 inference:    82 | throughput: 728.265 | time:   0.022
 inference:    83 | throughput: 737.501 | time:   0.022
 inference:    84 | throughput: 739.215 | time:   0.022
 inference:    85 | throughput: 734.048 | time:   0.022
 inference:    86 | throughput: 740.904 | time:   0.022
 inference:    87 | throughput: 730.651 | time:   0.022
 inference:    88 | throughput: 733.855 | time:   0.022
 inference:    89 | throughput: 738.491 | time:   0.022
 inference:    90 | throughput: 737.533 | time:   0.022
 inference:    91 | throughput: 735.415 | time:   0.022
 inference:    92 | throughput: 748.741 | time:   0.021
 inference:    93 | throughput: 735.045 | time:   0.022
 inference:    94 | throughput: 729.857 | time:   0.022
 inference:    95 | throughput: 720.361 | time:   0.022
 inference:    96 | throughput: 728.739 | time:   0.022
 inference:    97 | throughput: 737.947 | time:   0.022
 inference:    98 | throughput: 743.399 | time:   0.022
 inference:    99 | throughput: 726.373 | time:   0.022
 inference:   100 | throughput: 736.837 | time:   0.022

Total inference throughput: 615.00662, Total inference latency: 0.02602
