Data loading...
vgg19-16 Model building...
Start inference...

 inference:     1 | throughput:  36.834 | time:   0.434
 inference:     2 | throughput: 1879.168 | time:   0.009
 inference:     3 | throughput: 965.762 | time:   0.017
 inference:     4 | throughput: 1001.311 | time:   0.016
 inference:     5 | throughput: 930.027 | time:   0.017
 inference:     6 | throughput: 929.010 | time:   0.017
 inference:     7 | throughput: 928.675 | time:   0.017
 inference:     8 | throughput: 925.640 | time:   0.017
 inference:     9 | throughput: 923.309 | time:   0.017
 inference:    10 | throughput: 923.957 | time:   0.017
 inference:    11 | throughput: 921.205 | time:   0.017
 inference:    12 | throughput: 931.162 | time:   0.017
 inference:    13 | throughput: 927.610 | time:   0.017
 inference:    14 | throughput: 926.150 | time:   0.017
 inference:    15 | throughput: 929.949 | time:   0.017
 inference:    16 | throughput: 925.984 | time:   0.017
 inference:    17 | throughput: 932.495 | time:   0.017
 inference:    18 | throughput: 932.521 | time:   0.017
 inference:    19 | throughput: 923.919 | time:   0.017
 inference:    20 | throughput: 928.598 | time:   0.017
 inference:    21 | throughput: 931.046 | time:   0.017
 inference:    22 | throughput: 919.274 | time:   0.017
 inference:    23 | throughput: 937.392 | time:   0.017
 inference:    24 | throughput: 932.819 | time:   0.017
 inference:    25 | throughput: 927.354 | time:   0.017
 inference:    26 | throughput: 929.692 | time:   0.017
 inference:    27 | throughput: 935.015 | time:   0.017
 inference:    28 | throughput: 931.822 | time:   0.017
 inference:    29 | throughput: 925.384 | time:   0.017
 inference:    30 | throughput: 934.664 | time:   0.017
 inference:    31 | throughput: 934.898 | time:   0.017
 inference:    32 | throughput: 928.997 | time:   0.017
 inference:    33 | throughput: 924.925 | time:   0.017
 inference:    34 | throughput: 937.406 | time:   0.017
 inference:    35 | throughput: 931.072 | time:   0.017
 inference:    36 | throughput: 925.435 | time:   0.017
 inference:    37 | throughput: 936.856 | time:   0.017
 inference:    38 | throughput: 934.573 | time:   0.017
 inference:    39 | throughput: 924.912 | time:   0.017
 inference:    40 | throughput: 934.339 | time:   0.017
 inference:    41 | throughput: 932.339 | time:   0.017
 inference:    42 | throughput: 930.052 | time:   0.017
 inference:    43 | throughput: 932.249 | time:   0.017
 inference:    44 | throughput: 927.366 | time:   0.017
 inference:    45 | throughput: 920.838 | time:   0.017
 inference:    46 | throughput: 924.505 | time:   0.017
 inference:    47 | throughput: 928.971 | time:   0.017
 inference:    48 | throughput: 928.662 | time:   0.017
 inference:    49 | throughput: 929.743 | time:   0.017
 inference:    50 | throughput: 936.137 | time:   0.017
 inference:    51 | throughput: 926.419 | time:   0.017
 inference:    52 | throughput: 925.269 | time:   0.017
 inference:    53 | throughput: 925.857 | time:   0.017
 inference:    54 | throughput: 928.855 | time:   0.017
 inference:    55 | throughput: 922.966 | time:   0.017
 inference:    56 | throughput: 928.958 | time:   0.017
 inference:    57 | throughput: 926.163 | time:   0.017
 inference:    58 | throughput: 931.783 | time:   0.017
 inference:    59 | throughput: 930.181 | time:   0.017
 inference:    60 | throughput: 929.782 | time:   0.017
 inference:    61 | throughput: 927.020 | time:   0.017
 inference:    62 | throughput: 932.158 | time:   0.017
 inference:    63 | throughput: 930.723 | time:   0.017
 inference:    64 | throughput: 922.306 | time:   0.017
 inference:    65 | throughput: 927.315 | time:   0.017
 inference:    66 | throughput: 932.936 | time:   0.017
 inference:    67 | throughput: 929.370 | time:   0.017
 inference:    68 | throughput: 926.087 | time:   0.017
 inference:    69 | throughput: 936.268 | time:   0.017
 inference:    70 | throughput: 932.029 | time:   0.017
 inference:    71 | throughput: 916.562 | time:   0.017
 inference:    72 | throughput: 939.782 | time:   0.017
 inference:    73 | throughput: 933.234 | time:   0.017
 inference:    74 | throughput: 926.956 | time:   0.017
 inference:    75 | throughput: 931.279 | time:   0.017
 inference:    76 | throughput: 934.989 | time:   0.017
 inference:    77 | throughput: 927.943 | time:   0.017
 inference:    78 | throughput: 930.027 | time:   0.017
 inference:    79 | throughput: 932.547 | time:   0.017
 inference:    80 | throughput: 932.715 | time:   0.017
 inference:    81 | throughput: 925.806 | time:   0.017
 inference:    82 | throughput: 931.460 | time:   0.017
 inference:    83 | throughput: 934.612 | time:   0.017
 inference:    84 | throughput: 927.405 | time:   0.017
 inference:    85 | throughput: 929.949 | time:   0.017
 inference:    86 | throughput: 934.078 | time:   0.017
 inference:    87 | throughput: 928.290 | time:   0.017
 inference:    88 | throughput: 930.220 | time:   0.017
 inference:    89 | throughput: 923.919 | time:   0.017
 inference:    90 | throughput: 921.407 | time:   0.017
 inference:    91 | throughput: 926.010 | time:   0.017
 inference:    92 | throughput: 933.611 | time:   0.017
 inference:    93 | throughput: 925.831 | time:   0.017
 inference:    94 | throughput: 930.865 | time:   0.017
 inference:    95 | throughput: 928.714 | time:   0.017
 inference:    96 | throughput: 926.317 | time:   0.017
 inference:    97 | throughput: 920.636 | time:   0.017
 inference:    98 | throughput: 924.900 | time:   0.017
 inference:    99 | throughput: 929.769 | time:   0.017
 inference:   100 | throughput: 925.972 | time:   0.017

Total inference throughput: 751.59524, Total inference latency: 0.02129
