Data loading...
vgg19-16 Model building...
Start inference...

 inference:     1 | throughput:  35.611 | time:   0.449
 inference:     2 | throughput: 1867.091 | time:   0.009
 inference:     3 | throughput: 1028.016 | time:   0.016
 inference:     4 | throughput: 944.464 | time:   0.017
 inference:     5 | throughput: 906.166 | time:   0.018
 inference:     6 | throughput: 905.298 | time:   0.018
 inference:     7 | throughput: 886.569 | time:   0.018
 inference:     8 | throughput: 909.766 | time:   0.018
 inference:     9 | throughput: 895.991 | time:   0.018
 inference:    10 | throughput: 901.771 | time:   0.018
 inference:    11 | throughput: 908.743 | time:   0.018
 inference:    12 | throughput: 914.489 | time:   0.017
 inference:    13 | throughput: 922.446 | time:   0.017
 inference:    14 | throughput: 919.375 | time:   0.017
 inference:    15 | throughput: 924.632 | time:   0.017
 inference:    16 | throughput: 928.110 | time:   0.017
 inference:    17 | throughput: 915.362 | time:   0.017
 inference:    18 | throughput: 900.778 | time:   0.018
 inference:    19 | throughput: 892.085 | time:   0.018
 inference:    20 | throughput: 907.171 | time:   0.018
 inference:    21 | throughput: 915.550 | time:   0.017
 inference:    22 | throughput: 909.877 | time:   0.018
 inference:    23 | throughput: 919.879 | time:   0.017
 inference:    24 | throughput: 918.683 | time:   0.017
 inference:    25 | throughput: 913.742 | time:   0.018
 inference:    26 | throughput: 920.662 | time:   0.017
 inference:    27 | throughput: 913.394 | time:   0.018
 inference:    28 | throughput: 929.241 | time:   0.017
 inference:    29 | throughput: 920.409 | time:   0.017
 inference:    30 | throughput: 904.322 | time:   0.018
 inference:    31 | throughput: 904.371 | time:   0.018
 inference:    32 | throughput: 905.873 | time:   0.018
 inference:    33 | throughput: 908.743 | time:   0.018
 inference:    34 | throughput: 914.639 | time:   0.017
 inference:    35 | throughput: 914.913 | time:   0.017
 inference:    36 | throughput: 917.728 | time:   0.017
 inference:    37 | throughput: 918.394 | time:   0.017
 inference:    38 | throughput: 917.502 | time:   0.017
 inference:    39 | throughput: 887.601 | time:   0.018
 inference:    40 | throughput: 928.997 | time:   0.017
 inference:    41 | throughput: 914.128 | time:   0.018
 inference:    42 | throughput: 906.105 | time:   0.018
 inference:    43 | throughput: 902.353 | time:   0.018
 inference:    44 | throughput: 901.177 | time:   0.018
 inference:    45 | throughput: 899.209 | time:   0.018
 inference:    46 | throughput: 918.645 | time:   0.017
 inference:    47 | throughput: 919.237 | time:   0.017
 inference:    48 | throughput: 909.914 | time:   0.018
 inference:    49 | throughput: 924.543 | time:   0.017
 inference:    50 | throughput: 917.239 | time:   0.017
 inference:    51 | throughput: 889.377 | time:   0.018
 inference:    52 | throughput: 931.279 | time:   0.017
 inference:    53 | throughput: 910.753 | time:   0.018
 inference:    54 | throughput: 906.803 | time:   0.018
 inference:    55 | throughput: 904.676 | time:   0.018
 inference:    56 | throughput: 903.531 | time:   0.018
 inference:    57 | throughput: 906.032 | time:   0.018
 inference:    58 | throughput: 914.215 | time:   0.018
 inference:    59 | throughput: 913.095 | time:   0.018
 inference:    60 | throughput: 914.103 | time:   0.018
 inference:    61 | throughput: 910.309 | time:   0.018
 inference:    62 | throughput: 921.660 | time:   0.017
 inference:    63 | throughput: 883.686 | time:   0.018
 inference:    64 | throughput: 931.175 | time:   0.017
 inference:    65 | throughput: 908.485 | time:   0.018
 inference:    66 | throughput: 911.706 | time:   0.018
 inference:    67 | throughput: 905.983 | time:   0.018
 inference:    68 | throughput: 898.078 | time:   0.018
 inference:    69 | throughput: 915.113 | time:   0.017
 inference:    70 | throughput: 914.950 | time:   0.017
 inference:    71 | throughput: 911.496 | time:   0.018
 inference:    72 | throughput: 919.602 | time:   0.017
 inference:    73 | throughput: 914.489 | time:   0.017
 inference:    74 | throughput: 923.576 | time:   0.017
 inference:    75 | throughput: 879.586 | time:   0.018
 inference:    76 | throughput: 933.792 | time:   0.017
 inference:    77 | throughput: 914.464 | time:   0.017
 inference:    78 | throughput: 907.122 | time:   0.018
 inference:    79 | throughput: 910.482 | time:   0.018
 inference:    80 | throughput: 902.413 | time:   0.018
 inference:    81 | throughput: 911.496 | time:   0.018
 inference:    82 | throughput: 907.036 | time:   0.018
 inference:    83 | throughput: 908.669 | time:   0.018
 inference:    84 | throughput: 922.890 | time:   0.017
 inference:    85 | throughput: 918.519 | time:   0.017
 inference:    86 | throughput: 910.346 | time:   0.018
 inference:    87 | throughput: 883.744 | time:   0.018
 inference:    88 | throughput: 933.312 | time:   0.017
 inference:    89 | throughput: 909.359 | time:   0.018
 inference:    90 | throughput: 909.285 | time:   0.018
 inference:    91 | throughput: 905.506 | time:   0.018
 inference:    92 | throughput: 910.840 | time:   0.018
 inference:    93 | throughput: 910.729 | time:   0.018
 inference:    94 | throughput: 914.364 | time:   0.017
 inference:    95 | throughput: 912.859 | time:   0.018
 inference:    96 | throughput: 912.934 | time:   0.018
 inference:    97 | throughput: 908.780 | time:   0.018
 inference:    98 | throughput: 913.630 | time:   0.018
 inference:    99 | throughput: 880.047 | time:   0.018
 inference:   100 | throughput: 929.203 | time:   0.017

Total inference throughput: 735.09635, Total inference latency: 0.02177
