Data loading...
vgg19-2 Model building...
Start inference...

 inference:     1 | throughput:   4.475 | time:   0.447
 inference:     2 | throughput: 318.740 | time:   0.006
 inference:     3 | throughput: 191.451 | time:   0.010
 inference:     4 | throughput: 179.685 | time:   0.011
 inference:     5 | throughput: 178.995 | time:   0.011
 inference:     6 | throughput: 173.688 | time:   0.012
 inference:     7 | throughput: 171.592 | time:   0.012
 inference:     8 | throughput: 171.936 | time:   0.012
 inference:     9 | throughput: 174.803 | time:   0.011
 inference:    10 | throughput: 172.456 | time:   0.012
 inference:    11 | throughput: 173.908 | time:   0.012
 inference:    12 | throughput: 171.951 | time:   0.012
 inference:    13 | throughput: 173.713 | time:   0.012
 inference:    14 | throughput: 172.074 | time:   0.012
 inference:    15 | throughput: 172.797 | time:   0.012
 inference:    16 | throughput: 174.320 | time:   0.011
 inference:    17 | throughput: 171.245 | time:   0.012
 inference:    18 | throughput: 173.300 | time:   0.012
 inference:    19 | throughput: 173.803 | time:   0.012
 inference:    20 | throughput: 173.785 | time:   0.012
 inference:    21 | throughput: 172.481 | time:   0.012
 inference:    22 | throughput: 170.670 | time:   0.012
 inference:    23 | throughput: 173.559 | time:   0.012
 inference:    24 | throughput: 173.426 | time:   0.012
 inference:    25 | throughput: 173.018 | time:   0.012
 inference:    26 | throughput: 169.776 | time:   0.012
 inference:    27 | throughput: 176.191 | time:   0.011
 inference:    28 | throughput: 172.085 | time:   0.012
 inference:    29 | throughput: 174.664 | time:   0.011
 inference:    30 | throughput: 172.883 | time:   0.012
 inference:    31 | throughput: 172.868 | time:   0.012
 inference:    32 | throughput: 174.218 | time:   0.011
 inference:    33 | throughput: 173.462 | time:   0.012
 inference:    34 | throughput: 173.329 | time:   0.012
 inference:    35 | throughput: 172.060 | time:   0.012
 inference:    36 | throughput: 171.168 | time:   0.012
 inference:    37 | throughput: 173.412 | time:   0.012
 inference:    38 | throughput: 173.469 | time:   0.012
 inference:    39 | throughput: 174.486 | time:   0.011
 inference:    40 | throughput: 172.102 | time:   0.012
 inference:    41 | throughput: 173.097 | time:   0.012
 inference:    42 | throughput: 172.538 | time:   0.012
 inference:    43 | throughput: 173.440 | time:   0.012
 inference:    44 | throughput: 173.508 | time:   0.012
 inference:    45 | throughput: 169.996 | time:   0.012
 inference:    46 | throughput: 175.788 | time:   0.011
 inference:    47 | throughput: 173.433 | time:   0.012
 inference:    48 | throughput: 174.034 | time:   0.011
 inference:    49 | throughput: 172.318 | time:   0.012
 inference:    50 | throughput: 172.492 | time:   0.012
 inference:    51 | throughput: 174.356 | time:   0.011
 inference:    52 | throughput: 172.979 | time:   0.012
 inference:    53 | throughput: 173.175 | time:   0.012
 inference:    54 | throughput: 171.304 | time:   0.012
 inference:    55 | throughput: 171.409 | time:   0.012
 inference:    56 | throughput: 173.875 | time:   0.012
 inference:    57 | throughput: 173.692 | time:   0.012
 inference:    58 | throughput: 174.056 | time:   0.011
 inference:    59 | throughput: 171.778 | time:   0.012
 inference:    60 | throughput: 173.886 | time:   0.012
 inference:    61 | throughput: 173.064 | time:   0.012
 inference:    62 | throughput: 172.797 | time:   0.012
 inference:    63 | throughput: 173.645 | time:   0.012
 inference:    64 | throughput: 170.372 | time:   0.012
 inference:    65 | throughput: 172.616 | time:   0.012
 inference:    66 | throughput: 174.792 | time:   0.011
 inference:    67 | throughput: 173.318 | time:   0.012
 inference:    68 | throughput: 174.668 | time:   0.011
 inference:    69 | throughput: 170.185 | time:   0.012
 inference:    70 | throughput: 174.483 | time:   0.011
 inference:    71 | throughput: 173.326 | time:   0.012
 inference:    72 | throughput: 172.559 | time:   0.012
 inference:    73 | throughput: 171.887 | time:   0.012
 inference:    74 | throughput: 173.958 | time:   0.011
 inference:    75 | throughput: 173.541 | time:   0.012
 inference:    76 | throughput: 174.128 | time:   0.011
 inference:    77 | throughput: 172.258 | time:   0.012
 inference:    78 | throughput: 172.346 | time:   0.012
 inference:    79 | throughput: 174.150 | time:   0.011
 inference:    80 | throughput: 173.333 | time:   0.012
 inference:    81 | throughput: 173.186 | time:   0.012
 inference:    82 | throughput: 170.649 | time:   0.012
 inference:    83 | throughput: 174.352 | time:   0.011
 inference:    84 | throughput: 173.429 | time:   0.012
 inference:    85 | throughput: 174.070 | time:   0.011
 inference:    86 | throughput: 173.627 | time:   0.012
 inference:    87 | throughput: 171.280 | time:   0.012
 inference:    88 | throughput: 174.476 | time:   0.011
 inference:    89 | throughput: 173.351 | time:   0.012
 inference:    90 | throughput: 173.072 | time:   0.012
 inference:    91 | throughput: 172.371 | time:   0.012
 inference:    92 | throughput: 170.324 | time:   0.012
 inference:    93 | throughput: 173.569 | time:   0.012
 inference:    94 | throughput: 173.476 | time:   0.012
 inference:    95 | throughput: 173.980 | time:   0.011
 inference:    96 | throughput: 171.690 | time:   0.012
 inference:    97 | throughput: 174.523 | time:   0.011
 inference:    98 | throughput: 172.712 | time:   0.012
 inference:    99 | throughput: 173.857 | time:   0.012
 inference:   100 | throughput: 172.332 | time:   0.012

Total inference throughput: 126.25747, Total inference latency: 0.01584
