Data loading...
vgg19-2 Model building...
Start inference...

 inference:     1 | throughput:   4.289 | time:   0.466
 inference:     2 | throughput: 309.087 | time:   0.006
 inference:     3 | throughput: 179.658 | time:   0.011
 inference:     4 | throughput: 169.139 | time:   0.012
 inference:     5 | throughput: 167.114 | time:   0.012
 inference:     6 | throughput: 160.554 | time:   0.012
 inference:     7 | throughput: 162.759 | time:   0.012
 inference:     8 | throughput: 163.543 | time:   0.012
 inference:     9 | throughput: 164.363 | time:   0.012
 inference:    10 | throughput: 160.419 | time:   0.012
 inference:    11 | throughput: 160.951 | time:   0.012
 inference:    12 | throughput: 162.882 | time:   0.012
 inference:    13 | throughput: 162.535 | time:   0.012
 inference:    14 | throughput: 162.655 | time:   0.012
 inference:    15 | throughput: 163.987 | time:   0.012
 inference:    16 | throughput: 160.440 | time:   0.012
 inference:    17 | throughput: 161.025 | time:   0.012
 inference:    18 | throughput: 163.952 | time:   0.012
 inference:    19 | throughput: 163.241 | time:   0.012
 inference:    20 | throughput: 163.524 | time:   0.012
 inference:    21 | throughput: 162.102 | time:   0.012
 inference:    22 | throughput: 160.201 | time:   0.012
 inference:    23 | throughput: 163.779 | time:   0.012
 inference:    24 | throughput: 162.718 | time:   0.012
 inference:    25 | throughput: 161.849 | time:   0.012
 inference:    26 | throughput: 164.896 | time:   0.012
 inference:    27 | throughput: 160.428 | time:   0.012
 inference:    28 | throughput: 160.226 | time:   0.012
 inference:    29 | throughput: 163.760 | time:   0.012
 inference:    30 | throughput: 163.123 | time:   0.012
 inference:    31 | throughput: 163.971 | time:   0.012
 inference:    32 | throughput: 161.543 | time:   0.012
 inference:    33 | throughput: 158.975 | time:   0.013
 inference:    34 | throughput: 163.416 | time:   0.012
 inference:    35 | throughput: 163.629 | time:   0.012
 inference:    36 | throughput: 163.565 | time:   0.012
 inference:    37 | throughput: 162.838 | time:   0.012
 inference:    38 | throughput: 161.552 | time:   0.012
 inference:    39 | throughput: 161.939 | time:   0.012
 inference:    40 | throughput: 163.390 | time:   0.012
 inference:    41 | throughput: 163.444 | time:   0.012
 inference:    42 | throughput: 164.502 | time:   0.012
 inference:    43 | throughput: 161.849 | time:   0.012
 inference:    44 | throughput: 160.723 | time:   0.012
 inference:    45 | throughput: 163.517 | time:   0.012
 inference:    46 | throughput: 161.877 | time:   0.012
 inference:    47 | throughput: 164.913 | time:   0.012
 inference:    48 | throughput: 163.734 | time:   0.012
 inference:    49 | throughput: 161.889 | time:   0.012
 inference:    50 | throughput: 162.299 | time:   0.012
 inference:    51 | throughput: 164.325 | time:   0.012
 inference:    52 | throughput: 164.424 | time:   0.012
 inference:    53 | throughput: 164.286 | time:   0.012
 inference:    54 | throughput: 161.833 | time:   0.012
 inference:    55 | throughput: 162.221 | time:   0.012
 inference:    56 | throughput: 162.800 | time:   0.012
 inference:    57 | throughput: 161.742 | time:   0.012
 inference:    58 | throughput: 164.231 | time:   0.012
 inference:    59 | throughput: 162.165 | time:   0.012
 inference:    60 | throughput: 160.088 | time:   0.012
 inference:    61 | throughput: 162.826 | time:   0.012
 inference:    62 | throughput: 162.183 | time:   0.012
 inference:    63 | throughput: 164.618 | time:   0.012
 inference:    64 | throughput: 163.345 | time:   0.012
 inference:    65 | throughput: 160.508 | time:   0.012
 inference:    66 | throughput: 161.350 | time:   0.012
 inference:    67 | throughput: 163.655 | time:   0.012
 inference:    68 | throughput: 163.168 | time:   0.012
 inference:    69 | throughput: 163.581 | time:   0.012
 inference:    70 | throughput: 160.073 | time:   0.012
 inference:    71 | throughput: 160.097 | time:   0.012
 inference:    72 | throughput: 162.750 | time:   0.012
 inference:    73 | throughput: 163.798 | time:   0.012
 inference:    74 | throughput: 162.416 | time:   0.012
 inference:    75 | throughput: 165.107 | time:   0.012
 inference:    76 | throughput: 160.843 | time:   0.012
 inference:    77 | throughput: 161.391 | time:   0.012
 inference:    78 | throughput: 163.088 | time:   0.012
 inference:    79 | throughput: 162.664 | time:   0.012
 inference:    80 | throughput: 164.760 | time:   0.012
 inference:    81 | throughput: 163.222 | time:   0.012
 inference:    82 | throughput: 159.044 | time:   0.013
 inference:    83 | throughput: 164.161 | time:   0.012
 inference:    84 | throughput: 162.136 | time:   0.012
 inference:    85 | throughput: 163.457 | time:   0.012
 inference:    86 | throughput: 163.187 | time:   0.012
 inference:    87 | throughput: 161.742 | time:   0.012
 inference:    88 | throughput: 162.230 | time:   0.012
 inference:    89 | throughput: 162.990 | time:   0.012
 inference:    90 | throughput: 162.171 | time:   0.012
 inference:    91 | throughput: 164.254 | time:   0.012
 inference:    92 | throughput: 161.898 | time:   0.012
 inference:    93 | throughput: 161.152 | time:   0.012
 inference:    94 | throughput: 163.923 | time:   0.012
 inference:    95 | throughput: 162.397 | time:   0.012
 inference:    96 | throughput: 164.354 | time:   0.012
 inference:    97 | throughput: 162.772 | time:   0.012
 inference:    98 | throughput: 160.933 | time:   0.012
 inference:    99 | throughput: 161.276 | time:   0.012
 inference:   100 | throughput: 164.650 | time:   0.012

Total inference throughput: 119.30343, Total inference latency: 0.01676
