Data loading...
vgg19-2 Model building...
Start inference...

 inference:     1 | throughput:   4.713 | time:   0.424
 inference:     2 | throughput: 435.387 | time:   0.005
 inference:     3 | throughput: 533.389 | time:   0.004
 inference:     4 | throughput: 451.680 | time:   0.004
 inference:     5 | throughput: 587.479 | time:   0.003
 inference:     6 | throughput: 469.030 | time:   0.004
 inference:     7 | throughput: 550.037 | time:   0.004
 inference:     8 | throughput: 472.971 | time:   0.004
 inference:     9 | throughput: 472.411 | time:   0.004
 inference:    10 | throughput: 478.283 | time:   0.004
 inference:    11 | throughput: 471.906 | time:   0.004
 inference:    12 | throughput: 462.080 | time:   0.004
 inference:    13 | throughput: 484.975 | time:   0.004
 inference:    14 | throughput: 458.294 | time:   0.004
 inference:    15 | throughput: 475.087 | time:   0.004
 inference:    16 | throughput: 467.462 | time:   0.004
 inference:    17 | throughput: 469.004 | time:   0.004
 inference:    18 | throughput: 466.682 | time:   0.004
 inference:    19 | throughput: 476.382 | time:   0.004
 inference:    20 | throughput: 467.176 | time:   0.004
 inference:    21 | throughput: 476.869 | time:   0.004
 inference:    22 | throughput: 472.039 | time:   0.004
 inference:    23 | throughput: 468.847 | time:   0.004
 inference:    24 | throughput: 470.583 | time:   0.004
 inference:    25 | throughput: 471.694 | time:   0.004
 inference:    26 | throughput: 472.225 | time:   0.004
 inference:    27 | throughput: 471.403 | time:   0.004
 inference:    28 | throughput: 468.402 | time:   0.004
 inference:    29 | throughput: 476.057 | time:   0.004
 inference:    30 | throughput: 464.254 | time:   0.004
 inference:    31 | throughput: 472.971 | time:   0.004
 inference:    32 | throughput: 461.750 | time:   0.004
 inference:    33 | throughput: 473.051 | time:   0.004
 inference:    34 | throughput: 465.129 | time:   0.004
 inference:    35 | throughput: 465.878 | time:   0.004
 inference:    36 | throughput: 469.687 | time:   0.004
 inference:    37 | throughput: 461.547 | time:   0.004
 inference:    38 | throughput: 469.345 | time:   0.004
 inference:    39 | throughput: 471.376 | time:   0.004
 inference:    40 | throughput: 478.474 | time:   0.004
 inference:    41 | throughput: 467.202 | time:   0.004
 inference:    42 | throughput: 478.120 | time:   0.004
 inference:    43 | throughput: 470.636 | time:   0.004
 inference:    44 | throughput: 470.609 | time:   0.004
 inference:    45 | throughput: 471.880 | time:   0.004
 inference:    46 | throughput: 466.786 | time:   0.004
 inference:    47 | throughput: 458.344 | time:   0.004
 inference:    48 | throughput: 471.880 | time:   0.004
 inference:    49 | throughput: 469.766 | time:   0.004
 inference:    50 | throughput: 463.485 | time:   0.004
 inference:    51 | throughput: 474.818 | time:   0.004
 inference:    52 | throughput: 464.897 | time:   0.004
 inference:    53 | throughput: 473.826 | time:   0.004
 inference:    54 | throughput: 465.233 | time:   0.004
 inference:    55 | throughput: 481.633 | time:   0.004
 inference:    56 | throughput: 463.613 | time:   0.004
 inference:    57 | throughput: 480.365 | time:   0.004
 inference:    58 | throughput: 467.280 | time:   0.004
 inference:    59 | throughput: 473.719 | time:   0.004
 inference:    60 | throughput: 471.191 | time:   0.004
 inference:    61 | throughput: 469.450 | time:   0.004
 inference:    62 | throughput: 468.454 | time:   0.004
 inference:    63 | throughput: 469.661 | time:   0.004
 inference:    64 | throughput: 467.020 | time:   0.004
 inference:    65 | throughput: 467.540 | time:   0.004
 inference:    66 | throughput: 473.104 | time:   0.004
 inference:    67 | throughput: 466.034 | time:   0.004
 inference:    68 | throughput: 474.818 | time:   0.004
 inference:    69 | throughput: 468.245 | time:   0.004
 inference:    70 | throughput: 473.719 | time:   0.004
 inference:    71 | throughput: 461.877 | time:   0.004
 inference:    72 | throughput: 482.575 | time:   0.004
 inference:    73 | throughput: 461.521 | time:   0.004
 inference:    74 | throughput: 480.998 | time:   0.004
 inference:    75 | throughput: 462.284 | time:   0.004
 inference:    76 | throughput: 475.356 | time:   0.004
 inference:    77 | throughput: 470.029 | time:   0.004
 inference:    78 | throughput: 468.847 | time:   0.004
 inference:    79 | throughput: 469.240 | time:   0.004
 inference:    80 | throughput: 472.252 | time:   0.004
 inference:    81 | throughput: 473.906 | time:   0.004
 inference:    82 | throughput: 471.641 | time:   0.004
 inference:    83 | throughput: 474.174 | time:   0.004
 inference:    84 | throughput: 468.716 | time:   0.004
 inference:    85 | throughput: 469.135 | time:   0.004
 inference:    86 | throughput: 468.821 | time:   0.004
 inference:    87 | throughput: 474.469 | time:   0.004
 inference:    88 | throughput: 460.508 | time:   0.004
 inference:    89 | throughput: 480.035 | time:   0.004
 inference:    90 | throughput: 457.644 | time:   0.004
 inference:    91 | throughput: 479.925 | time:   0.004
 inference:    92 | throughput: 463.895 | time:   0.004
 inference:    93 | throughput: 475.087 | time:   0.004
 inference:    94 | throughput: 470.161 | time:   0.004
 inference:    95 | throughput: 471.297 | time:   0.004
 inference:    96 | throughput: 473.745 | time:   0.004
 inference:    97 | throughput: 471.827 | time:   0.004
 inference:    98 | throughput: 472.571 | time:   0.004
 inference:    99 | throughput: 470.768 | time:   0.004
 inference:   100 | throughput: 468.664 | time:   0.004

Total inference throughput: 237.00851, Total inference latency: 0.00844
