Data loading...
vgg19-2 Model building...
Start inference...

 inference:     1 | throughput:   4.775 | time:   0.419
 inference:     2 | throughput: 529.216 | time:   0.004
 inference:     3 | throughput: 470.293 | time:   0.004
 inference:     4 | throughput: 514.765 | time:   0.004
 inference:     5 | throughput: 482.714 | time:   0.004
 inference:     6 | throughput: 473.398 | time:   0.004
 inference:     7 | throughput: 529.584 | time:   0.004
 inference:     8 | throughput: 463.459 | time:   0.004
 inference:     9 | throughput: 497.309 | time:   0.004
 inference:    10 | throughput: 464.074 | time:   0.004
 inference:    11 | throughput: 472.092 | time:   0.004
 inference:    12 | throughput: 467.618 | time:   0.004
 inference:    13 | throughput: 463.587 | time:   0.004
 inference:    14 | throughput: 465.620 | time:   0.004
 inference:    15 | throughput: 476.788 | time:   0.004
 inference:    16 | throughput: 455.581 | time:   0.004
 inference:    17 | throughput: 471.588 | time:   0.004
 inference:    18 | throughput: 460.028 | time:   0.004
 inference:    19 | throughput: 460.685 | time:   0.004
 inference:    20 | throughput: 459.046 | time:   0.004
 inference:    21 | throughput: 461.470 | time:   0.004
 inference:    22 | throughput: 470.530 | time:   0.004
 inference:    23 | throughput: 463.766 | time:   0.004
 inference:    24 | throughput: 454.347 | time:   0.004
 inference:    25 | throughput: 463.818 | time:   0.004
 inference:    26 | throughput: 461.750 | time:   0.004
 inference:    27 | throughput: 462.157 | time:   0.004
 inference:    28 | throughput: 462.259 | time:   0.004
 inference:    29 | throughput: 468.140 | time:   0.004
 inference:    30 | throughput: 457.494 | time:   0.004
 inference:    31 | throughput: 459.826 | time:   0.004
 inference:    32 | throughput: 457.943 | time:   0.004
 inference:    33 | throughput: 461.267 | time:   0.004
 inference:    34 | throughput: 463.638 | time:   0.004
 inference:    35 | throughput: 464.306 | time:   0.004
 inference:    36 | throughput: 459.448 | time:   0.004
 inference:    37 | throughput: 467.905 | time:   0.004
 inference:    38 | throughput: 462.463 | time:   0.004
 inference:    39 | throughput: 459.297 | time:   0.004
 inference:    40 | throughput: 464.640 | time:   0.004
 inference:    41 | throughput: 463.485 | time:   0.004
 inference:    42 | throughput: 458.269 | time:   0.004
 inference:    43 | throughput: 459.801 | time:   0.004
 inference:    44 | throughput: 462.999 | time:   0.004
 inference:    45 | throughput: 461.521 | time:   0.004
 inference:    46 | throughput: 464.563 | time:   0.004
 inference:    47 | throughput: 463.536 | time:   0.004
 inference:    48 | throughput: 449.237 | time:   0.004
 inference:    49 | throughput: 471.058 | time:   0.004
 inference:    50 | throughput: 464.614 | time:   0.004
 inference:    51 | throughput: 458.946 | time:   0.004
 inference:    52 | throughput: 468.036 | time:   0.004
 inference:    53 | throughput: 458.144 | time:   0.004
 inference:    54 | throughput: 463.459 | time:   0.004
 inference:    55 | throughput: 456.101 | time:   0.004
 inference:    56 | throughput: 465.827 | time:   0.004
 inference:    57 | throughput: 463.792 | time:   0.004
 inference:    58 | throughput: 461.928 | time:   0.004
 inference:    59 | throughput: 463.433 | time:   0.004
 inference:    60 | throughput: 460.710 | time:   0.004
 inference:    61 | throughput: 467.931 | time:   0.004
 inference:    62 | throughput: 462.437 | time:   0.004
 inference:    63 | throughput: 459.826 | time:   0.004
 inference:    64 | throughput: 466.371 | time:   0.004
 inference:    65 | throughput: 460.432 | time:   0.004
 inference:    66 | throughput: 455.086 | time:   0.004
 inference:    67 | throughput: 467.671 | time:   0.004
 inference:    68 | throughput: 461.039 | time:   0.004
 inference:    69 | throughput: 464.691 | time:   0.004
 inference:    70 | throughput: 462.386 | time:   0.004
 inference:    71 | throughput: 462.743 | time:   0.004
 inference:    72 | throughput: 463.331 | time:   0.004
 inference:    73 | throughput: 460.205 | time:   0.004
 inference:    74 | throughput: 463.357 | time:   0.004
 inference:    75 | throughput: 457.544 | time:   0.004
 inference:    76 | throughput: 464.049 | time:   0.004
 inference:    77 | throughput: 460.584 | time:   0.004
 inference:    78 | throughput: 459.348 | time:   0.004
 inference:    79 | throughput: 460.710 | time:   0.004
 inference:    80 | throughput: 462.208 | time:   0.004
 inference:    81 | throughput: 464.408 | time:   0.004
 inference:    82 | throughput: 463.920 | time:   0.004
 inference:    83 | throughput: 460.003 | time:   0.004
 inference:    84 | throughput: 463.766 | time:   0.004
 inference:    85 | throughput: 459.549 | time:   0.004
 inference:    86 | throughput: 464.666 | time:   0.004
 inference:    87 | throughput: 457.594 | time:   0.004
 inference:    88 | throughput: 462.233 | time:   0.004
 inference:    89 | throughput: 453.120 | time:   0.004
 inference:    90 | throughput: 468.140 | time:   0.004
 inference:    91 | throughput: 460.837 | time:   0.004
 inference:    92 | throughput: 463.946 | time:   0.004
 inference:    93 | throughput: 463.254 | time:   0.004
 inference:    94 | throughput: 462.131 | time:   0.004
 inference:    95 | throughput: 462.590 | time:   0.004
 inference:    96 | throughput: 462.794 | time:   0.004
 inference:    97 | throughput: 463.126 | time:   0.004
 inference:    98 | throughput: 458.946 | time:   0.004
 inference:    99 | throughput: 463.229 | time:   0.004
 inference:   100 | throughput: 458.845 | time:   0.004

Total inference throughput: 236.73822, Total inference latency: 0.00845
