Data loading...
vgg19-4 Model building...
Start inference...

 inference:     1 | throughput:   9.332 | time:   0.429
 inference:     2 | throughput: 357.845 | time:   0.011
 inference:     3 | throughput: 239.043 | time:   0.017
 inference:     4 | throughput: 218.898 | time:   0.018
 inference:     5 | throughput: 220.075 | time:   0.018
 inference:     6 | throughput: 218.110 | time:   0.018
 inference:     7 | throughput: 217.994 | time:   0.018
 inference:     8 | throughput: 217.725 | time:   0.018
 inference:     9 | throughput: 218.212 | time:   0.018
 inference:    10 | throughput: 217.319 | time:   0.018
 inference:    11 | throughput: 218.927 | time:   0.018
 inference:    12 | throughput: 217.474 | time:   0.018
 inference:    13 | throughput: 218.308 | time:   0.018
 inference:    14 | throughput: 217.375 | time:   0.018
 inference:    15 | throughput: 218.130 | time:   0.018
 inference:    16 | throughput: 217.395 | time:   0.018
 inference:    17 | throughput: 217.021 | time:   0.018
 inference:    18 | throughput: 218.678 | time:   0.018
 inference:    19 | throughput: 218.317 | time:   0.018
 inference:    20 | throughput: 217.305 | time:   0.018
 inference:    21 | throughput: 219.138 | time:   0.018
 inference:    22 | throughput: 217.623 | time:   0.018
 inference:    23 | throughput: 218.093 | time:   0.018
 inference:    24 | throughput: 217.620 | time:   0.018
 inference:    25 | throughput: 217.702 | time:   0.018
 inference:    26 | throughput: 218.684 | time:   0.018
 inference:    27 | throughput: 216.511 | time:   0.018
 inference:    28 | throughput: 219.402 | time:   0.018
 inference:    29 | throughput: 217.381 | time:   0.018
 inference:    30 | throughput: 218.062 | time:   0.018
 inference:    31 | throughput: 218.342 | time:   0.018
 inference:    32 | throughput: 216.908 | time:   0.018
 inference:    33 | throughput: 218.596 | time:   0.018
 inference:    34 | throughput: 218.271 | time:   0.018
 inference:    35 | throughput: 217.702 | time:   0.018
 inference:    36 | throughput: 218.712 | time:   0.018
 inference:    37 | throughput: 217.581 | time:   0.018
 inference:    38 | throughput: 218.502 | time:   0.018
 inference:    39 | throughput: 217.355 | time:   0.018
 inference:    40 | throughput: 218.044 | time:   0.018
 inference:    41 | throughput: 218.861 | time:   0.018
 inference:    42 | throughput: 216.864 | time:   0.018
 inference:    43 | throughput: 219.451 | time:   0.018
 inference:    44 | throughput: 217.265 | time:   0.018
 inference:    45 | throughput: 218.989 | time:   0.018
 inference:    46 | throughput: 216.869 | time:   0.018
 inference:    47 | throughput: 218.090 | time:   0.018
 inference:    48 | throughput: 217.880 | time:   0.018
 inference:    49 | throughput: 217.977 | time:   0.018
 inference:    50 | throughput: 217.897 | time:   0.018
 inference:    51 | throughput: 218.093 | time:   0.018
 inference:    52 | throughput: 216.659 | time:   0.018
 inference:    53 | throughput: 219.583 | time:   0.018
 inference:    54 | throughput: 216.651 | time:   0.018
 inference:    55 | throughput: 219.554 | time:   0.018
 inference:    56 | throughput: 217.600 | time:   0.018
 inference:    57 | throughput: 217.739 | time:   0.018
 inference:    58 | throughput: 218.869 | time:   0.018
 inference:    59 | throughput: 217.141 | time:   0.018
 inference:    60 | throughput: 218.655 | time:   0.018
 inference:    61 | throughput: 217.248 | time:   0.018
 inference:    62 | throughput: 218.510 | time:   0.018
 inference:    63 | throughput: 218.306 | time:   0.018
 inference:    64 | throughput: 216.533 | time:   0.018
 inference:    65 | throughput: 218.473 | time:   0.018
 inference:    66 | throughput: 218.522 | time:   0.018
 inference:    67 | throughput: 216.193 | time:   0.019
 inference:    68 | throughput: 219.347 | time:   0.018
 inference:    69 | throughput: 217.271 | time:   0.018
 inference:    70 | throughput: 218.827 | time:   0.018
 inference:    71 | throughput: 217.150 | time:   0.018
 inference:    72 | throughput: 218.422 | time:   0.018
 inference:    73 | throughput: 218.141 | time:   0.018
 inference:    74 | throughput: 217.063 | time:   0.018
 inference:    75 | throughput: 218.847 | time:   0.018
 inference:    76 | throughput: 216.852 | time:   0.018
 inference:    77 | throughput: 218.938 | time:   0.018
 inference:    78 | throughput: 215.979 | time:   0.019
 inference:    79 | throughput: 219.227 | time:   0.018
 inference:    80 | throughput: 218.175 | time:   0.018
 inference:    81 | throughput: 217.948 | time:   0.018
 inference:    82 | throughput: 218.042 | time:   0.018
 inference:    83 | throughput: 218.365 | time:   0.018
 inference:    84 | throughput: 216.765 | time:   0.018
 inference:    85 | throughput: 219.894 | time:   0.018
 inference:    86 | throughput: 216.642 | time:   0.018
 inference:    87 | throughput: 218.482 | time:   0.018
 inference:    88 | throughput: 218.113 | time:   0.018
 inference:    89 | throughput: 217.496 | time:   0.018
 inference:    90 | throughput: 218.260 | time:   0.018
 inference:    91 | throughput: 217.923 | time:   0.018
 inference:    92 | throughput: 218.431 | time:   0.018
 inference:    93 | throughput: 217.685 | time:   0.018
 inference:    94 | throughput: 218.096 | time:   0.018
 inference:    95 | throughput: 218.113 | time:   0.018
 inference:    96 | throughput: 217.553 | time:   0.018
 inference:    97 | throughput: 218.215 | time:   0.018
 inference:    98 | throughput: 218.124 | time:   0.018
 inference:    99 | throughput: 217.274 | time:   0.018
 inference:   100 | throughput: 218.707 | time:   0.018

Total inference throughput: 178.86259, Total inference latency: 0.02236
