Data loading...
vgg19-4 Model building...
Start inference...

 inference:     1 | throughput: 679.020 | time:   0.006
 inference:     2 | throughput: 230.023 | time:   0.017
 inference:     3 | throughput: 207.190 | time:   0.019
 inference:     4 | throughput: 215.507 | time:   0.019
 inference:     5 | throughput: 195.730 | time:   0.020
 inference:     6 | throughput: 192.018 | time:   0.021
 inference:     7 | throughput: 193.536 | time:   0.021
 inference:     8 | throughput: 194.785 | time:   0.021
 inference:     9 | throughput: 196.754 | time:   0.020
 inference:    10 | throughput: 196.930 | time:   0.020
 inference:    11 | throughput: 204.743 | time:   0.020
 inference:    12 | throughput: 218.022 | time:   0.018
 inference:    13 | throughput: 197.006 | time:   0.020
 inference:    14 | throughput: 191.418 | time:   0.021
 inference:    15 | throughput: 193.246 | time:   0.021
 inference:    16 | throughput: 193.714 | time:   0.021
 inference:    17 | throughput: 198.378 | time:   0.020
 inference:    18 | throughput: 197.034 | time:   0.020
 inference:    19 | throughput: 200.315 | time:   0.020
 inference:    20 | throughput: 217.198 | time:   0.018
 inference:    21 | throughput: 196.229 | time:   0.020
 inference:    22 | throughput: 188.982 | time:   0.021
 inference:    23 | throughput: 194.774 | time:   0.021
 inference:    24 | throughput: 195.897 | time:   0.020
 inference:    25 | throughput: 195.961 | time:   0.020
 inference:    26 | throughput: 197.947 | time:   0.020
 inference:    27 | throughput: 198.832 | time:   0.020
 inference:    28 | throughput: 218.297 | time:   0.018
 inference:    29 | throughput: 197.166 | time:   0.020
 inference:    30 | throughput: 192.549 | time:   0.021
 inference:    31 | throughput: 192.618 | time:   0.021
 inference:    32 | throughput: 195.300 | time:   0.020
 inference:    33 | throughput: 198.265 | time:   0.020
 inference:    34 | throughput: 195.945 | time:   0.020
 inference:    35 | throughput: 194.961 | time:   0.021
 inference:    36 | throughput: 217.285 | time:   0.018
 inference:    37 | throughput: 200.636 | time:   0.020
 inference:    38 | throughput: 190.453 | time:   0.021
 inference:    39 | throughput: 193.591 | time:   0.021
 inference:    40 | throughput: 196.641 | time:   0.020
 inference:    41 | throughput: 197.068 | time:   0.020
 inference:    42 | throughput: 196.321 | time:   0.020
 inference:    43 | throughput: 196.636 | time:   0.020
 inference:    44 | throughput: 216.878 | time:   0.018
 inference:    45 | throughput: 203.006 | time:   0.020
 inference:    46 | throughput: 192.726 | time:   0.021
 inference:    47 | throughput: 188.064 | time:   0.021
 inference:    48 | throughput: 197.233 | time:   0.020
 inference:    49 | throughput: 195.154 | time:   0.020
 inference:    50 | throughput: 197.333 | time:   0.020
 inference:    51 | throughput: 195.170 | time:   0.020
 inference:    52 | throughput: 217.026 | time:   0.018
 inference:    53 | throughput: 202.462 | time:   0.020
 inference:    54 | throughput: 190.033 | time:   0.021
 inference:    55 | throughput: 190.646 | time:   0.021
 inference:    56 | throughput: 197.295 | time:   0.020
 inference:    57 | throughput: 195.758 | time:   0.020
 inference:    58 | throughput: 197.444 | time:   0.020
 inference:    59 | throughput: 193.446 | time:   0.021
 inference:    60 | throughput: 217.688 | time:   0.018
 inference:    61 | throughput: 203.304 | time:   0.020
 inference:    62 | throughput: 193.235 | time:   0.021
 inference:    63 | throughput: 192.287 | time:   0.021
 inference:    64 | throughput: 194.140 | time:   0.021
 inference:    65 | throughput: 194.918 | time:   0.021
 inference:    66 | throughput: 199.091 | time:   0.020
 inference:    67 | throughput: 197.875 | time:   0.020
 inference:    68 | throughput: 214.499 | time:   0.019
 inference:    69 | throughput: 207.218 | time:   0.019
 inference:    70 | throughput: 193.871 | time:   0.021
 inference:    71 | throughput: 191.411 | time:   0.021
 inference:    72 | throughput: 193.981 | time:   0.021
 inference:    73 | throughput: 195.213 | time:   0.020
 inference:    74 | throughput: 197.147 | time:   0.020
 inference:    75 | throughput: 194.889 | time:   0.021
 inference:    76 | throughput: 212.311 | time:   0.019
 inference:    77 | throughput: 207.019 | time:   0.019
 inference:    78 | throughput: 191.082 | time:   0.021
 inference:    79 | throughput: 190.750 | time:   0.021
 inference:    80 | throughput: 193.337 | time:   0.021
 inference:    81 | throughput: 196.630 | time:   0.020
 inference:    82 | throughput: 198.017 | time:   0.020
 inference:    83 | throughput: 196.126 | time:   0.020
 inference:    84 | throughput: 212.096 | time:   0.019
 inference:    85 | throughput: 210.436 | time:   0.019
 inference:    86 | throughput: 192.899 | time:   0.021
 inference:    87 | throughput: 189.143 | time:   0.021
 inference:    88 | throughput: 197.377 | time:   0.020
 inference:    89 | throughput: 194.352 | time:   0.021
 inference:    90 | throughput: 197.407 | time:   0.020
 inference:    91 | throughput: 195.082 | time:   0.021
 inference:    92 | throughput: 209.435 | time:   0.019
 inference:    93 | throughput: 210.436 | time:   0.019
 inference:    94 | throughput: 194.808 | time:   0.021
 inference:    95 | throughput: 192.223 | time:   0.021
 inference:    96 | throughput: 195.543 | time:   0.020
 inference:    97 | throughput: 196.696 | time:   0.020
 inference:    98 | throughput: 196.452 | time:   0.020
 inference:    99 | throughput: 196.814 | time:   0.020
 inference:   100 | throughput: 207.323 | time:   0.019

Total inference throughput: 200.08665, Total inference latency: 0.01999
