Data loading...
vgg19-4 Model building...
Start inference...

 inference:     1 | throughput: 1080.101 | time:   0.004
 inference:     2 | throughput: 934.352 | time:   0.004
 inference:     3 | throughput: 672.757 | time:   0.006
 inference:     4 | throughput: 649.524 | time:   0.006
 inference:     5 | throughput: 695.515 | time:   0.006
 inference:     6 | throughput: 654.900 | time:   0.006
 inference:     7 | throughput: 672.946 | time:   0.006
 inference:     8 | throughput: 673.594 | time:   0.006
 inference:     9 | throughput: 669.108 | time:   0.006
 inference:    10 | throughput: 667.989 | time:   0.006
 inference:    11 | throughput: 674.054 | time:   0.006
 inference:    12 | throughput: 667.883 | time:   0.006
 inference:    13 | throughput: 663.551 | time:   0.006
 inference:    14 | throughput: 671.384 | time:   0.006
 inference:    15 | throughput: 670.793 | time:   0.006
 inference:    16 | throughput: 662.398 | time:   0.006
 inference:    17 | throughput: 674.217 | time:   0.006
 inference:    18 | throughput: 667.564 | time:   0.006
 inference:    19 | throughput: 667.325 | time:   0.006
 inference:    20 | throughput: 665.208 | time:   0.006
 inference:    21 | throughput: 675.983 | time:   0.006
 inference:    22 | throughput: 656.694 | time:   0.006
 inference:    23 | throughput: 676.282 | time:   0.006
 inference:    24 | throughput: 668.841 | time:   0.006
 inference:    25 | throughput: 665.683 | time:   0.006
 inference:    26 | throughput: 667.590 | time:   0.006
 inference:    27 | throughput: 679.267 | time:   0.006
 inference:    28 | throughput: 668.069 | time:   0.006
 inference:    29 | throughput: 671.089 | time:   0.006
 inference:    30 | throughput: 664.786 | time:   0.006
 inference:    31 | throughput: 676.992 | time:   0.006
 inference:    32 | throughput: 661.067 | time:   0.006
 inference:    33 | throughput: 676.746 | time:   0.006
 inference:    34 | throughput: 665.340 | time:   0.006
 inference:    35 | throughput: 663.341 | time:   0.006
 inference:    36 | throughput: 670.365 | time:   0.006
 inference:    37 | throughput: 674.786 | time:   0.006
 inference:    38 | throughput: 660.130 | time:   0.006
 inference:    39 | throughput: 672.730 | time:   0.006
 inference:    40 | throughput: 666.318 | time:   0.006
 inference:    41 | throughput: 664.602 | time:   0.006
 inference:    42 | throughput: 670.767 | time:   0.006
 inference:    43 | throughput: 677.347 | time:   0.006
 inference:    44 | throughput: 661.171 | time:   0.006
 inference:    45 | throughput: 675.874 | time:   0.006
 inference:    46 | throughput: 664.392 | time:   0.006
 inference:    47 | throughput: 676.637 | time:   0.006
 inference:    48 | throughput: 662.529 | time:   0.006
 inference:    49 | throughput: 672.811 | time:   0.006
 inference:    50 | throughput: 665.657 | time:   0.006
 inference:    51 | throughput: 663.183 | time:   0.006
 inference:    52 | throughput: 668.548 | time:   0.006
 inference:    53 | throughput: 677.895 | time:   0.006
 inference:    54 | throughput: 664.023 | time:   0.006
 inference:    55 | throughput: 669.081 | time:   0.006
 inference:    56 | throughput: 668.522 | time:   0.006
 inference:    57 | throughput: 663.420 | time:   0.006
 inference:    58 | throughput: 672.164 | time:   0.006
 inference:    59 | throughput: 674.298 | time:   0.006
 inference:    60 | throughput: 661.354 | time:   0.006
 inference:    61 | throughput: 674.325 | time:   0.006
 inference:    62 | throughput: 668.175 | time:   0.006
 inference:    63 | throughput: 671.008 | time:   0.006
 inference:    64 | throughput: 666.477 | time:   0.006
 inference:    65 | throughput: 667.963 | time:   0.006
 inference:    66 | throughput: 670.928 | time:   0.006
 inference:    67 | throughput: 662.869 | time:   0.006
 inference:    68 | throughput: 671.518 | time:   0.006
 inference:    69 | throughput: 677.047 | time:   0.006
 inference:    70 | throughput: 660.650 | time:   0.006
 inference:    71 | throughput: 672.919 | time:   0.006
 inference:    72 | throughput: 665.419 | time:   0.006
 inference:    73 | throughput: 666.053 | time:   0.006
 inference:    74 | throughput: 670.204 | time:   0.006
 inference:    75 | throughput: 677.375 | time:   0.006
 inference:    76 | throughput: 650.481 | time:   0.006
 inference:    77 | throughput: 680.286 | time:   0.006
 inference:    78 | throughput: 669.001 | time:   0.006
 inference:    79 | throughput: 667.697 | time:   0.006
 inference:    80 | throughput: 668.601 | time:   0.006
 inference:    81 | throughput: 676.010 | time:   0.006
 inference:    82 | throughput: 660.364 | time:   0.006
 inference:    83 | throughput: 673.432 | time:   0.006
 inference:    84 | throughput: 667.060 | time:   0.006
 inference:    85 | throughput: 675.901 | time:   0.006
 inference:    86 | throughput: 659.197 | time:   0.006
 inference:    87 | throughput: 672.514 | time:   0.006
 inference:    88 | throughput: 665.208 | time:   0.006
 inference:    89 | throughput: 669.910 | time:   0.006
 inference:    90 | throughput: 659.663 | time:   0.006
 inference:    91 | throughput: 677.703 | time:   0.006
 inference:    92 | throughput: 661.197 | time:   0.006
 inference:    93 | throughput: 671.976 | time:   0.006
 inference:    94 | throughput: 668.601 | time:   0.006
 inference:    95 | throughput: 665.366 | time:   0.006
 inference:    96 | throughput: 666.901 | time:   0.006
 inference:    97 | throughput: 678.663 | time:   0.006
 inference:    98 | throughput: 654.465 | time:   0.006
 inference:    99 | throughput: 670.579 | time:   0.006
 inference:   100 | throughput: 668.868 | time:   0.006

Total inference throughput: 673.18089, Total inference latency: 0.00594
