Data loading...
vgg19-8 Model building...
Start inference...

 inference:     1 | throughput: 1800.903 | time:   0.004
 inference:     2 | throughput: 1004.955 | time:   0.008
 inference:     3 | throughput: 853.607 | time:   0.009
 inference:     4 | throughput: 807.179 | time:   0.010
 inference:     5 | throughput: 850.815 | time:   0.009
 inference:     6 | throughput: 832.121 | time:   0.010
 inference:     7 | throughput: 822.695 | time:   0.010
 inference:     8 | throughput: 830.329 | time:   0.010
 inference:     9 | throughput: 820.141 | time:   0.010
 inference:    10 | throughput: 831.399 | time:   0.010
 inference:    11 | throughput: 821.849 | time:   0.010
 inference:    12 | throughput: 830.288 | time:   0.010
 inference:    13 | throughput: 828.218 | time:   0.010
 inference:    14 | throughput: 830.370 | time:   0.010
 inference:    15 | throughput: 831.935 | time:   0.010
 inference:    16 | throughput: 831.708 | time:   0.010
 inference:    17 | throughput: 831.420 | time:   0.010
 inference:    18 | throughput: 834.044 | time:   0.010
 inference:    19 | throughput: 828.075 | time:   0.010
 inference:    20 | throughput: 835.644 | time:   0.010
 inference:    21 | throughput: 823.139 | time:   0.010
 inference:    22 | throughput: 831.749 | time:   0.010
 inference:    23 | throughput: 829.447 | time:   0.010
 inference:    24 | throughput: 824.393 | time:   0.010
 inference:    25 | throughput: 833.071 | time:   0.010
 inference:    26 | throughput: 824.859 | time:   0.010
 inference:    27 | throughput: 826.545 | time:   0.010
 inference:    28 | throughput: 830.309 | time:   0.010
 inference:    29 | throughput: 831.152 | time:   0.010
 inference:    30 | throughput: 833.837 | time:   0.010
 inference:    31 | throughput: 821.828 | time:   0.010
 inference:    32 | throughput: 837.312 | time:   0.010
 inference:    33 | throughput: 835.124 | time:   0.010
 inference:    34 | throughput: 830.268 | time:   0.010
 inference:    35 | throughput: 832.327 | time:   0.010
 inference:    36 | throughput: 823.887 | time:   0.010
 inference:    37 | throughput: 833.485 | time:   0.010
 inference:    38 | throughput: 821.547 | time:   0.010
 inference:    39 | throughput: 834.106 | time:   0.010
 inference:    40 | throughput: 824.008 | time:   0.010
 inference:    41 | throughput: 829.652 | time:   0.010
 inference:    42 | throughput: 828.771 | time:   0.010
 inference:    43 | throughput: 831.956 | time:   0.010
 inference:    44 | throughput: 836.268 | time:   0.010
 inference:    45 | throughput: 827.299 | time:   0.010
 inference:    46 | throughput: 832.926 | time:   0.010
 inference:    47 | throughput: 836.060 | time:   0.010
 inference:    48 | throughput: 826.118 | time:   0.010
 inference:    49 | throughput: 834.978 | time:   0.010
 inference:    50 | throughput: 823.018 | time:   0.010
 inference:    51 | throughput: 828.525 | time:   0.010
 inference:    52 | throughput: 824.291 | time:   0.010
 inference:    53 | throughput: 828.832 | time:   0.010
 inference:    54 | throughput: 825.366 | time:   0.010
 inference:    55 | throughput: 828.975 | time:   0.010
 inference:    56 | throughput: 829.980 | time:   0.010
 inference:    57 | throughput: 828.484 | time:   0.010
 inference:    58 | throughput: 834.584 | time:   0.010
 inference:    59 | throughput: 830.720 | time:   0.010
 inference:    60 | throughput: 828.034 | time:   0.010
 inference:    61 | throughput: 833.464 | time:   0.010
 inference:    62 | throughput: 824.960 | time:   0.010
 inference:    63 | throughput: 825.265 | time:   0.010
 inference:    64 | throughput: 829.775 | time:   0.010
 inference:    65 | throughput: 827.993 | time:   0.010
 inference:    66 | throughput: 828.116 | time:   0.010
 inference:    67 | throughput: 819.280 | time:   0.010
 inference:    68 | throughput: 828.504 | time:   0.010
 inference:    69 | throughput: 831.770 | time:   0.010
 inference:    70 | throughput: 828.750 | time:   0.010
 inference:    71 | throughput: 837.939 | time:   0.010
 inference:    72 | throughput: 822.614 | time:   0.010
 inference:    73 | throughput: 833.340 | time:   0.010
 inference:    74 | throughput: 831.914 | time:   0.010
 inference:    75 | throughput: 832.451 | time:   0.010
 inference:    76 | throughput: 825.793 | time:   0.010
 inference:    77 | throughput: 828.566 | time:   0.010
 inference:    78 | throughput: 834.335 | time:   0.010
 inference:    79 | throughput: 822.655 | time:   0.010
 inference:    80 | throughput: 829.939 | time:   0.010
 inference:    81 | throughput: 826.912 | time:   0.010
 inference:    82 | throughput: 829.201 | time:   0.010
 inference:    83 | throughput: 831.687 | time:   0.010
 inference:    84 | throughput: 832.885 | time:   0.010
 inference:    85 | throughput: 835.269 | time:   0.010
 inference:    86 | throughput: 822.191 | time:   0.010
 inference:    87 | throughput: 838.169 | time:   0.010
 inference:    88 | throughput: 832.451 | time:   0.010
 inference:    89 | throughput: 830.596 | time:   0.010
 inference:    90 | throughput: 837.855 | time:   0.010
 inference:    91 | throughput: 823.705 | time:   0.010
 inference:    92 | throughput: 834.521 | time:   0.010
 inference:    93 | throughput: 823.018 | time:   0.010
 inference:    94 | throughput: 830.843 | time:   0.010
 inference:    95 | throughput: 829.098 | time:   0.010
 inference:    96 | throughput: 823.381 | time:   0.010
 inference:    97 | throughput: 832.988 | time:   0.010
 inference:    98 | throughput: 830.206 | time:   0.010
 inference:    99 | throughput: 834.521 | time:   0.010
 inference:   100 | throughput: 835.124 | time:   0.010

Total inference throughput: 835.72891, Total inference latency: 0.00957
