Container nvidia build =  29224839
==PROF== Target process 2996865 terminated before first instrumented API call.
==PROF== Target process 2996866 terminated before first instrumented API call.
==PROF== Target process 2996867 terminated before first instrumented API call.
==PROF== Target process 2996868 terminated before first instrumented API call.
==PROF== Target process 2996869 terminated before first instrumented API call.
==PROF== Target process 2996870 terminated before first instrumented API call.
==PROF== Target process 2996871 terminated before first instrumented API call.
==PROF== Target process 2996872 terminated before first instrumented API call.
==PROF== Connected to process 2996873 (/opt/conda/bin/python3.8)
==PROF== Target process 2996914 terminated before first instrumented API call.
02/22/2024 14:25:13 - INFO - __main__ -   device: cuda n_gpu: 1, distributed training: False, 16-bits training: False
02/22/2024 14:25:19 - INFO - __main__ -   USING CHECKPOINT from /workspace/bert/checkpoints/pytorch_model.bin
02/22/2024 14:25:20 - INFO - __main__ -   USED CHECKPOINT from /workspace/bert/checkpoints/pytorch_model.bin
02/22/2024 14:25:30 - INFO - __main__ -   using fp32
02/22/2024 14:25:30 - INFO - __main__ -   ***** Running evaluation *****
02/22/2024 14:25:30 - INFO - __main__ -     Num examples = 408
02/22/2024 14:25:30 - INFO - __main__ -     Batch size = 1
DLL 2024-02-22 14:25:13.125881 - PARAMETER Config : ["Namespace(amp=False, bert_model='bert-large-uncased', config_file='/workspace/bert/bert_configs/large.json', data_dir='/workspace/bert/data/download/glue/MRPC/', do_eval=True, do_lower_case=True, do_predict=False, do_train=False, eval_batch_size=1, fp16=False, gradient_accumulation_steps=1, init_checkpoint='/workspace/bert/checkpoints/pytorch_model.bin', learning_rate=2.4e-05, local_rank=-1, loss_scale=0, max_seq_length=128, max_steps=100.0, no_cuda=False, num_train_epochs=3.0, output_dir='/workspace/bert/results/MRPC', seed=1000, server_ip='', server_port='', skip_checkpoint=False, task_name='mrpc', train_batch_size=32, vocab_file='/workspace/bert/data/download/google_pretrained_weights/uncased_L-24_H-1024_A-16/vocab.txt', warmup_proportion=0.1)"] 
DLL 2024-02-22 14:25:13.126839 - PARAMETER SEED : 1000 
DLL 2024-02-22 14:25:20.662663 - PARAMETER num_parameters : 335150082 
Evaluating: 0it [00:00, ?it/s]Evaluating: 1it [03:32, 212.89s/it]Evaluating: 1it [06:55, 415.24s/it]
02/22/2024 14:32:25 - INFO - __main__ -   ***** Results *****
02/22/2024 14:32:25 - INFO - __main__ -     acc = 0.0
02/22/2024 14:32:25 - INFO - __main__ -     acc_and_f1 = 0.0
02/22/2024 14:32:25 - INFO - __main__ -     eval:loss = 3.6333024501800537
02/22/2024 14:32:25 - INFO - __main__ -     eval:num_samples_per_gpu = 2
02/22/2024 14:32:25 - INFO - __main__ -     eval:num_steps = 2
02/22/2024 14:32:25 - INFO - __main__ -     f1 = 0.0
02/22/2024 14:32:25 - INFO - __main__ -     infer:latency(ms):100% = 212010.09375
02/22/2024 14:32:25 - INFO - __main__ -     infer:latency(ms):50% = 212010.09375
02/22/2024 14:32:25 - INFO - __main__ -     infer:latency(ms):90% = 212010.09375
02/22/2024 14:32:25 - INFO - __main__ -     infer:latency(ms):95% = 212010.09375
02/22/2024 14:32:25 - INFO - __main__ -     infer:latency(ms):99% = 212010.09375
02/22/2024 14:32:25 - INFO - __main__ -     infer:latency(ms):avg = 212010.09375
02/22/2024 14:32:25 - INFO - __main__ -     infer:latency(ms):std = 0.0
02/22/2024 14:32:25 - INFO - __main__ -     infer:latency(ms):sum = 212010.09375
02/22/2024 14:32:25 - INFO - __main__ -     infer:throughput(samples/s):avg = 0.004716756557728752
DLL 2024-02-22 14:32:25.921255 -  exact_match : 0.0 None
DLL 2024-02-22 14:32:25.921332 -  F1 : 0.0 None
DLL 2024-02-22 14:32:25.921367 -  e2e_inference_time : 212.01009375 s
DLL 2024-02-22 14:32:25.921395 -  inference_sequences_per_second : 0.004716756557728752 sequences/s
==PROF== Disconnected from process 2996873
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2996873","python3.8","127.0.0.1","void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator &, bool)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast>(int, T1, T2, T3, T4, T5, T6)","2024-Feb-22 14:25:31","1","7","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.16"
"0","2996873","python3.8","127.0.0.1","void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator &, bool)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast>(int, T1, T2, T3, T4, T5, T6)","2024-Feb-22 14:25:31","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","5408"
"0","2996873","python3.8","127.0.0.1","void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator &, bool)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast>(int, T1, T2, T3, T4, T5, T6)","2024-Feb-22 14:25:31","1","7","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.77"
"1","2996873","python3.8","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2024-Feb-22 14:25:32","1","7","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.05"
"1","2996873","python3.8","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2024-Feb-22 14:25:32","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","4768"
"1","2996873","python3.8","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2024-Feb-22 14:25:32","1","7","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.49"
"2","2996873","python3.8","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2024-Feb-22 14:25:32","1","7","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.06"
"2","2996873","python3.8","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2024-Feb-22 14:25:32","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","4544"
"2","2996873","python3.8","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2024-Feb-22 14:25:32","1","7","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.51"
"3","2996873","python3.8","127.0.0.1","void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)","2024-Feb-22 14:25:33","1","7","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.04"
"3","2996873","python3.8","127.0.0.1","void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)","2024-Feb-22 14:25:33","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","4000"
"3","2996873","python3.8","127.0.0.1","void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)","2024-Feb-22 14:25:33","1","7","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.75"
"4","2996873","python3.8","127.0.0.1","void at::native::<unnamed>::indexSelectLargeIndex<float, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T2, T3>, int, int, T3, T3, long)","2024-Feb-22 14:25:33","1","7","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.63"
"4","2996873","python3.8","127.0.0.1","void at::native::<unnamed>::indexSelectLargeIndex<float, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T2, T3>, int, int, T3, T3, long)","2024-Feb-22 14:25:33","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","10048"
"4","2996873","python3.8","127.0.0.1","void at::native::<unnamed>::indexSelectLargeIndex<float, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T2, T3>, int, int, T3, T3, long)","2024-Feb-22 14:25:33","1","7","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","3.19"
"5","2996873","python3.8","127.0.0.1","void at::native::<unnamed>::indexSelectLargeIndex<float, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T2, T3>, int, int, T3, T3, long)","2024-Feb-22 14:25:33","1","7","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","2.55"
"5","2996873","python3.8","127.0.0.1","void at::native::<unnamed>::indexSelectLargeIndex<float, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T2, T3>, int, int, T3, T3, long)","2024-Feb-22 14:25:33","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","10816"
"5","2996873","python3.8","127.0.0.1","void at::native::<unnamed>::indexSelectLargeIndex<float, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T2, T3>, int, int, T3, T3, long)","2024-Feb-22 14:25:33","1","7","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","4.21"
"6","2996873","python3.8","127.0.0.1","void at::native::<unnamed>::indexSelectLargeIndex<float, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T2, T3>, int, int, T3, T3, long)","2024-Feb-22 14:25:34","1","7","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.08"
"6","2996873","python3.8","127.0.0.1","void at::native::<unnamed>::indexSelectLargeIndex<float, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T2, T3>, int, int, T3, T3, long)","2024-Feb-22 14:25:34","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","9888"
"6","2996873","python3.8","127.0.0.1","void at::native::<unnamed>::indexSelectLargeIndex<float, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T2, T3>, int, int, T3, T3, long)","2024-Feb-22 14:25:34","1","7","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","2.70"
"7","2996873","python3.8","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2024-Feb-22 14:25:34","1","7","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","9.29"
"7","2996873","python3.8","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2024-Feb-22 14:25:34","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","5920"
