Data loading...
resnet50-1 Model building...
Start inference...

 inference:     1 | throughput:   2.047 | time:   0.488
 inference:     2 | throughput:  97.922 | time:   0.010
 inference:     3 | throughput: 137.433 | time:   0.007
 inference:     4 | throughput: 163.120 | time:   0.006
 inference:     5 | throughput: 203.508 | time:   0.005
 inference:     6 | throughput: 202.594 | time:   0.005
 inference:     7 | throughput: 207.310 | time:   0.005
 inference:     8 | throughput: 207.989 | time:   0.005
 inference:     9 | throughput: 210.178 | time:   0.005
 inference:    10 | throughput: 200.550 | time:   0.005
 inference:    11 | throughput: 211.077 | time:   0.005
 inference:    12 | throughput: 206.494 | time:   0.005
 inference:    13 | throughput: 209.109 | time:   0.005
 inference:    14 | throughput: 205.674 | time:   0.005
 inference:    15 | throughput: 201.659 | time:   0.005
 inference:    16 | throughput: 200.800 | time:   0.005
 inference:    17 | throughput: 205.664 | time:   0.005
 inference:    18 | throughput: 205.916 | time:   0.005
 inference:    19 | throughput: 201.127 | time:   0.005
 inference:    20 | throughput: 204.092 | time:   0.005
 inference:    21 | throughput: 199.009 | time:   0.005
 inference:    22 | throughput: 200.493 | time:   0.005
 inference:    23 | throughput: 202.038 | time:   0.005
 inference:    24 | throughput: 203.795 | time:   0.005
 inference:    25 | throughput: 201.892 | time:   0.005
 inference:    26 | throughput: 203.795 | time:   0.005
 inference:    27 | throughput: 205.171 | time:   0.005
 inference:    28 | throughput: 188.720 | time:   0.005
 inference:    29 | throughput: 204.630 | time:   0.005
 inference:    30 | throughput: 203.983 | time:   0.005
 inference:    31 | throughput: 204.490 | time:   0.005
 inference:    32 | throughput: 203.518 | time:   0.005
 inference:    33 | throughput: 202.067 | time:   0.005
 inference:    34 | throughput: 197.910 | time:   0.005
 inference:    35 | throughput: 205.050 | time:   0.005
 inference:    36 | throughput: 200.838 | time:   0.005
 inference:    37 | throughput: 198.209 | time:   0.005
 inference:    38 | throughput: 202.155 | time:   0.005
 inference:    39 | throughput: 203.884 | time:   0.005
 inference:    40 | throughput: 193.885 | time:   0.005
 inference:    41 | throughput: 205.775 | time:   0.005
 inference:    42 | throughput: 206.912 | time:   0.005
 inference:    43 | throughput: 203.607 | time:   0.005
 inference:    44 | throughput: 200.752 | time:   0.005
 inference:    45 | throughput: 203.676 | time:   0.005
 inference:    46 | throughput: 203.400 | time:   0.005
 inference:    47 | throughput: 204.660 | time:   0.005
 inference:    48 | throughput: 205.231 | time:   0.005
 inference:    49 | throughput: 202.301 | time:   0.005
 inference:    50 | throughput: 202.545 | time:   0.005
 inference:    51 | throughput: 202.418 | time:   0.005
 inference:    52 | throughput: 195.111 | time:   0.005
 inference:    53 | throughput: 200.905 | time:   0.005
 inference:    54 | throughput: 205.734 | time:   0.005
 inference:    55 | throughput: 199.824 | time:   0.005
 inference:    56 | throughput: 202.164 | time:   0.005
 inference:    57 | throughput: 194.397 | time:   0.005
 inference:    58 | throughput: 201.175 | time:   0.005
 inference:    59 | throughput: 201.166 | time:   0.005
 inference:    60 | throughput: 199.491 | time:   0.005
 inference:    61 | throughput: 199.264 | time:   0.005
 inference:    62 | throughput: 200.139 | time:   0.005
 inference:    63 | throughput: 196.501 | time:   0.005
 inference:    64 | throughput: 198.509 | time:   0.005
 inference:    65 | throughput: 201.591 | time:   0.005
 inference:    66 | throughput: 201.359 | time:   0.005
 inference:    67 | throughput: 203.370 | time:   0.005
 inference:    68 | throughput: 201.156 | time:   0.005
 inference:    69 | throughput: 199.891 | time:   0.005
 inference:    70 | throughput: 204.023 | time:   0.005
 inference:    71 | throughput: 205.030 | time:   0.005
 inference:    72 | throughput: 200.445 | time:   0.005
 inference:    73 | throughput: 200.473 | time:   0.005
 inference:    74 | throughput: 202.947 | time:   0.005
 inference:    75 | throughput: 200.387 | time:   0.005
 inference:    76 | throughput: 202.623 | time:   0.005
 inference:    77 | throughput: 201.204 | time:   0.005
 inference:    78 | throughput: 201.011 | time:   0.005
 inference:    79 | throughput: 203.518 | time:   0.005
 inference:    80 | throughput: 200.053 | time:   0.005
 inference:    81 | throughput: 197.621 | time:   0.005
 inference:    82 | throughput: 204.351 | time:   0.005
 inference:    83 | throughput: 201.707 | time:   0.005
 inference:    84 | throughput: 198.078 | time:   0.005
 inference:    85 | throughput: 196.676 | time:   0.005
 inference:    86 | throughput: 197.957 | time:   0.005
 inference:    87 | throughput: 204.610 | time:   0.005
 inference:    88 | throughput: 202.086 | time:   0.005
 inference:    89 | throughput: 200.034 | time:   0.005
 inference:    90 | throughput: 202.790 | time:   0.005
 inference:    91 | throughput: 202.252 | time:   0.005
 inference:    92 | throughput: 200.053 | time:   0.005
 inference:    93 | throughput: 199.786 | time:   0.005
 inference:    94 | throughput: 204.202 | time:   0.005
 inference:    95 | throughput: 200.579 | time:   0.005
 inference:    96 | throughput: 202.262 | time:   0.005
 inference:    97 | throughput: 200.944 | time:   0.005
 inference:    98 | throughput: 200.675 | time:   0.005
 inference:    99 | throughput: 203.805 | time:   0.005
 inference:   100 | throughput: 202.653 | time:   0.005

Total inference throughput: 101.28326, Total inference latency: 0.00987
