Data loading...
resnet50-1 Model building...
Start inference...

 inference:     1 | throughput:  93.369 | time:   0.011
 inference:     2 | throughput: 189.205 | time:   0.005
 inference:     3 | throughput: 189.977 | time:   0.005
 inference:     4 | throughput: 201.175 | time:   0.005
 inference:     5 | throughput: 206.657 | time:   0.005
 inference:     6 | throughput: 205.151 | time:   0.005
 inference:     7 | throughput: 203.134 | time:   0.005
 inference:     8 | throughput: 197.565 | time:   0.005
 inference:     9 | throughput: 205.573 | time:   0.005
 inference:    10 | throughput: 200.330 | time:   0.005
 inference:    11 | throughput: 206.993 | time:   0.005
 inference:    12 | throughput: 194.118 | time:   0.005
 inference:    13 | throughput: 196.925 | time:   0.005
 inference:    14 | throughput: 202.125 | time:   0.005
 inference:    15 | throughput: 200.320 | time:   0.005
 inference:    16 | throughput: 198.078 | time:   0.005
 inference:    17 | throughput: 198.519 | time:   0.005
 inference:    18 | throughput: 195.147 | time:   0.005
 inference:    19 | throughput: 201.185 | time:   0.005
 inference:    20 | throughput: 200.263 | time:   0.005
 inference:    21 | throughput: 197.556 | time:   0.005
 inference:    22 | throughput: 197.231 | time:   0.005
 inference:    23 | throughput: 195.002 | time:   0.005
 inference:    24 | throughput: 202.116 | time:   0.005
 inference:    25 | throughput: 202.369 | time:   0.005
 inference:    26 | throughput: 196.096 | time:   0.005
 inference:    27 | throughput: 197.901 | time:   0.005
 inference:    28 | throughput: 106.644 | time:   0.009
 inference:    29 | throughput: 198.792 | time:   0.005
 inference:    30 | throughput: 197.435 | time:   0.005
 inference:    31 | throughput: 192.957 | time:   0.005
 inference:    32 | throughput: 197.435 | time:   0.005
 inference:    33 | throughput: 200.339 | time:   0.005
 inference:    34 | throughput: 196.014 | time:   0.005
 inference:    35 | throughput: 196.023 | time:   0.005
 inference:    36 | throughput: 196.014 | time:   0.005
 inference:    37 | throughput: 199.094 | time:   0.005
 inference:    38 | throughput: 198.622 | time:   0.005
 inference:    39 | throughput: 197.258 | time:   0.005
 inference:    40 | throughput: 196.317 | time:   0.005
 inference:    41 | throughput: 195.420 | time:   0.005
 inference:    42 | throughput: 197.994 | time:   0.005
 inference:    43 | throughput: 199.349 | time:   0.005
 inference:    44 | throughput: 198.406 | time:   0.005
 inference:    45 | throughput: 194.812 | time:   0.005
 inference:    46 | throughput: 193.670 | time:   0.005
 inference:    47 | throughput: 198.153 | time:   0.005
 inference:    48 | throughput: 200.435 | time:   0.005
 inference:    49 | throughput: 197.444 | time:   0.005
 inference:    50 | throughput: 197.017 | time:   0.005
 inference:    51 | throughput: 195.977 | time:   0.005
 inference:    52 | throughput: 199.444 | time:   0.005
 inference:    53 | throughput: 194.100 | time:   0.005
 inference:    54 | throughput: 194.667 | time:   0.005
 inference:    55 | throughput: 196.390 | time:   0.005
 inference:    56 | throughput: 190.564 | time:   0.005
 inference:    57 | throughput: 198.782 | time:   0.005
 inference:    58 | throughput: 198.971 | time:   0.005
 inference:    59 | throughput: 195.602 | time:   0.005
 inference:    60 | throughput: 194.586 | time:   0.005
 inference:    61 | throughput: 196.906 | time:   0.005
 inference:    62 | throughput: 198.688 | time:   0.005
 inference:    63 | throughput: 198.491 | time:   0.005
 inference:    64 | throughput: 196.482 | time:   0.005
 inference:    65 | throughput: 192.390 | time:   0.005
 inference:    66 | throughput: 197.695 | time:   0.005
 inference:    67 | throughput: 199.198 | time:   0.005
 inference:    68 | throughput: 197.985 | time:   0.005
 inference:    69 | throughput: 198.566 | time:   0.005
 inference:    70 | throughput: 196.307 | time:   0.005
 inference:    71 | throughput: 197.017 | time:   0.005
 inference:    72 | throughput: 197.835 | time:   0.005
 inference:    73 | throughput: 199.748 | time:   0.005
 inference:    74 | throughput: 195.666 | time:   0.005
 inference:    75 | throughput: 189.702 | time:   0.005
 inference:    76 | throughput: 193.536 | time:   0.005
 inference:    77 | throughput: 200.704 | time:   0.005
 inference:    78 | throughput: 198.153 | time:   0.005
 inference:    79 | throughput: 194.894 | time:   0.005
 inference:    80 | throughput: 195.630 | time:   0.005
 inference:    81 | throughput: 200.024 | time:   0.005
 inference:    82 | throughput: 195.840 | time:   0.005
 inference:    83 | throughput: 196.934 | time:   0.005
 inference:    84 | throughput: 198.387 | time:   0.005
 inference:    85 | throughput: 191.024 | time:   0.005
 inference:    86 | throughput: 197.453 | time:   0.005
 inference:    87 | throughput: 199.596 | time:   0.005
 inference:    88 | throughput: 196.602 | time:   0.005
 inference:    89 | throughput: 190.798 | time:   0.005
 inference:    90 | throughput: 197.639 | time:   0.005
 inference:    91 | throughput: 199.653 | time:   0.005
 inference:    92 | throughput: 195.584 | time:   0.005
 inference:    93 | throughput: 197.509 | time:   0.005
 inference:    94 | throughput: 191.836 | time:   0.005
 inference:    95 | throughput: 200.005 | time:   0.005
 inference:    96 | throughput: 197.677 | time:   0.005
 inference:    97 | throughput: 198.134 | time:   0.005
 inference:    98 | throughput: 195.539 | time:   0.005
 inference:    99 | throughput: 192.461 | time:   0.005
 inference:   100 | throughput: 199.160 | time:   0.005

Total inference throughput: 193.55214, Total inference latency: 0.00517
