Data loading...
resnet50-1 Model building...
Start inference...

 inference:     1 | throughput:  33.321 | time:   0.030
 inference:     2 | throughput: 101.380 | time:   0.010
 inference:     3 | throughput: 154.367 | time:   0.006
 inference:     4 | throughput: 174.088 | time:   0.006
 inference:     5 | throughput: 198.980 | time:   0.005
 inference:     6 | throughput: 203.577 | time:   0.005
 inference:     7 | throughput: 205.351 | time:   0.005
 inference:     8 | throughput: 198.200 | time:   0.005
 inference:     9 | throughput: 201.040 | time:   0.005
 inference:    10 | throughput: 202.174 | time:   0.005
 inference:    11 | throughput: 200.005 | time:   0.005
 inference:    12 | throughput: 193.215 | time:   0.005
 inference:    13 | throughput: 199.710 | time:   0.005
 inference:    14 | throughput: 198.547 | time:   0.005
 inference:    15 | throughput: 198.585 | time:   0.005
 inference:    16 | throughput: 204.800 | time:   0.005
 inference:    17 | throughput: 202.565 | time:   0.005
 inference:    18 | throughput: 197.147 | time:   0.005
 inference:    19 | throughput: 197.203 | time:   0.005
 inference:    20 | throughput: 200.291 | time:   0.005
 inference:    21 | throughput: 200.320 | time:   0.005
 inference:    22 | throughput: 197.528 | time:   0.005
 inference:    23 | throughput: 198.999 | time:   0.005
 inference:    24 | throughput: 198.858 | time:   0.005
 inference:    25 | throughput: 199.444 | time:   0.005
 inference:    26 | throughput: 200.809 | time:   0.005
 inference:    27 | throughput: 198.952 | time:   0.005
 inference:    28 | throughput: 140.687 | time:   0.007
 inference:    29 | throughput: 197.975 | time:   0.005
 inference:    30 | throughput: 194.658 | time:   0.005
 inference:    31 | throughput: 198.792 | time:   0.005
 inference:    32 | throughput: 196.990 | time:   0.005
 inference:    33 | throughput: 199.710 | time:   0.005
 inference:    34 | throughput: 198.134 | time:   0.005
 inference:    35 | throughput: 196.436 | time:   0.005
 inference:    36 | throughput: 196.556 | time:   0.005
 inference:    37 | throughput: 196.014 | time:   0.005
 inference:    38 | throughput: 195.048 | time:   0.005
 inference:    39 | throughput: 199.900 | time:   0.005
 inference:    40 | throughput: 195.584 | time:   0.005
 inference:    41 | throughput: 199.491 | time:   0.005
 inference:    42 | throughput: 196.749 | time:   0.005
 inference:    43 | throughput: 198.622 | time:   0.005
 inference:    44 | throughput: 196.482 | time:   0.005
 inference:    45 | throughput: 199.852 | time:   0.005
 inference:    46 | throughput: 196.925 | time:   0.005
 inference:    47 | throughput: 198.867 | time:   0.005
 inference:    48 | throughput: 197.630 | time:   0.005
 inference:    49 | throughput: 197.705 | time:   0.005
 inference:    50 | throughput: 192.293 | time:   0.005
 inference:    51 | throughput: 191.845 | time:   0.005
 inference:    52 | throughput: 189.197 | time:   0.005
 inference:    53 | throughput: 195.338 | time:   0.005
 inference:    54 | throughput: 189.547 | time:   0.005
 inference:    55 | throughput: 188.958 | time:   0.005
 inference:    56 | throughput: 190.330 | time:   0.005
 inference:    57 | throughput: 191.599 | time:   0.005
 inference:    58 | throughput: 190.711 | time:   0.005
 inference:    59 | throughput: 191.024 | time:   0.005
 inference:    60 | throughput: 192.984 | time:   0.005
 inference:    61 | throughput: 188.593 | time:   0.005
 inference:    62 | throughput: 195.093 | time:   0.005
 inference:    63 | throughput: 192.382 | time:   0.005
 inference:    64 | throughput: 188.466 | time:   0.005
 inference:    65 | throughput: 191.862 | time:   0.005
 inference:    66 | throughput: 193.643 | time:   0.005
 inference:    67 | throughput: 187.967 | time:   0.005
 inference:    68 | throughput: 191.722 | time:   0.005
 inference:    69 | throughput: 191.538 | time:   0.005
 inference:    70 | throughput: 191.032 | time:   0.005
 inference:    71 | throughput: 189.385 | time:   0.005
 inference:    72 | throughput: 193.580 | time:   0.005
 inference:    73 | throughput: 191.241 | time:   0.005
 inference:    74 | throughput: 189.762 | time:   0.005
 inference:    75 | throughput: 192.594 | time:   0.005
 inference:    76 | throughput: 194.758 | time:   0.005
 inference:    77 | throughput: 186.845 | time:   0.005
 inference:    78 | throughput: 194.109 | time:   0.005
 inference:    79 | throughput: 194.866 | time:   0.005
 inference:    80 | throughput: 189.112 | time:   0.005
 inference:    81 | throughput: 192.877 | time:   0.005
 inference:    82 | throughput: 188.593 | time:   0.005
 inference:    83 | throughput: 190.373 | time:   0.005
 inference:    84 | throughput: 192.161 | time:   0.005
 inference:    85 | throughput: 194.199 | time:   0.005
 inference:    86 | throughput: 191.294 | time:   0.005
 inference:    87 | throughput: 190.928 | time:   0.005
 inference:    88 | throughput: 190.235 | time:   0.005
 inference:    89 | throughput: 192.602 | time:   0.005
 inference:    90 | throughput: 187.221 | time:   0.005
 inference:    91 | throughput: 194.028 | time:   0.005
 inference:    92 | throughput: 192.311 | time:   0.005
 inference:    93 | throughput: 187.564 | time:   0.005
 inference:    94 | throughput: 192.373 | time:   0.005
 inference:    95 | throughput: 192.842 | time:   0.005
 inference:    96 | throughput: 186.248 | time:   0.005
 inference:    97 | throughput: 193.117 | time:   0.005
 inference:    98 | throughput: 193.723 | time:   0.005
 inference:    99 | throughput: 190.011 | time:   0.005
 inference:   100 | throughput: 191.626 | time:   0.005

Total inference throughput: 182.72849, Total inference latency: 0.00547
