Data loading...
resnet50-16 Model building...
Start inference...

 inference:     1 | throughput: 503.718 | time:   0.032
 inference:     2 | throughput: 2202.963 | time:   0.007
 inference:     3 | throughput: 1127.634 | time:   0.014
 inference:     4 | throughput: 1048.609 | time:   0.015
 inference:     5 | throughput: 1049.773 | time:   0.015
 inference:     6 | throughput: 1061.580 | time:   0.015
 inference:     7 | throughput: 1124.328 | time:   0.014
 inference:     8 | throughput: 1047.267 | time:   0.015
 inference:     9 | throughput: 1048.592 | time:   0.015
 inference:    10 | throughput: 1079.615 | time:   0.015
 inference:    11 | throughput: 1102.894 | time:   0.015
 inference:    12 | throughput: 1052.143 | time:   0.015
 inference:    13 | throughput: 1049.888 | time:   0.015
 inference:    14 | throughput: 1052.077 | time:   0.015
 inference:    15 | throughput: 1017.896 | time:   0.016
 inference:    16 | throughput: 1094.493 | time:   0.015
 inference:    17 | throughput: 1062.421 | time:   0.015
 inference:    18 | throughput: 1047.185 | time:   0.015
 inference:    19 | throughput: 1066.117 | time:   0.015
 inference:    20 | throughput: 1121.266 | time:   0.014
 inference:    21 | throughput: 1048.019 | time:   0.015
 inference:    22 | throughput: 1047.316 | time:   0.015
 inference:    23 | throughput: 1074.688 | time:   0.015
 inference:    24 | throughput: 1110.816 | time:   0.014
 inference:    25 | throughput: 1052.622 | time:   0.015
 inference:    26 | throughput: 1041.497 | time:   0.015
 inference:    27 | throughput: 1055.553 | time:   0.015
 inference:    28 | throughput: 1025.988 | time:   0.016
 inference:    29 | throughput: 1072.678 | time:   0.015
 inference:    30 | throughput: 1059.770 | time:   0.015
 inference:    31 | throughput: 1052.539 | time:   0.015
 inference:    32 | throughput: 1058.817 | time:   0.015
 inference:    33 | throughput: 1121.828 | time:   0.014
 inference:    34 | throughput: 1044.724 | time:   0.015
 inference:    35 | throughput: 1054.392 | time:   0.015
 inference:    36 | throughput: 1068.306 | time:   0.015
 inference:    37 | throughput: 1120.517 | time:   0.014
 inference:    38 | throughput: 1049.314 | time:   0.015
 inference:    39 | throughput: 1034.832 | time:   0.015
 inference:    40 | throughput: 1062.808 | time:   0.015
 inference:    41 | throughput: 1060.741 | time:   0.015
 inference:    42 | throughput: 1046.304 | time:   0.015
 inference:    43 | throughput: 1045.293 | time:   0.015
 inference:    44 | throughput: 1052.969 | time:   0.015
 inference:    45 | throughput: 1018.128 | time:   0.016
 inference:    46 | throughput: 1073.570 | time:   0.015
 inference:    47 | throughput: 1057.865 | time:   0.015
 inference:    48 | throughput: 1061.446 | time:   0.015
 inference:    49 | throughput: 1058.633 | time:   0.015
 inference:    50 | throughput: 1121.547 | time:   0.014
 inference:    51 | throughput: 1033.143 | time:   0.015
 inference:    52 | throughput: 1036.687 | time:   0.015
 inference:    53 | throughput: 1075.273 | time:   0.015
 inference:    54 | throughput: 1116.471 | time:   0.014
 inference:    55 | throughput: 1028.946 | time:   0.016
 inference:    56 | throughput: 1053.002 | time:   0.015
 inference:    57 | throughput: 1057.415 | time:   0.015
 inference:    58 | throughput: 1025.973 | time:   0.016
 inference:    59 | throughput: 1077.587 | time:   0.015
 inference:    60 | throughput: 1045.358 | time:   0.015
 inference:    61 | throughput: 1059.519 | time:   0.015
 inference:    62 | throughput: 1057.349 | time:   0.015
 inference:    63 | throughput: 1131.093 | time:   0.014
 inference:    64 | throughput: 1033.064 | time:   0.015
 inference:    65 | throughput: 1058.032 | time:   0.015
 inference:    66 | throughput: 1080.084 | time:   0.015
 inference:    67 | throughput: 1118.052 | time:   0.014
 inference:    68 | throughput: 1040.690 | time:   0.015
 inference:    69 | throughput: 1045.733 | time:   0.015
 inference:    70 | throughput: 1059.452 | time:   0.015
 inference:    71 | throughput: 1047.545 | time:   0.015
 inference:    72 | throughput: 1053.018 | time:   0.015
 inference:    73 | throughput: 1034.992 | time:   0.015
 inference:    74 | throughput: 1066.948 | time:   0.015
 inference:    75 | throughput: 1044.610 | time:   0.015
 inference:    76 | throughput: 1107.535 | time:   0.014
 inference:    77 | throughput: 1048.609 | time:   0.015
 inference:    78 | throughput: 1054.856 | time:   0.015
 inference:    79 | throughput: 1069.873 | time:   0.015
 inference:    80 | throughput: 1124.441 | time:   0.014
 inference:    81 | throughput: 1033.493 | time:   0.015
 inference:    82 | throughput: 1055.802 | time:   0.015
 inference:    83 | throughput: 1070.300 | time:   0.015
 inference:    84 | throughput: 1117.215 | time:   0.014
 inference:    85 | throughput: 1035.407 | time:   0.015
 inference:    86 | throughput: 1046.858 | time:   0.015
 inference:    87 | throughput: 1066.541 | time:   0.015
 inference:    88 | throughput: 1024.532 | time:   0.016
 inference:    89 | throughput: 1067.847 | time:   0.015
 inference:    90 | throughput: 1051.847 | time:   0.015
 inference:    91 | throughput: 1049.888 | time:   0.015
 inference:    92 | throughput: 1069.754 | time:   0.015
 inference:    93 | throughput: 1117.848 | time:   0.014
 inference:    94 | throughput: 1045.651 | time:   0.015
 inference:    95 | throughput: 1048.576 | time:   0.015
 inference:    96 | throughput: 1047.725 | time:   0.015
 inference:    97 | throughput: 1125.346 | time:   0.014
 inference:    98 | throughput: 1042.144 | time:   0.015
 inference:    99 | throughput: 1046.663 | time:   0.015
 inference:   100 | throughput: 1062.959 | time:   0.015

Total inference throughput: 1056.47863, Total inference latency: 0.01514
