Data loading...
resnet50-16 Model building...
Start inference...

 inference:     1 | throughput:  32.183 | time:   0.497
 inference:     2 | throughput: 1565.696 | time:   0.010
 inference:     3 | throughput: 1326.341 | time:   0.012
 inference:     4 | throughput: 1162.521 | time:   0.014
 inference:     5 | throughput: 1108.962 | time:   0.014
 inference:     6 | throughput: 1122.541 | time:   0.014
 inference:     7 | throughput: 1098.291 | time:   0.015
 inference:     8 | throughput: 1077.189 | time:   0.015
 inference:     9 | throughput: 1112.160 | time:   0.014
 inference:    10 | throughput: 1098.201 | time:   0.015
 inference:    11 | throughput: 1120.592 | time:   0.014
 inference:    12 | throughput: 1106.695 | time:   0.014
 inference:    13 | throughput: 1121.247 | time:   0.014
 inference:    14 | throughput: 1089.147 | time:   0.015
 inference:    15 | throughput: 1119.171 | time:   0.014
 inference:    16 | throughput: 1098.758 | time:   0.015
 inference:    17 | throughput: 1120.554 | time:   0.014
 inference:    18 | throughput: 1103.964 | time:   0.014
 inference:    19 | throughput: 1111.718 | time:   0.014
 inference:    20 | throughput: 1106.512 | time:   0.014
 inference:    21 | throughput: 1099.875 | time:   0.015
 inference:    22 | throughput: 1104.836 | time:   0.014
 inference:    23 | throughput: 1106.658 | time:   0.014
 inference:    24 | throughput: 1112.916 | time:   0.014
 inference:    25 | throughput: 1104.618 | time:   0.014
 inference:    26 | throughput: 1105.473 | time:   0.014
 inference:    27 | throughput: 1127.293 | time:   0.014
 inference:    28 | throughput: 1105.109 | time:   0.014
 inference:    29 | throughput: 1109.237 | time:   0.014
 inference:    30 | throughput: 1111.405 | time:   0.014
 inference:    31 | throughput: 1096.944 | time:   0.015
 inference:    32 | throughput: 1088.334 | time:   0.015
 inference:    33 | throughput: 1113.360 | time:   0.014
 inference:    34 | throughput: 1097.842 | time:   0.015
 inference:    35 | throughput: 1323.751 | time:   0.012
 inference:    36 | throughput: 1114.858 | time:   0.014
 inference:    37 | throughput: 1105.747 | time:   0.014
 inference:    38 | throughput: 1116.620 | time:   0.014
 inference:    39 | throughput: 1099.893 | time:   0.015
 inference:    40 | throughput: 1117.587 | time:   0.014
 inference:    41 | throughput: 1108.798 | time:   0.014
 inference:    42 | throughput: 1106.969 | time:   0.014
 inference:    43 | throughput: 1126.593 | time:   0.014
 inference:    44 | throughput: 1101.319 | time:   0.015
 inference:    45 | throughput: 1123.236 | time:   0.014
 inference:    46 | throughput: 1096.460 | time:   0.015
 inference:    47 | throughput: 1110.008 | time:   0.014
 inference:    48 | throughput: 1125.799 | time:   0.014
 inference:    49 | throughput: 1097.878 | time:   0.015
 inference:    50 | throughput: 1109.769 | time:   0.014
 inference:    51 | throughput: 1121.922 | time:   0.014
 inference:    52 | throughput: 1104.582 | time:   0.014
 inference:    53 | throughput: 1117.048 | time:   0.014
 inference:    54 | throughput: 1110.633 | time:   0.014
 inference:    55 | throughput: 1118.313 | time:   0.014
 inference:    56 | throughput: 1113.120 | time:   0.014
 inference:    57 | throughput: 1099.785 | time:   0.015
 inference:    58 | throughput: 1129.399 | time:   0.014
 inference:    59 | throughput: 1083.187 | time:   0.015
 inference:    60 | throughput: 1107.754 | time:   0.014
 inference:    61 | throughput: 1111.405 | time:   0.014
 inference:    62 | throughput: 1093.103 | time:   0.015
 inference:    63 | throughput: 1129.798 | time:   0.014
 inference:    64 | throughput: 1123.706 | time:   0.014
 inference:    65 | throughput: 1107.791 | time:   0.014
 inference:    66 | throughput: 1112.953 | time:   0.014
 inference:    67 | throughput: 1084.307 | time:   0.015
 inference:    68 | throughput: 1115.099 | time:   0.014
 inference:    69 | throughput: 1101.717 | time:   0.015
 inference:    70 | throughput: 1100.308 | time:   0.015
 inference:    71 | throughput: 1107.919 | time:   0.014
 inference:    72 | throughput: 1115.469 | time:   0.014
 inference:    73 | throughput: 1105.583 | time:   0.014
 inference:    74 | throughput: 1110.137 | time:   0.014
 inference:    75 | throughput: 1105.674 | time:   0.014
 inference:    76 | throughput: 1110.412 | time:   0.014
 inference:    77 | throughput: 1110.633 | time:   0.014
 inference:    78 | throughput: 1099.749 | time:   0.015
 inference:    79 | throughput: 1112.953 | time:   0.014
 inference:    80 | throughput: 1096.156 | time:   0.015
 inference:    81 | throughput: 1103.184 | time:   0.015
 inference:    82 | throughput: 1103.274 | time:   0.015
 inference:    83 | throughput: 1094.529 | time:   0.015
 inference:    84 | throughput: 1138.480 | time:   0.014
 inference:    85 | throughput: 1112.252 | time:   0.014
 inference:    86 | throughput: 1106.111 | time:   0.014
 inference:    87 | throughput: 1117.513 | time:   0.014
 inference:    88 | throughput: 1102.477 | time:   0.015
 inference:    89 | throughput: 1111.460 | time:   0.014
 inference:    90 | throughput: 1107.389 | time:   0.014
 inference:    91 | throughput: 1109.788 | time:   0.014
 inference:    92 | throughput: 1122.616 | time:   0.014
 inference:    93 | throughput: 1117.568 | time:   0.014
 inference:    94 | throughput: 1113.083 | time:   0.014
 inference:    95 | throughput: 1124.591 | time:   0.014
 inference:    96 | throughput: 1101.988 | time:   0.015
 inference:    97 | throughput: 1107.718 | time:   0.014
 inference:    98 | throughput: 1101.572 | time:   0.015
 inference:    99 | throughput: 1111.258 | time:   0.014
 inference:   100 | throughput: 1115.210 | time:   0.014

Total inference throughput: 835.00340, Total inference latency: 0.01916
