Data loading...
resnet50-16 Model building...
Start inference...

 inference:     1 | throughput:  31.287 | time:   0.511
 inference:     2 | throughput: 1500.713 | time:   0.011
 inference:     3 | throughput: 1994.379 | time:   0.008
 inference:     4 | throughput: 1687.127 | time:   0.009
 inference:     5 | throughput: 1543.265 | time:   0.010
 inference:     6 | throughput: 1447.466 | time:   0.011
 inference:     7 | throughput: 1489.190 | time:   0.011
 inference:     8 | throughput: 1567.781 | time:   0.010
 inference:     9 | throughput: 1523.989 | time:   0.010
 inference:    10 | throughput: 1541.917 | time:   0.010
 inference:    11 | throughput: 1463.023 | time:   0.011
 inference:    12 | throughput: 1504.346 | time:   0.011
 inference:    13 | throughput: 1581.600 | time:   0.010
 inference:    14 | throughput: 1525.756 | time:   0.010
 inference:    15 | throughput: 1547.749 | time:   0.010
 inference:    16 | throughput: 1562.452 | time:   0.010
 inference:    17 | throughput: 1520.433 | time:   0.011
 inference:    18 | throughput: 1566.866 | time:   0.010
 inference:    19 | throughput: 1545.041 | time:   0.010
 inference:    20 | throughput: 1542.733 | time:   0.010
 inference:    21 | throughput: 1558.859 | time:   0.010
 inference:    22 | throughput: 1512.483 | time:   0.011
 inference:    23 | throughput: 1568.624 | time:   0.010
 inference:    24 | throughput: 1549.572 | time:   0.010
 inference:    25 | throughput: 1566.793 | time:   0.010
 inference:    26 | throughput: 1561.107 | time:   0.010
 inference:    27 | throughput: 1538.594 | time:   0.010
 inference:    28 | throughput: 1532.341 | time:   0.010
 inference:    29 | throughput: 1540.678 | time:   0.010
 inference:    30 | throughput: 1551.937 | time:   0.010
 inference:    31 | throughput: 1547.964 | time:   0.010
 inference:    32 | throughput: 1559.402 | time:   0.010
 inference:    33 | throughput: 1543.655 | time:   0.010
 inference:    34 | throughput: 1552.619 | time:   0.010
 inference:    35 | throughput: 1538.841 | time:   0.010
 inference:    36 | throughput: 1556.220 | time:   0.010
 inference:    37 | throughput: 1561.143 | time:   0.010
 inference:    38 | throughput: 1537.008 | time:   0.010
 inference:    39 | throughput: 1552.727 | time:   0.010
 inference:    40 | throughput: 1536.059 | time:   0.010
 inference:    41 | throughput: 1550.073 | time:   0.010
 inference:    42 | throughput: 1490.546 | time:   0.011
 inference:    43 | throughput: 1522.675 | time:   0.011
 inference:    44 | throughput: 1551.614 | time:   0.010
 inference:    45 | throughput: 1551.829 | time:   0.010
 inference:    46 | throughput: 1539.300 | time:   0.010
 inference:    47 | throughput: 1445.657 | time:   0.011
 inference:    48 | throughput: 1519.263 | time:   0.011
 inference:    49 | throughput: 1546.394 | time:   0.010
 inference:    50 | throughput: 1541.351 | time:   0.010
 inference:    51 | throughput: 1562.415 | time:   0.010
 inference:    52 | throughput: 1519.091 | time:   0.011
 inference:    53 | throughput: 1530.140 | time:   0.010
 inference:    54 | throughput: 1577.733 | time:   0.010
 inference:    55 | throughput: 1531.292 | time:   0.010
 inference:    56 | throughput: 1574.402 | time:   0.010
 inference:    57 | throughput: 1550.503 | time:   0.010
 inference:    58 | throughput: 1538.982 | time:   0.010
 inference:    59 | throughput: 1541.811 | time:   0.010
 inference:    60 | throughput: 1562.670 | time:   0.010
 inference:    61 | throughput: 1550.610 | time:   0.010
 inference:    62 | throughput: 1547.036 | time:   0.010
 inference:    63 | throughput: 1543.797 | time:   0.010
 inference:    64 | throughput: 1552.871 | time:   0.010
 inference:    65 | throughput: 1569.211 | time:   0.010
 inference:    66 | throughput: 1548.785 | time:   0.010
 inference:    67 | throughput: 1550.682 | time:   0.010
 inference:    68 | throughput: 1562.925 | time:   0.010
 inference:    69 | throughput: 1517.339 | time:   0.011
 inference:    70 | throughput: 1559.474 | time:   0.010
 inference:    71 | throughput: 1548.106 | time:   0.010
 inference:    72 | throughput: 1552.655 | time:   0.010
 inference:    73 | throughput: 1577.214 | time:   0.010
 inference:    74 | throughput: 1525.583 | time:   0.010
 inference:    75 | throughput: 1564.018 | time:   0.010
 inference:    76 | throughput: 1490.911 | time:   0.011
 inference:    77 | throughput: 1522.502 | time:   0.011
 inference:    78 | throughput: 1586.948 | time:   0.010
 inference:    79 | throughput: 1503.537 | time:   0.011
 inference:    80 | throughput: 1564.309 | time:   0.010
 inference:    81 | throughput: 1531.257 | time:   0.010
 inference:    82 | throughput: 1556.725 | time:   0.010
 inference:    83 | throughput: 1524.647 | time:   0.010
 inference:    84 | throughput: 1534.513 | time:   0.010
 inference:    85 | throughput: 1544.934 | time:   0.010
 inference:    86 | throughput: 1521.985 | time:   0.011
 inference:    87 | throughput: 1558.822 | time:   0.010
 inference:    88 | throughput: 1451.630 | time:   0.011
 inference:    89 | throughput: 1493.266 | time:   0.011
 inference:    90 | throughput: 1566.317 | time:   0.010
 inference:    91 | throughput: 1545.753 | time:   0.010
 inference:    92 | throughput: 1529.512 | time:   0.010
 inference:    93 | throughput: 1556.292 | time:   0.010
 inference:    94 | throughput: 1533.566 | time:   0.010
 inference:    95 | throughput: 1557.628 | time:   0.010
 inference:    96 | throughput: 1546.929 | time:   0.010
 inference:    97 | throughput: 1537.783 | time:   0.010
 inference:    98 | throughput: 1561.615 | time:   0.010
 inference:    99 | throughput: 1535.848 | time:   0.010
 inference:   100 | throughput: 1563.799 | time:   0.010

Total inference throughput: 1040.98139, Total inference latency: 0.01537
