Data loading...
resnet50-2 Model building...
Start inference...

 inference:     1 | throughput:  46.056 | time:   0.043
 inference:     2 | throughput: 346.293 | time:   0.006
 inference:     3 | throughput: 303.232 | time:   0.007
 inference:     4 | throughput: 281.120 | time:   0.007
 inference:     5 | throughput: 278.285 | time:   0.007
 inference:     6 | throughput: 267.571 | time:   0.007
 inference:     7 | throughput: 287.803 | time:   0.007
 inference:     8 | throughput: 293.154 | time:   0.007
 inference:     9 | throughput: 253.233 | time:   0.008
 inference:    10 | throughput: 286.037 | time:   0.007
 inference:    11 | throughput: 283.093 | time:   0.007
 inference:    12 | throughput: 279.183 | time:   0.007
 inference:    13 | throughput: 270.705 | time:   0.007
 inference:    14 | throughput: 276.277 | time:   0.007
 inference:    15 | throughput: 289.932 | time:   0.007
 inference:    16 | throughput: 260.160 | time:   0.008
 inference:    17 | throughput: 280.452 | time:   0.007
 inference:    18 | throughput: 278.756 | time:   0.007
 inference:    19 | throughput: 276.660 | time:   0.007
 inference:    20 | throughput: 271.951 | time:   0.007
 inference:    21 | throughput: 284.833 | time:   0.007
 inference:    22 | throughput: 292.286 | time:   0.007
 inference:    23 | throughput: 260.031 | time:   0.008
 inference:    24 | throughput: 284.225 | time:   0.007
 inference:    25 | throughput: 281.743 | time:   0.007
 inference:    26 | throughput: 277.282 | time:   0.007
 inference:    27 | throughput: 270.775 | time:   0.007
 inference:    28 | throughput: 280.593 | time:   0.007
 inference:    29 | throughput: 291.910 | time:   0.007
 inference:    30 | throughput: 260.564 | time:   0.008
 inference:    31 | throughput: 281.582 | time:   0.007
 inference:    32 | throughput: 279.881 | time:   0.007
 inference:    33 | throughput: 271.160 | time:   0.007
 inference:    34 | throughput: 273.637 | time:   0.007
 inference:    35 | throughput: 280.340 | time:   0.007
 inference:    36 | throughput: 285.599 | time:   0.007
 inference:    37 | throughput: 265.269 | time:   0.008
 inference:    38 | throughput: 284.446 | time:   0.007
 inference:    39 | throughput: 287.557 | time:   0.007
 inference:    40 | throughput: 256.235 | time:   0.008
 inference:    41 | throughput: 281.007 | time:   0.007
 inference:    42 | throughput: 278.552 | time:   0.007
 inference:    43 | throughput: 294.100 | time:   0.007
 inference:    44 | throughput: 262.103 | time:   0.008
 inference:    45 | throughput: 283.208 | time:   0.007
 inference:    46 | throughput: 286.506 | time:   0.007
 inference:    47 | throughput: 254.509 | time:   0.008
 inference:    48 | throughput: 284.331 | time:   0.007
 inference:    49 | throughput: 278.460 | time:   0.007
 inference:    50 | throughput: 284.717 | time:   0.007
 inference:    51 | throughput: 266.271 | time:   0.008
 inference:    52 | throughput: 282.169 | time:   0.007
 inference:    53 | throughput: 288.179 | time:   0.007
 inference:    54 | throughput: 258.349 | time:   0.008
 inference:    55 | throughput: 281.280 | time:   0.007
 inference:    56 | throughput: 277.741 | time:   0.007
 inference:    57 | throughput: 283.093 | time:   0.007
 inference:    58 | throughput: 268.212 | time:   0.007
 inference:    59 | throughput: 283.523 | time:   0.007
 inference:    60 | throughput: 290.103 | time:   0.007
 inference:    61 | throughput: 256.713 | time:   0.008
 inference:    62 | throughput: 282.388 | time:   0.007
 inference:    63 | throughput: 279.136 | time:   0.007
 inference:    64 | throughput: 274.622 | time:   0.007
 inference:    65 | throughput: 276.833 | time:   0.007
 inference:    66 | throughput: 279.211 | time:   0.007
 inference:    67 | throughput: 284.417 | time:   0.007
 inference:    68 | throughput: 259.967 | time:   0.008
 inference:    69 | throughput: 280.677 | time:   0.007
 inference:    70 | throughput: 282.816 | time:   0.007
 inference:    71 | throughput: 266.567 | time:   0.008
 inference:    72 | throughput: 278.515 | time:   0.007
 inference:    73 | throughput: 279.592 | time:   0.007
 inference:    74 | throughput: 285.395 | time:   0.007
 inference:    75 | throughput: 260.072 | time:   0.008
 inference:    76 | throughput: 275.334 | time:   0.007
 inference:    77 | throughput: 288.854 | time:   0.007
 inference:    78 | throughput: 261.173 | time:   0.008
 inference:    79 | throughput: 279.536 | time:   0.007
 inference:    80 | throughput: 270.095 | time:   0.007
 inference:    81 | throughput: 307.557 | time:   0.007
 inference:    82 | throughput: 257.051 | time:   0.008
 inference:    83 | throughput: 282.730 | time:   0.007
 inference:    84 | throughput: 289.222 | time:   0.007
 inference:    85 | throughput: 258.509 | time:   0.008
 inference:    86 | throughput: 280.960 | time:   0.007
 inference:    87 | throughput: 284.900 | time:   0.007
 inference:    88 | throughput: 290.263 | time:   0.007
 inference:    89 | throughput: 261.319 | time:   0.008
 inference:    90 | throughput: 279.360 | time:   0.007
 inference:    91 | throughput: 294.772 | time:   0.007
 inference:    92 | throughput: 260.104 | time:   0.008
 inference:    93 | throughput: 281.591 | time:   0.007
 inference:    94 | throughput: 273.209 | time:   0.007
 inference:    95 | throughput: 286.692 | time:   0.007
 inference:    96 | throughput: 262.587 | time:   0.008
 inference:    97 | throughput: 285.949 | time:   0.007
 inference:    98 | throughput: 289.992 | time:   0.007
 inference:    99 | throughput: 260.265 | time:   0.008
 inference:   100 | throughput: 275.533 | time:   0.007

Total inference throughput: 264.34425, Total inference latency: 0.00757
