Data loading...
resnet50-2 Model building...
Start inference...

 inference:     1 | throughput:   4.146 | time:   0.482
 inference:     2 | throughput: 228.972 | time:   0.009
 inference:     3 | throughput: 325.594 | time:   0.006
 inference:     4 | throughput: 344.940 | time:   0.006
 inference:     5 | throughput: 397.546 | time:   0.005
 inference:     6 | throughput: 398.395 | time:   0.005
 inference:     7 | throughput: 401.138 | time:   0.005
 inference:     8 | throughput: 392.101 | time:   0.005
 inference:     9 | throughput: 400.029 | time:   0.005
 inference:    10 | throughput: 388.541 | time:   0.005
 inference:    11 | throughput: 386.340 | time:   0.005
 inference:    12 | throughput: 384.693 | time:   0.005
 inference:    13 | throughput: 400.143 | time:   0.005
 inference:    14 | throughput: 380.591 | time:   0.005
 inference:    15 | throughput: 379.661 | time:   0.005
 inference:    16 | throughput: 383.830 | time:   0.005
 inference:    17 | throughput: 381.041 | time:   0.005
 inference:    18 | throughput: 368.034 | time:   0.005
 inference:    19 | throughput: 380.453 | time:   0.005
 inference:    20 | throughput: 379.369 | time:   0.005
 inference:    21 | throughput: 377.423 | time:   0.005
 inference:    22 | throughput: 380.177 | time:   0.005
 inference:    23 | throughput: 387.018 | time:   0.005
 inference:    24 | throughput: 376.610 | time:   0.005
 inference:    25 | throughput: 385.010 | time:   0.005
 inference:    26 | throughput: 383.602 | time:   0.005
 inference:    27 | throughput: 391.588 | time:   0.005
 inference:    28 | throughput: 381.110 | time:   0.005
 inference:    29 | throughput: 391.662 | time:   0.005
 inference:    30 | throughput: 385.170 | time:   0.005
 inference:    31 | throughput: 378.633 | time:   0.005
 inference:    32 | throughput: 387.036 | time:   0.005
 inference:    33 | throughput: 385.541 | time:   0.005
 inference:    34 | throughput: 364.690 | time:   0.005
 inference:    35 | throughput: 387.590 | time:   0.005
 inference:    36 | throughput: 381.162 | time:   0.005
 inference:    37 | throughput: 368.552 | time:   0.005
 inference:    38 | throughput: 384.041 | time:   0.005
 inference:    39 | throughput: 384.446 | time:   0.005
 inference:    40 | throughput: 366.747 | time:   0.005
 inference:    41 | throughput: 382.884 | time:   0.005
 inference:    42 | throughput: 376.441 | time:   0.005
 inference:    43 | throughput: 361.859 | time:   0.006
 inference:    44 | throughput: 384.622 | time:   0.005
 inference:    45 | throughput: 377.423 | time:   0.005
 inference:    46 | throughput: 368.439 | time:   0.005
 inference:    47 | throughput: 385.506 | time:   0.005
 inference:    48 | throughput: 377.729 | time:   0.005
 inference:    49 | throughput: 379.970 | time:   0.005
 inference:    50 | throughput: 384.287 | time:   0.005
 inference:    51 | throughput: 386.127 | time:   0.005
 inference:    52 | throughput: 381.682 | time:   0.005
 inference:    53 | throughput: 385.223 | time:   0.005
 inference:    54 | throughput: 389.010 | time:   0.005
 inference:    55 | throughput: 374.726 | time:   0.005
 inference:    56 | throughput: 379.833 | time:   0.005
 inference:    57 | throughput: 385.985 | time:   0.005
 inference:    58 | throughput: 377.423 | time:   0.005
 inference:    59 | throughput: 369.445 | time:   0.005
 inference:    60 | throughput: 382.326 | time:   0.005
 inference:    61 | throughput: 381.335 | time:   0.005
 inference:    62 | throughput: 365.804 | time:   0.005
 inference:    63 | throughput: 384.693 | time:   0.005
 inference:    64 | throughput: 375.497 | time:   0.005
 inference:    65 | throughput: 369.656 | time:   0.005
 inference:    66 | throughput: 382.989 | time:   0.005
 inference:    67 | throughput: 378.240 | time:   0.005
 inference:    68 | throughput: 369.803 | time:   0.005
 inference:    69 | throughput: 383.059 | time:   0.005
 inference:    70 | throughput: 372.529 | time:   0.005
 inference:    71 | throughput: 378.769 | time:   0.005
 inference:    72 | throughput: 383.269 | time:   0.005
 inference:    73 | throughput: 381.283 | time:   0.005
 inference:    74 | throughput: 374.508 | time:   0.005
 inference:    75 | throughput: 388.379 | time:   0.005
 inference:    76 | throughput: 377.118 | time:   0.005
 inference:    77 | throughput: 374.324 | time:   0.005
 inference:    78 | throughput: 369.054 | time:   0.005
 inference:    79 | throughput: 387.482 | time:   0.005
 inference:    80 | throughput: 365.851 | time:   0.005
 inference:    81 | throughput: 382.814 | time:   0.005
 inference:    82 | throughput: 383.146 | time:   0.005
 inference:    83 | throughput: 364.405 | time:   0.005
 inference:    84 | throughput: 381.543 | time:   0.005
 inference:    85 | throughput: 379.730 | time:   0.005
 inference:    86 | throughput: 362.202 | time:   0.006
 inference:    87 | throughput: 383.953 | time:   0.005
 inference:    88 | throughput: 373.591 | time:   0.005
 inference:    89 | throughput: 366.619 | time:   0.005
 inference:    90 | throughput: 383.637 | time:   0.005
 inference:    91 | throughput: 379.644 | time:   0.005
 inference:    92 | throughput: 366.075 | time:   0.005
 inference:    93 | throughput: 386.804 | time:   0.005
 inference:    94 | throughput: 374.843 | time:   0.005
 inference:    95 | throughput: 375.918 | time:   0.005
 inference:    96 | throughput: 378.906 | time:   0.005
 inference:    97 | throughput: 383.129 | time:   0.005
 inference:    98 | throughput: 371.852 | time:   0.005
 inference:    99 | throughput: 384.675 | time:   0.005
 inference:   100 | throughput: 369.396 | time:   0.005

Total inference throughput: 198.34174, Total inference latency: 0.01008
