Data loading...
resnet50-2 Model building...
Start inference...

 inference:     1 | throughput:   4.170 | time:   0.480
 inference:     2 | throughput: 210.051 | time:   0.010
 inference:     3 | throughput: 287.892 | time:   0.007
 inference:     4 | throughput: 330.807 | time:   0.006
 inference:     5 | throughput: 391.515 | time:   0.005
 inference:     6 | throughput: 384.252 | time:   0.005
 inference:     7 | throughput: 395.186 | time:   0.005
 inference:     8 | throughput: 392.101 | time:   0.005
 inference:     9 | throughput: 390.005 | time:   0.005
 inference:    10 | throughput: 382.413 | time:   0.005
 inference:    11 | throughput: 392.909 | time:   0.005
 inference:    12 | throughput: 396.718 | time:   0.005
 inference:    13 | throughput: 396.381 | time:   0.005
 inference:    14 | throughput: 383.865 | time:   0.005
 inference:    15 | throughput: 372.579 | time:   0.005
 inference:    16 | throughput: 384.111 | time:   0.005
 inference:    17 | throughput: 372.231 | time:   0.005
 inference:    18 | throughput: 378.325 | time:   0.005
 inference:    19 | throughput: 377.050 | time:   0.005
 inference:    20 | throughput: 379.335 | time:   0.005
 inference:    21 | throughput: 385.170 | time:   0.005
 inference:    22 | throughput: 389.389 | time:   0.005
 inference:    23 | throughput: 391.918 | time:   0.005
 inference:    24 | throughput: 372.017 | time:   0.005
 inference:    25 | throughput: 397.583 | time:   0.005
 inference:    26 | throughput: 394.442 | time:   0.005
 inference:    27 | throughput: 392.486 | time:   0.005
 inference:    28 | throughput: 380.057 | time:   0.005
 inference:    29 | throughput: 390.204 | time:   0.005
 inference:    30 | throughput: 392.725 | time:   0.005
 inference:    31 | throughput: 390.840 | time:   0.005
 inference:    32 | throughput: 392.688 | time:   0.005
 inference:    33 | throughput: 379.506 | time:   0.005
 inference:    34 | throughput: 394.665 | time:   0.005
 inference:    35 | throughput: 392.083 | time:   0.005
 inference:    36 | throughput: 391.406 | time:   0.005
 inference:    37 | throughput: 372.529 | time:   0.005
 inference:    38 | throughput: 385.276 | time:   0.005
 inference:    39 | throughput: 392.707 | time:   0.005
 inference:    40 | throughput: 388.361 | time:   0.005
 inference:    41 | throughput: 383.795 | time:   0.005
 inference:    42 | throughput: 389.950 | time:   0.005
 inference:    43 | throughput: 393.536 | time:   0.005
 inference:    44 | throughput: 390.950 | time:   0.005
 inference:    45 | throughput: 390.913 | time:   0.005
 inference:    46 | throughput: 385.223 | time:   0.005
 inference:    47 | throughput: 392.303 | time:   0.005
 inference:    48 | throughput: 393.130 | time:   0.005
 inference:    49 | throughput: 389.010 | time:   0.005
 inference:    50 | throughput: 386.661 | time:   0.005
 inference:    51 | throughput: 393.056 | time:   0.005
 inference:    52 | throughput: 396.681 | time:   0.005
 inference:    53 | throughput: 384.728 | time:   0.005
 inference:    54 | throughput: 394.127 | time:   0.005
 inference:    55 | throughput: 388.451 | time:   0.005
 inference:    56 | throughput: 399.077 | time:   0.005
 inference:    57 | throughput: 395.297 | time:   0.005
 inference:    58 | throughput: 388.344 | time:   0.005
 inference:    59 | throughput: 379.541 | time:   0.005
 inference:    60 | throughput: 398.698 | time:   0.005
 inference:    61 | throughput: 394.572 | time:   0.005
 inference:    62 | throughput: 383.111 | time:   0.005
 inference:    63 | throughput: 384.975 | time:   0.005
 inference:    64 | throughput: 382.483 | time:   0.005
 inference:    65 | throughput: 388.397 | time:   0.005
 inference:    66 | throughput: 396.287 | time:   0.005
 inference:    67 | throughput: 397.489 | time:   0.005
 inference:    68 | throughput: 385.099 | time:   0.005
 inference:    69 | throughput: 397.433 | time:   0.005
 inference:    70 | throughput: 397.677 | time:   0.005
 inference:    71 | throughput: 388.667 | time:   0.005
 inference:    72 | throughput: 392.339 | time:   0.005
 inference:    73 | throughput: 387.429 | time:   0.005
 inference:    74 | throughput: 395.260 | time:   0.005
 inference:    75 | throughput: 394.628 | time:   0.005
 inference:    76 | throughput: 385.914 | time:   0.005
 inference:    77 | throughput: 383.479 | time:   0.005
 inference:    78 | throughput: 392.670 | time:   0.005
 inference:    79 | throughput: 386.768 | time:   0.005
 inference:    80 | throughput: 388.379 | time:   0.005
 inference:    81 | throughput: 391.442 | time:   0.005
 inference:    82 | throughput: 388.020 | time:   0.005
 inference:    83 | throughput: 392.670 | time:   0.005
 inference:    84 | throughput: 381.058 | time:   0.005
 inference:    85 | throughput: 394.257 | time:   0.005
 inference:    86 | throughput: 380.937 | time:   0.005
 inference:    87 | throughput: 393.757 | time:   0.005
 inference:    88 | throughput: 395.018 | time:   0.005
 inference:    89 | throughput: 385.276 | time:   0.005
 inference:    90 | throughput: 389.136 | time:   0.005
 inference:    91 | throughput: 393.296 | time:   0.005
 inference:    92 | throughput: 395.037 | time:   0.005
 inference:    93 | throughput: 379.129 | time:   0.005
 inference:    94 | throughput: 394.739 | time:   0.005
 inference:    95 | throughput: 384.516 | time:   0.005
 inference:    96 | throughput: 388.469 | time:   0.005
 inference:    97 | throughput: 382.082 | time:   0.005
 inference:    98 | throughput: 391.826 | time:   0.005
 inference:    99 | throughput: 374.241 | time:   0.005
 inference:   100 | throughput: 378.992 | time:   0.005

Total inference throughput: 200.72604, Total inference latency: 0.00996
