Data loading...
resnet50-2 Model building...
Start inference...

 inference:     1 | throughput:   4.518 | time:   0.443
 inference:     2 | throughput: 254.316 | time:   0.008
 inference:     3 | throughput: 310.333 | time:   0.006
 inference:     4 | throughput: 361.843 | time:   0.006
 inference:     5 | throughput: 389.443 | time:   0.005
 inference:     6 | throughput: 380.332 | time:   0.005
 inference:     7 | throughput: 379.369 | time:   0.005
 inference:     8 | throughput: 376.154 | time:   0.005
 inference:     9 | throughput: 383.409 | time:   0.005
 inference:    10 | throughput: 369.526 | time:   0.005
 inference:    11 | throughput: 383.059 | time:   0.005
 inference:    12 | throughput: 380.505 | time:   0.005
 inference:    13 | throughput: 373.225 | time:   0.005
 inference:    14 | throughput: 377.916 | time:   0.005
 inference:    15 | throughput: 388.469 | time:   0.005
 inference:    16 | throughput: 383.760 | time:   0.005
 inference:    17 | throughput: 392.872 | time:   0.005
 inference:    18 | throughput: 392.431 | time:   0.005
 inference:    19 | throughput: 402.640 | time:   0.005
 inference:    20 | throughput: 396.325 | time:   0.005
 inference:    21 | throughput: 393.517 | time:   0.005
 inference:    22 | throughput: 393.979 | time:   0.005
 inference:    23 | throughput: 383.076 | time:   0.005
 inference:    24 | throughput: 391.114 | time:   0.005
 inference:    25 | throughput: 395.558 | time:   0.005
 inference:    26 | throughput: 398.603 | time:   0.005
 inference:    27 | throughput: 390.986 | time:   0.005
 inference:    28 | throughput: 384.129 | time:   0.005
 inference:    29 | throughput: 391.296 | time:   0.005
 inference:    30 | throughput: 378.121 | time:   0.005
 inference:    31 | throughput: 364.690 | time:   0.005
 inference:    32 | throughput: 383.918 | time:   0.005
 inference:    33 | throughput: 379.180 | time:   0.005
 inference:    34 | throughput: 364.817 | time:   0.005
 inference:    35 | throughput: 364.706 | time:   0.005
 inference:    36 | throughput: 360.676 | time:   0.006
 inference:    37 | throughput: 379.283 | time:   0.005
 inference:    38 | throughput: 373.026 | time:   0.005
 inference:    39 | throughput: 379.421 | time:   0.005
 inference:    40 | throughput: 383.620 | time:   0.005
 inference:    41 | throughput: 376.154 | time:   0.005
 inference:    42 | throughput: 367.680 | time:   0.005
 inference:    43 | throughput: 382.134 | time:   0.005
 inference:    44 | throughput: 377.287 | time:   0.005
 inference:    45 | throughput: 376.103 | time:   0.005
 inference:    46 | throughput: 366.315 | time:   0.005
 inference:    47 | throughput: 385.063 | time:   0.005
 inference:    48 | throughput: 375.195 | time:   0.005
 inference:    49 | throughput: 387.053 | time:   0.005
 inference:    50 | throughput: 386.607 | time:   0.005
 inference:    51 | throughput: 380.747 | time:   0.005
 inference:    52 | throughput: 384.305 | time:   0.005
 inference:    53 | throughput: 385.665 | time:   0.005
 inference:    54 | throughput: 380.954 | time:   0.005
 inference:    55 | throughput: 371.770 | time:   0.005
 inference:    56 | throughput: 376.086 | time:   0.005
 inference:    57 | throughput: 377.763 | time:   0.005
 inference:    58 | throughput: 377.152 | time:   0.005
 inference:    59 | throughput: 386.038 | time:   0.005
 inference:    60 | throughput: 367.744 | time:   0.005
 inference:    61 | throughput: 361.781 | time:   0.006
 inference:    62 | throughput: 372.347 | time:   0.005
 inference:    63 | throughput: 354.368 | time:   0.006
 inference:    64 | throughput: 376.154 | time:   0.005
 inference:    65 | throughput: 386.483 | time:   0.005
 inference:    66 | throughput: 372.397 | time:   0.005
 inference:    67 | throughput: 379.146 | time:   0.005
 inference:    68 | throughput: 384.111 | time:   0.005
 inference:    69 | throughput: 383.006 | time:   0.005
 inference:    70 | throughput: 371.227 | time:   0.005
 inference:    71 | throughput: 380.384 | time:   0.005
 inference:    72 | throughput: 377.033 | time:   0.005
 inference:    73 | throughput: 375.329 | time:   0.005
 inference:    74 | throughput: 373.142 | time:   0.005
 inference:    75 | throughput: 371.852 | time:   0.005
 inference:    76 | throughput: 378.684 | time:   0.005
 inference:    77 | throughput: 386.786 | time:   0.005
 inference:    78 | throughput: 378.684 | time:   0.005
 inference:    79 | throughput: 380.005 | time:   0.005
 inference:    80 | throughput: 384.587 | time:   0.005
 inference:    81 | throughput: 390.731 | time:   0.005
 inference:    82 | throughput: 382.064 | time:   0.005
 inference:    83 | throughput: 390.859 | time:   0.005
 inference:    84 | throughput: 389.479 | time:   0.005
 inference:    85 | throughput: 372.215 | time:   0.005
 inference:    86 | throughput: 385.825 | time:   0.005
 inference:    87 | throughput: 387.071 | time:   0.005
 inference:    88 | throughput: 378.189 | time:   0.005
 inference:    89 | throughput: 385.453 | time:   0.005
 inference:    90 | throughput: 385.470 | time:   0.005
 inference:    91 | throughput: 385.559 | time:   0.005
 inference:    92 | throughput: 377.882 | time:   0.005
 inference:    93 | throughput: 388.721 | time:   0.005
 inference:    94 | throughput: 390.240 | time:   0.005
 inference:    95 | throughput: 374.709 | time:   0.005
 inference:    96 | throughput: 377.186 | time:   0.005
 inference:    97 | throughput: 392.707 | time:   0.005
 inference:    98 | throughput: 376.424 | time:   0.005
 inference:    99 | throughput: 386.429 | time:   0.005
 inference:   100 | throughput: 386.732 | time:   0.005

Total inference throughput: 206.85675, Total inference latency: 0.00967
