Data loading...
resnet50-32 Model building...
Start inference...

 inference:     1 | throughput: 391.448 | time:   0.082
 inference:     2 | throughput: 2600.312 | time:   0.012
 inference:     3 | throughput: 589.157 | time:   0.054
 inference:     4 | throughput: 561.404 | time:   0.057
 inference:     5 | throughput: 581.100 | time:   0.055
 inference:     6 | throughput: 568.202 | time:   0.056
 inference:     7 | throughput: 568.245 | time:   0.056
 inference:     8 | throughput: 568.076 | time:   0.056
 inference:     9 | throughput: 571.653 | time:   0.056
 inference:    10 | throughput: 568.842 | time:   0.056
 inference:    11 | throughput: 574.771 | time:   0.056
 inference:    12 | throughput: 569.697 | time:   0.056
 inference:    13 | throughput: 563.249 | time:   0.057
 inference:    14 | throughput: 569.042 | time:   0.056
 inference:    15 | throughput: 563.658 | time:   0.057
 inference:    16 | throughput: 567.287 | time:   0.056
 inference:    17 | throughput: 570.515 | time:   0.056
 inference:    18 | throughput: 568.377 | time:   0.056
 inference:    19 | throughput: 564.773 | time:   0.057
 inference:    20 | throughput: 569.501 | time:   0.056
 inference:    21 | throughput: 569.948 | time:   0.056
 inference:    22 | throughput: 573.467 | time:   0.056
 inference:    23 | throughput: 568.787 | time:   0.056
 inference:    24 | throughput: 570.283 | time:   0.056
 inference:    25 | throughput: 567.976 | time:   0.056
 inference:    26 | throughput: 571.935 | time:   0.056
 inference:    27 | throughput: 569.757 | time:   0.056
 inference:    28 | throughput: 567.783 | time:   0.056
 inference:    29 | throughput: 573.644 | time:   0.056
 inference:    30 | throughput: 562.541 | time:   0.057
 inference:    31 | throughput: 567.968 | time:   0.056
 inference:    32 | throughput: 569.786 | time:   0.056
 inference:    33 | throughput: 567.764 | time:   0.056
 inference:    34 | throughput: 567.661 | time:   0.056
 inference:    35 | throughput: 566.076 | time:   0.057
 inference:    36 | throughput: 565.430 | time:   0.057
 inference:    37 | throughput: 566.661 | time:   0.056
 inference:    38 | throughput: 570.819 | time:   0.056
 inference:    39 | throughput: 568.837 | time:   0.056
 inference:    40 | throughput: 571.037 | time:   0.056
 inference:    41 | throughput: 570.792 | time:   0.056
 inference:    42 | throughput: 570.338 | time:   0.056
 inference:    43 | throughput: 563.599 | time:   0.057
 inference:    44 | throughput: 566.207 | time:   0.057
 inference:    45 | throughput: 563.516 | time:   0.057
 inference:    46 | throughput: 565.587 | time:   0.057
 inference:    47 | throughput: 572.169 | time:   0.056
 inference:    48 | throughput: 568.789 | time:   0.056
 inference:    49 | throughput: 568.387 | time:   0.056
 inference:    50 | throughput: 567.553 | time:   0.056
 inference:    51 | throughput: 569.624 | time:   0.056
 inference:    52 | throughput: 572.369 | time:   0.056
 inference:    53 | throughput: 571.222 | time:   0.056
 inference:    54 | throughput: 570.445 | time:   0.056
 inference:    55 | throughput: 568.312 | time:   0.056
 inference:    56 | throughput: 568.004 | time:   0.056
 inference:    57 | throughput: 565.761 | time:   0.057
 inference:    58 | throughput: 568.471 | time:   0.056
 inference:    59 | throughput: 567.140 | time:   0.056
 inference:    60 | throughput: 569.554 | time:   0.056
 inference:    61 | throughput: 570.033 | time:   0.056
 inference:    62 | throughput: 570.411 | time:   0.056
 inference:    63 | throughput: 566.310 | time:   0.057
 inference:    64 | throughput: 566.664 | time:   0.056
 inference:    65 | throughput: 567.459 | time:   0.056
 inference:    66 | throughput: 567.392 | time:   0.056
 inference:    67 | throughput: 569.566 | time:   0.056
 inference:    68 | throughput: 570.547 | time:   0.056
 inference:    69 | throughput: 569.206 | time:   0.056
 inference:    70 | throughput: 573.887 | time:   0.056
 inference:    71 | throughput: 568.110 | time:   0.056
 inference:    72 | throughput: 564.557 | time:   0.057
 inference:    73 | throughput: 569.569 | time:   0.056
 inference:    74 | throughput: 565.289 | time:   0.057
 inference:    75 | throughput: 571.614 | time:   0.056
 inference:    76 | throughput: 567.114 | time:   0.056
 inference:    77 | throughput: 567.663 | time:   0.056
 inference:    78 | throughput: 570.309 | time:   0.056
 inference:    79 | throughput: 571.251 | time:   0.056
 inference:    80 | throughput: 568.031 | time:   0.056
 inference:    81 | throughput: 568.685 | time:   0.056
 inference:    82 | throughput: 568.202 | time:   0.056
 inference:    83 | throughput: 570.925 | time:   0.056
 inference:    84 | throughput: 569.269 | time:   0.056
 inference:    85 | throughput: 572.355 | time:   0.056
 inference:    86 | throughput: 571.210 | time:   0.056
 inference:    87 | throughput: 566.255 | time:   0.057
 inference:    88 | throughput: 566.803 | time:   0.056
 inference:    89 | throughput: 560.139 | time:   0.057
 inference:    90 | throughput: 567.061 | time:   0.056
 inference:    91 | throughput: 568.702 | time:   0.056
 inference:    92 | throughput: 565.392 | time:   0.057
 inference:    93 | throughput: 568.649 | time:   0.056
 inference:    94 | throughput: 570.891 | time:   0.056
 inference:    95 | throughput: 568.072 | time:   0.056
 inference:    96 | throughput: 567.985 | time:   0.056
 inference:    97 | throughput: 569.663 | time:   0.056
 inference:    98 | throughput: 572.741 | time:   0.056
 inference:    99 | throughput: 571.015 | time:   0.056
 inference:   100 | throughput: 569.187 | time:   0.056

Total inference throughput: 570.74482, Total inference latency: 0.05607
