Data loading...
resnet50-32 Model building...
Start inference...

 inference:     1 | throughput: 1584.756 | time:   0.020
 inference:     2 | throughput: 2836.145 | time:   0.011
 inference:     3 | throughput: 1435.115 | time:   0.022
 inference:     4 | throughput: 1324.574 | time:   0.024
 inference:     5 | throughput: 1509.846 | time:   0.021
 inference:     6 | throughput: 1436.129 | time:   0.022
 inference:     7 | throughput: 1462.545 | time:   0.022
 inference:     8 | throughput: 1420.128 | time:   0.023
 inference:     9 | throughput: 1436.913 | time:   0.022
 inference:    10 | throughput: 1442.178 | time:   0.022
 inference:    11 | throughput: 1440.305 | time:   0.022
 inference:    12 | throughput: 1447.201 | time:   0.022
 inference:    13 | throughput: 1440.553 | time:   0.022
 inference:    14 | throughput: 1463.406 | time:   0.022
 inference:    15 | throughput: 1445.502 | time:   0.022
 inference:    16 | throughput: 1451.426 | time:   0.022
 inference:    17 | throughput: 1432.083 | time:   0.022
 inference:    18 | throughput: 1447.310 | time:   0.022
 inference:    19 | throughput: 1471.169 | time:   0.022
 inference:    20 | throughput: 1466.508 | time:   0.022
 inference:    21 | throughput: 1466.716 | time:   0.022
 inference:    22 | throughput: 1447.856 | time:   0.022
 inference:    23 | throughput: 1456.119 | time:   0.022
 inference:    24 | throughput: 1429.460 | time:   0.022
 inference:    25 | throughput: 1445.875 | time:   0.022
 inference:    26 | throughput: 1462.497 | time:   0.022
 inference:    27 | throughput: 1458.698 | time:   0.022
 inference:    28 | throughput: 1461.637 | time:   0.022
 inference:    29 | throughput: 1449.576 | time:   0.022
 inference:    30 | throughput: 1457.447 | time:   0.022
 inference:    31 | throughput: 1421.181 | time:   0.023
 inference:    32 | throughput: 1446.546 | time:   0.022
 inference:    33 | throughput: 1460.460 | time:   0.022
 inference:    34 | throughput: 1466.171 | time:   0.022
 inference:    35 | throughput: 1447.388 | time:   0.022
 inference:    36 | throughput: 1420.820 | time:   0.023
 inference:    37 | throughput: 1435.330 | time:   0.022
 inference:    38 | throughput: 1403.496 | time:   0.023
 inference:    39 | throughput: 1479.407 | time:   0.022
 inference:    40 | throughput: 1441.620 | time:   0.022
 inference:    41 | throughput: 1446.499 | time:   0.022
 inference:    42 | throughput: 1452.730 | time:   0.022
 inference:    43 | throughput: 1415.664 | time:   0.023
 inference:    44 | throughput: 1429.719 | time:   0.022
 inference:    45 | throughput: 1425.089 | time:   0.022
 inference:    46 | throughput: 1462.449 | time:   0.022
 inference:    47 | throughput: 1445.751 | time:   0.022
 inference:    48 | throughput: 1453.485 | time:   0.022
 inference:    49 | throughput: 1442.860 | time:   0.022
 inference:    50 | throughput: 1443.993 | time:   0.022
 inference:    51 | throughput: 1396.981 | time:   0.023
 inference:    52 | throughput: 1457.763 | time:   0.022
 inference:    53 | throughput: 1448.497 | time:   0.022
 inference:    54 | throughput: 1416.875 | time:   0.023
 inference:    55 | throughput: 1472.638 | time:   0.022
 inference:    56 | throughput: 1438.191 | time:   0.022
 inference:    57 | throughput: 1433.184 | time:   0.022
 inference:    58 | throughput: 1446.811 | time:   0.022
 inference:    59 | throughput: 1446.811 | time:   0.022
 inference:    60 | throughput: 1448.950 | time:   0.022
 inference:    61 | throughput: 1449.827 | time:   0.022
 inference:    62 | throughput: 1451.897 | time:   0.022
 inference:    63 | throughput: 1431.625 | time:   0.022
 inference:    64 | throughput: 1437.298 | time:   0.022
 inference:    65 | throughput: 1457.178 | time:   0.022
 inference:    66 | throughput: 1469.993 | time:   0.022
 inference:    67 | throughput: 1446.592 | time:   0.022
 inference:    68 | throughput: 1457.209 | time:   0.022
 inference:    69 | throughput: 1438.499 | time:   0.022
 inference:    70 | throughput: 1438.330 | time:   0.022
 inference:    71 | throughput: 1422.808 | time:   0.022
 inference:    72 | throughput: 1480.860 | time:   0.022
 inference:    73 | throughput: 1452.840 | time:   0.022
 inference:    74 | throughput: 1460.762 | time:   0.022
 inference:    75 | throughput: 1440.553 | time:   0.022
 inference:    76 | throughput: 1418.612 | time:   0.023
 inference:    77 | throughput: 1432.313 | time:   0.022
 inference:    78 | throughput: 1431.305 | time:   0.022
 inference:    79 | throughput: 1476.949 | time:   0.022
 inference:    80 | throughput: 1472.299 | time:   0.022
 inference:    81 | throughput: 1410.917 | time:   0.023
 inference:    82 | throughput: 1444.320 | time:   0.022
 inference:    83 | throughput: 1416.875 | time:   0.023
 inference:    84 | throughput: 1429.414 | time:   0.022
 inference:    85 | throughput: 1446.935 | time:   0.022
 inference:    86 | throughput: 1466.235 | time:   0.022
 inference:    87 | throughput: 1438.869 | time:   0.022
 inference:    88 | throughput: 1439.842 | time:   0.022
 inference:    89 | throughput: 1441.373 | time:   0.022
 inference:    90 | throughput: 1425.694 | time:   0.022
 inference:    91 | throughput: 1452.934 | time:   0.022
 inference:    92 | throughput: 1452.023 | time:   0.022
 inference:    93 | throughput: 1417.054 | time:   0.023
 inference:    94 | throughput: 1459.777 | time:   0.022
 inference:    95 | throughput: 1435.284 | time:   0.022
 inference:    96 | throughput: 1418.267 | time:   0.023
 inference:    97 | throughput: 1439.888 | time:   0.022
 inference:    98 | throughput: 1442.255 | time:   0.022
 inference:    99 | throughput: 1467.791 | time:   0.022
 inference:   100 | throughput: 1439.024 | time:   0.022

Total inference throughput: 1452.05375, Total inference latency: 0.02204
